PIN,Invesco India ETF,
Date,Price,Annualized Dividend
07/24/2009,17.8,0.079
07/27/2009,17.72,0.079
07/27/2009,17.75,0.079
07/28/2009,17.68,0.079
07/28/2009,17.66,0.079
07/29/2009,17.42,0.079
07/29/2009,17.36,0.079
07/30/2009,17.61,0.079
07/30/2009,17.68,0.079
07/31/2009,18.05,0.079
07/31/2009,17.91,0.079
08/03/2009,18.33,0.079
08/03/2009,18.48,0.079
08/04/2009,18.36,0.079
08/04/2009,18.47,0.079
08/05/2009,18.42,0.079
08/05/2009,18.33,0.079
08/06/2009,18.07,0.079
08/06/2009,17.84,0.079
08/07/2009,17.96,0.079
08/07/2009,17.77,0.079
08/10/2009,17.38,0.079
08/10/2009,17.33,0.079
08/11/2009,17.35,0.079
08/11/2009,17.12,0.079
08/12/2009,17.22,0.079
08/12/2009,17.46,0.079
08/13/2009,17.77,0.079
08/13/2009,17.82,0.079
08/14/2009,17.77,0.079
08/14/2009,17.63,0.079
08/17/2009,16.94,0.079
08/17/2009,16.67,0.079
08/18/2009,16.98,0.079
08/18/2009,17.09,0.079
08/19/2009,16.77,0.079
08/19/2009,16.98,0.079
08/20/2009,16.95,0.079
08/20/2009,17.17,0.079
08/21/2009,17.42,0.079
08/21/2009,17.5,0.079
08/24/2009,17.67,0.079
08/24/2009,17.56,0.079
08/25/2009,17.7,0.079
08/25/2009,17.71,0.079
08/26/2009,17.72,0.079
08/26/2009,17.84,0.079
08/27/2009,17.77,0.079
08/27/2009,17.87,0.079
08/28/2009,18.07,0.079
08/28/2009,17.93,0.079
08/31/2009,17.71,0.079
08/31/2009,17.79,0.079
09/01/2009,17.72,0.079
09/01/2009,17.31,0.079
09/02/2009,17.32,0.079
09/02/2009,17.55,0.079
09/03/2009,17.51,0.079
09/03/2009,17.68,0.079
09/04/2009,17.89,0.079
09/04/2009,18.04,0.079
09/08/2009,18.4,0.079
09/08/2009,18.58,0.079
09/09/2009,18.65,0.079
09/09/2009,18.68,0.079
09/10/2009,18.4,0.079
09/10/2009,18.67,0.079
09/11/2009,18.59,0.079
09/11/2009,18.54,0.079
09/14/2009,18.39,0.079
09/14/2009,18.58,0.079
09/15/2009,18.73,0.079
09/15/2009,18.87,0.079
09/16/2009,19.1,0.079
09/16/2009,19.32,0.079
09/17/2009,19.07,0.079
09/17/2009,18.94,0.079
09/18/2009,19.16,0.055999999999999994
09/18/2009,19.15,0.055999999999999994
09/21/2009,19.04,0.055999999999999994
09/21/2009,19.16,0.055999999999999994
09/22/2009,19.37,0.055999999999999994
09/22/2009,19.36,0.055999999999999994
09/23/2009,19.25,0.055999999999999994
09/23/2009,19.01,0.055999999999999994
09/24/2009,19.14,0.055999999999999994
09/24/2009,18.87,0.055999999999999994
09/25/2009,19.01,0.055999999999999994
09/25/2009,18.96,0.055999999999999994
09/28/2009,19.03,0.055999999999999994
09/28/2009,19.34,0.055999999999999994
09/29/2009,19.38,0.055999999999999994
