BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Annualized Dividend
07/13/2000,4.16,1.92
07/13/2000,4.16,1.92
07/14/2000,4.1,1.92
07/14/2000,4.1,1.92
07/17/2000,4.1,1.92
07/17/2000,4.1,1.92
07/18/2000,4.11,1.92
07/18/2000,4.13,1.92
07/19/2000,4.13,1.92
07/19/2000,4.13,1.92
07/20/2000,4.13,1.92
07/20/2000,4.15,1.92
07/21/2000,4.15,1.92
07/21/2000,4.15,1.92
07/24/2000,4.15,1.92
07/24/2000,4.15,1.92
07/25/2000,4.15,1.92
07/25/2000,4.15,1.92
07/26/2000,4.33,1.92
07/26/2000,4.39,1.92
07/27/2000,4.39,1.92
07/27/2000,4.39,1.92
07/28/2000,4.39,1.92
07/28/2000,4.39,1.92
07/31/2000,4.39,1.92
07/31/2000,4.38,1.92
08/01/2000,4.38,1.92
08/01/2000,4.38,1.92
08/02/2000,4.38,1.92
08/02/2000,4.39,1.92
08/03/2000,4.42,1.92
08/03/2000,4.42,1.92
08/04/2000,4.42,1.92
08/04/2000,4.42,1.92
08/07/2000,4.42,1.92
08/07/2000,4.42,1.92
08/08/2000,4.42,1.92
08/08/2000,4.42,1.92
08/09/2000,4.38,1.92
08/09/2000,4.38,1.92
08/10/2000,4.38,1.92
08/10/2000,4.38,1.92
08/11/2000,4.38,1.92
08/11/2000,4.38,1.92
08/14/2000,4.46,1.92
08/14/2000,4.46,1.92
08/15/2000,4.46,1.92
08/15/2000,4.46,1.92
08/16/2000,4.46,1.92
08/16/2000,4.46,1.92
08/17/2000,4.46,1.92
08/17/2000,4.46,1.92
08/18/2000,4.46,1.92
08/18/2000,4.46,1.92
08/21/2000,4.51,1.92
08/21/2000,4.51,1.92
08/22/2000,4.38,1.92
08/22/2000,4.38,1.92
08/23/2000,4.4,1.92
08/23/2000,4.42,1.92
08/24/2000,4.42,1.92
08/24/2000,4.42,1.92
08/25/2000,4.42,1.92
08/25/2000,4.42,1.92
08/28/2000,4.42,1.92
08/28/2000,4.42,1.92
08/29/2000,4.42,1.92
08/29/2000,4.42,1.92
08/30/2000,4.42,1.92
08/30/2000,4.42,1.92
08/31/2000,4.42,1.92
08/31/2000,4.42,1.92
09/01/2000,4.55,1.92
09/01/2000,4.55,1.92
09/05/2000,4.55,1.92
09/05/2000,4.55,1.92
09/06/2000,4.55,1.92
09/06/2000,4.55,1.92
09/07/2000,4.48,1.92
09/07/2000,4.48,1.92
09/08/2000,4.48,1.92
09/08/2000,4.48,1.92
09/11/2000,4.48,1.92
09/11/2000,4.48,1.92
09/12/2000,4.48,1.92
09/12/2000,4.48,1.92
09/13/2000,4.65,1.92
09/13/2000,4.65,1.92
09/14/2000,4.79,1.92
09/14/2000,4.79,1.92
09/15/2000,4.84,1.92
09/15/2000,4.85,1.92
09/18/2000,4.85,1.92
09/18/2000,4.87,1.92
09/19/2000,4.87,1.92
09/19/2000,4.88,1.92
09/20/2000,4.88,1.92
09/20/2000,4.88,1.92
09/21/2000,5.07,1.92
09/21/2000,5.07,1.92
09/22/2000,5.07,1.92
09/22/2000,5.07,1.92
09/25/2000,5.07,1.92
09/25/2000,5.07,1.92
09/26/2000,5.07,1.92
09/26/2000,5.07,1.92
09/27/2000,5.07,1.92
09/27/2000,5.07,1.92
09/28/2000,4.82,1.92
09/28/2000,4.82,1.92
09/29/2000,5.14,2.0
09/29/2000,5.14,2.0
10/02/2000,5.14,2.0
10/02/2000,5.14,2.0
10/03/2000,5.14,2.0
10/03/2000,5.14,2.0
10/04/2000,5.14,2.0
10/04/2000,5.14,2.0
10/05/2000,5.14,2.0
10/05/2000,5.14,2.0
10/06/2000,5.14,2.0
10/06/2000,5.14,2.0
10/09/2000,5.14,2.0
10/09/2000,5.14,2.0
10/10/2000,5.14,2.0
10/10/2000,5.14,2.0
10/11/2000,5.14,2.0
10/11/2000,5.14,2.0
10/12/2000,5.14,2.0
10/12/2000,5.14,2.0
10/13/2000,4.75,2.0
10/13/2000,4.75,2.0
10/16/2000,4.75,2.0
10/16/2000,4.75,2.0
10/17/2000,4.75,2.0
10/17/2000,4.75,2.0
10/18/2000,4.75,2.0
10/18/2000,4.75,2.0
10/19/2000,4.67,2.0
10/19/2000,4.63,2.0
10/20/2000,4.63,2.0
10/20/2000,4.63,2.0
10/23/2000,4.63,2.0
10/23/2000,4.63,2.0
10/24/2000,4.63,2.0
10/24/2000,4.63,2.0
10/25/2000,4.63,2.0
10/25/2000,4.63,2.0
10/26/2000,4.77,2.0
10/26/2000,4.77,2.0
10/27/2000,4.77,2.0
10/27/2000,4.77,2.0
10/30/2000,4.77,2.0
10/30/2000,4.77,2.0
10/31/2000,4.77,2.0
10/31/2000,4.77,2.0
11/01/2000,5.1,2.0
11/01/2000,5.1,2.0
11/02/2000,5.13,2.0
11/02/2000,5.13,2.0
11/03/2000,5.2,2.0
11/03/2000,5.2,2.0
11/06/2000,5.2,2.0
11/06/2000,5.2,2.0
11/07/2000,5.2,2.0
11/07/2000,5.2,2.0
11/08/2000,5.26,2.0
11/08/2000,5.26,2.0
11/09/2000,5.26,2.0
11/09/2000,5.26,2.0
11/10/2000,5.25,2.0
11/10/2000,5.25,2.0
11/13/2000,5.25,2.0
11/13/2000,5.25,2.0
11/14/2000,5.25,2.0
11/14/2000,5.25,2.0
11/15/2000,5.11,2.0
11/15/2000,5.1,2.0
11/16/2000,4.8,2.0
11/16/2000,4.8,2.0
11/17/2000,4.8,2.0
11/17/2000,4.8,2.0
11/20/2000,4.56,2.0
11/20/2000,4.56,2.0
11/21/2000,4.56,2.0
11/21/2000,4.52,2.0
11/22/2000,4.52,2.0
11/22/2000,4.52,2.0
11/24/2000,4.49,2.0
11/24/2000,4.49,2.0
11/27/2000,4.49,2.0
11/27/2000,4.49,2.0
11/28/2000,4.64,2.0
11/28/2000,4.64,2.0
11/29/2000,4.67,2.0
11/29/2000,4.67,2.0
11/30/2000,4.67,2.0
11/30/2000,4.67,2.0
12/01/2000,4.67,2.0
12/01/2000,4.67,2.0
12/04/2000,4.67,2.0
12/04/2000,4.67,2.0
12/05/2000,4.67,2.0
12/05/2000,4.67,2.0
12/06/2000,4.53,2.0
12/06/2000,4.52,2.0
12/07/2000,4.52,2.0
12/07/2000,4.52,2.0
12/08/2000,4.52,2.0
12/08/2000,4.52,2.0
12/11/2000,4.52,2.0
12/11/2000,4.52,2.0
12/12/2000,5.05,2.0
12/12/2000,5.07,2.0
12/13/2000,5.07,2.0
12/13/2000,5.07,2.0
12/14/2000,5.07,2.0
12/14/2000,5.07,2.0
12/15/2000,5.07,2.0
12/15/2000,5.07,2.0
12/18/2000,5.07,2.0
12/18/2000,5.07,2.0
12/19/2000,5.07,2.0
12/19/2000,5.07,2.0
12/20/2000,4.89,2.0
12/20/2000,4.89,2.0
12/21/2000,4.87,2.0
12/21/2000,4.87,2.0
12/22/2000,4.87,2.0
12/22/2000,4.87,2.0
12/26/2000,4.87,2.0
12/26/2000,4.87,2.0
12/27/2000,4.87,2.0
12/27/2000,4.87,2.0
12/28/2000,5.08,2.08
12/28/2000,5.08,2.08
12/29/2000,5.08,2.08
12/29/2000,5.08,2.08
01/02/2001,5.08,2.08
01/02/2001,5.08,2.08
01/03/2001,5.08,2.08
01/03/2001,5.08,2.08
01/04/2001,5.22,2.08
01/04/2001,5.23,2.08
01/05/2001,5.47,2.08
01/05/2001,5.47,2.08
01/08/2001,5.41,2.08
01/08/2001,5.39,2.08
01/09/2001,5.39,2.08
01/09/2001,5.39,2.08
01/10/2001,5.38,2.08
01/10/2001,5.38,2.08
01/11/2001,5.38,2.08
01/11/2001,5.38,2.08
01/12/2001,5.42,2.08
01/12/2001,5.44,2.08
01/16/2001,5.38,2.08
01/16/2001,5.38,2.08
01/17/2001,5.38,2.08
01/17/2001,5.38,2.08
01/18/2001,5.38,2.08
01/18/2001,5.38,2.08
01/19/2001,5.38,2.08
01/19/2001,5.38,2.08
01/22/2001,5.38,2.08
01/22/2001,5.38,2.08
01/23/2001,5.38,2.08
01/23/2001,5.38,2.08
01/24/2001,5.3,2.08
01/24/2001,5.3,2.08
01/25/2001,5.33,2.08
01/25/2001,5.35,2.08
01/26/2001,5.35,2.08
01/26/2001,5.35,2.08
01/29/2001,5.35,2.08
01/29/2001,5.35,2.08
01/30/2001,5.56,2.08
01/30/2001,5.58,2.08
01/31/2001,5.58,2.08
01/31/2001,5.59,2.08
02/01/2001,5.65,2.08
02/01/2001,5.65,2.08
02/02/2001,5.65,2.08
02/02/2001,5.65,2.08
02/05/2001,5.65,2.08
02/05/2001,5.65,2.08
02/06/2001,5.86,2.08
02/06/2001,5.86,2.08
02/07/2001,5.85,2.08
02/07/2001,5.85,2.08
02/08/2001,5.71,2.08
02/08/2001,5.71,2.08
02/09/2001,5.71,2.08
02/09/2001,5.71,2.08
02/12/2001,5.71,2.08
02/12/2001,5.71,2.08
02/13/2001,5.71,2.08
02/13/2001,5.71,2.08
02/14/2001,5.59,2.08
02/14/2001,5.59,2.08
02/15/2001,5.59,2.08
02/15/2001,5.59,2.08
02/16/2001,5.66,2.08
02/16/2001,5.66,2.08
02/20/2001,5.72,2.08
02/20/2001,5.72,2.08
02/21/2001,5.72,2.08
02/21/2001,5.72,2.08
02/22/2001,5.72,2.08
02/22/2001,5.72,2.08
02/23/2001,5.07,2.08
02/23/2001,5.07,2.08
02/26/2001,5.07,2.08
02/26/2001,5.07,2.08
02/27/2001,5.16,2.08
02/27/2001,5.16,2.08
02/28/2001,5.16,2.08
02/28/2001,5.16,2.08
03/01/2001,5.16,2.08
03/01/2001,5.16,2.08
03/02/2001,5.16,2.08
03/02/2001,5.16,2.08
03/05/2001,5.16,2.08
03/05/2001,5.16,2.08
03/06/2001,5.53,2.08
03/06/2001,5.53,2.08
03/07/2001,5.32,2.08
03/07/2001,5.16,2.08
03/08/2001,5.16,2.08
03/08/2001,5.08,2.08
03/09/2001,5.08,2.08
03/09/2001,5.08,2.08
03/12/2001,5.08,2.08
03/12/2001,5.08,2.08
03/13/2001,5.08,2.08
03/13/2001,5.08,2.08
03/14/2001,4.99,2.08
03/14/2001,4.97,2.08
03/15/2001,4.97,2.08
03/15/2001,4.97,2.08
03/16/2001,5.0,2.08
03/16/2001,5.0,2.08
03/19/2001,5.0,2.08
03/19/2001,5.0,2.08
03/20/2001,5.0,2.08
03/20/2001,5.02,2.08
03/21/2001,5.02,2.08
03/21/2001,5.02,2.08
03/22/2001,4.86,2.08
03/22/2001,4.86,2.08
03/23/2001,4.47,2.08
03/23/2001,4.47,2.08
03/26/2001,4.6,2.08
03/26/2001,4.63,2.08
03/27/2001,4.87,2.08
03/27/2001,4.87,2.08
03/28/2001,4.91,2.08
03/28/2001,4.91,2.08
03/29/2001,4.84,2.08
03/29/2001,4.84,2.08
03/30/2001,4.96,1.9100000000000001
03/30/2001,4.96,1.9100000000000001
04/02/2001,4.96,1.9100000000000001
04/02/2001,4.96,1.9100000000000001
04/03/2001,4.96,1.9100000000000001
04/03/2001,4.96,1.9100000000000001
04/04/2001,4.96,1.9100000000000001
04/04/2001,4.96,1.9100000000000001
04/05/2001,4.96,1.9100000000000001
04/05/2001,4.96,1.9100000000000001
04/06/2001,4.96,1.9100000000000001
04/06/2001,4.96,1.9100000000000001
04/09/2001,4.96,1.9100000000000001
04/09/2001,4.96,1.9100000000000001
04/10/2001,4.95,1.9100000000000001
04/10/2001,4.95,1.9100000000000001
04/11/2001,4.95,1.9100000000000001
04/11/2001,4.95,1.9100000000000001
04/12/2001,5.09,1.9100000000000001
04/12/2001,5.09,1.9100000000000001
04/16/2001,5.09,1.9100000000000001
04/16/2001,5.09,1.9100000000000001
04/17/2001,5.09,1.9100000000000001
04/17/2001,5.09,1.9100000000000001
04/18/2001,5.09,1.9100000000000001
04/18/2001,5.09,1.9100000000000001
04/19/2001,5.09,1.9100000000000001
