SIG,Signet Jewelers Limited,
Date,Price,Annualized Dividend
12/21/1989,49.08,0.0426
12/21/1989,49.08,0.0426
12/22/1989,49.08,0.0426
12/22/1989,49.08,0.0426
12/26/1989,49.08,0.0426
12/26/1989,49.08,0.0426
12/27/1989,49.08,0.0426
12/27/1989,49.08,0.0426
12/28/1989,0.0,0.0426
12/28/1989,51.72,0.0426
12/29/1989,0.0,0.0426
12/29/1989,51.72,0.0426
01/02/1990,0.0,0.0426
01/02/1990,53.3,0.0426
01/03/1990,53.3,0.0426
01/03/1990,53.3,0.0426
01/04/1990,0.0,0.0426
01/04/1990,54.89,0.0426
01/05/1990,54.89,0.0426
01/05/1990,54.89,0.0426
01/08/1990,0.0,0.0426
01/08/1990,57.0,0.0426
01/09/1990,57.0,0.0426
01/09/1990,57.0,0.0426
01/10/1990,0.0,0.0426
01/10/1990,54.89,0.0426
01/11/1990,0.0,0.0426
01/11/1990,54.89,0.0426
01/12/1990,0.0,0.0426
01/12/1990,53.83,0.0426
01/15/1990,0.0,0.0426
01/15/1990,52.78,0.0426
01/16/1990,0.0,0.0426
01/16/1990,53.3,0.0426
01/17/1990,0.0,0.0426
01/17/1990,53.83,0.0426
01/18/1990,0.0,0.0426
01/18/1990,53.3,0.0426
01/19/1990,0.0,0.0426
01/19/1990,53.3,0.0426
01/22/1990,0.0,0.0426
01/22/1990,54.36,0.0426
01/23/1990,0.0,0.0426
01/23/1990,52.78,0.0426
01/24/1990,0.0,0.0426
01/24/1990,51.72,0.0426
01/25/1990,51.72,0.0426
01/25/1990,51.72,0.0426
01/26/1990,0.0,0.0426
01/26/1990,55.41,0.0426
01/29/1990,55.41,0.0426
01/29/1990,55.41,0.0426
01/30/1990,55.41,0.0426
01/30/1990,55.41,0.0426
01/31/1990,0.0,0.0426
01/31/1990,53.3,0.0426
02/01/1990,0.0,0.0426
02/01/1990,53.3,0.0426
02/02/1990,0.0,0.0426
02/02/1990,53.3,0.0426
02/05/1990,0.0,0.0426
02/05/1990,53.83,0.0426
02/06/1990,0.0,0.0426
02/06/1990,54.36,0.0426
02/07/1990,0.0,0.0426
02/07/1990,53.3,0.0426
02/08/1990,53.3,0.0426
02/08/1990,53.3,0.0426
02/09/1990,53.3,0.0426
02/09/1990,53.3,0.0426
02/12/1990,0.0,0.0426
02/12/1990,51.72,0.0426
02/13/1990,0.0,0.0426
02/13/1990,52.25,0.0426
02/14/1990,0.0,0.0426
02/14/1990,50.66,0.0426
02/15/1990,50.66,0.0426
02/15/1990,50.66,0.0426
02/16/1990,0.0,0.0426
02/16/1990,51.19,0.0426
02/20/1990,0.0,0.0426
02/20/1990,50.14,0.0426
02/21/1990,50.14,0.0426
02/21/1990,50.14,0.0426
02/22/1990,0.0,0.0426
02/22/1990,49.61,0.0426
02/23/1990,0.0,0.0426
02/23/1990,48.55,0.0426
02/26/1990,48.55,0.0426
02/26/1990,48.55,0.0426
02/27/1990,48.55,0.0426
02/27/1990,48.55,0.0426
02/28/1990,0.0,0.0426
02/28/1990,49.08,0.0426
03/01/1990,49.08,0.0426
03/01/1990,49.08,0.0426
03/02/1990,0.0,0.0426
03/02/1990,49.08,0.0426
03/05/1990,0.0,0.0426
03/05/1990,50.14,0.0426
