BCH-USD,BitcoinCash USD,
Date,Price,Dividend,Annualized Dividend
02/16/2019,122.009765625,0.0,0.0
02/17/2019,122.2320556640625,0.0,0.0
02/18/2019,124.96675872802734,0.0,0.0
02/19/2019,144.31414794921875,0.0,0.0
02/20/2019,142.97210693359375,0.0,0.0
02/21/2019,147.91896057128906,0.0,0.0
02/22/2019,142.8227081298828,0.0,0.0
02/23/2019,144.8820037841797,0.0,0.0
02/24/2019,154.19577026367188,0.0,0.0
02/25/2019,130.02334594726562,0.0,0.0
02/26/2019,135.84185791015625,0.0,0.0
02/27/2019,134.32937622070312,0.0,0.0
02/28/2019,132.8959503173828,0.0,0.0
03/01/2019,132.07542419433594,0.0,0.0
03/02/2019,132.92372131347656,0.0,0.0
03/03/2019,132.57398986816406,0.0,0.0
03/04/2019,131.4186553955078,0.0,0.0
03/05/2019,124.96269989013672,0.0,0.0
03/06/2019,133.4106903076172,0.0,0.0
03/07/2019,133.29351806640625,0.0,0.0
03/08/2019,132.2106475830078,0.0,0.0
03/09/2019,129.42332458496094,0.0,0.0
03/10/2019,134.0359344482422,0.0,0.0
03/11/2019,132.86087036132812,0.0,0.0
03/12/2019,130.34616088867188,0.0,0.0
03/13/2019,129.19155883789062,0.0,0.0
03/14/2019,128.8231964111328,0.0,0.0
03/15/2019,133.793701171875,0.0,0.0
03/16/2019,143.979736328125,0.0,0.0
03/17/2019,157.43992614746094,0.0,0.0
03/18/2019,156.25888061523438,0.0,0.0
03/19/2019,162.59609985351562,0.0,0.0
03/20/2019,162.33338928222656,0.0,0.0
03/21/2019,160.79156494140625,0.0,0.0
03/22/2019,154.70596313476562,0.0,0.0
03/23/2019,158.12655639648438,0.0,0.0
03/24/2019,167.09141540527344,0.0,0.0
03/25/2019,166.10646057128906,0.0,0.0
03/26/2019,161.38687133789062,0.0,0.0
03/27/2019,160.51272583007812,0.0,0.0
03/28/2019,173.09568786621094,0.0,0.0
03/29/2019,169.34713745117188,0.0,0.0
03/30/2019,170.30148315429688,0.0,0.0
03/31/2019,168.6396484375,0.0,0.0
04/01/2019,168.89907836914062,0.0,0.0
04/02/2019,167.62818908691406,0.0,0.0
04/03/2019,236.3955841064453,0.0,0.0
04/04/2019,298.4674987792969,0.0,0.0
04/05/2019,286.63525390625,0.0,0.0
04/06/2019,292.805419921875,0.0,0.0
04/07/2019,305.79901123046875,0.0,0.0
04/08/2019,319.7650146484375,0.0,0.0
04/09/2019,309.952880859375,0.0,0.0
04/10/2019,295.96942138671875,0.0,0.0
04/11/2019,305.124755859375,0.0,0.0
04/12/2019,272.6382751464844,0.0,0.0
04/13/2019,282.676513671875,0.0,0.0
04/14/2019,279.41033935546875,0.0,0.0
04/15/2019,288.69805908203125,0.0,0.0
04/16/2019,314.1169128417969,0.0,0.0
04/17/2019,318.3139953613281,0.0,0.0
04/18/2019,310.8728332519531,0.0,0.0
04/19/2019,306.9275817871094,0.0,0.0
04/20/2019,306.860107421875,0.0,0.0
04/21/2019,300.8096923828125,0.0,0.0
04/22/2019,290.33642578125,0.0,0.0
04/23/2019,292.7887878417969,0.0,0.0
04/24/2019,290.9646911621094,0.0,0.0
04/25/2019,279.20989990234375,0.0,0.0
04/26/2019,267.1888122558594,0.0,0.0
04/27/2019,264.086669921875,0.0,0.0
04/28/2019,264.1180419921875,0.0,0.0
04/29/2019,255.55010986328125,0.0,0.0
04/30/2019,237.56884765625,0.0,0.0
05/01/2019,267.992919921875,0.0,0.0
05/02/2019,271.9676208496094,0.0,0.0
05/03/2019,270.1526184082031,0.0,0.0
05/04/2019,292.8758544921875,0.0,0.0
05/05/2019,291.3450622558594,0.0,0.0
05/06/2019,293.96209716796875,0.0,0.0
05/07/2019,287.677978515625,0.0,0.0
05/08/2019,286.5509033203125,0.0,0.0
05/09/2019,286.4697570800781,0.0,0.0
05/10/2019,284.2007751464844,0.0,0.0
05/11/2019,287.7896728515625,0.0,0.0
