GAAEX,Guinness Atkinson Alternative E,
Date,Price,Dividend,Annualized Dividend
12/22/2014,3.4066646099090576,0.0,0.0
12/23/2014,3.38674259185791,0.0,0.0
01/09/2015,3.3668205738067627,0.0,0.0
01/12/2015,3.336937189102173,0.0,0.0
01/15/2015,3.317015409469605,0.0,0.0
01/20/2015,3.2871322631835938,0.0,0.0
01/22/2015,3.297093391418457,0.0,0.0
01/29/2015,3.2572493553161626,0.0,0.0
01/30/2015,3.227366209030152,0.0,0.0
02/04/2015,3.3269762992858887,0.0,0.0
03/03/2015,3.4963135719299316,0.0,0.0
03/04/2015,3.4863524436950684,0.0,0.0
03/11/2015,3.376781463623047,0.0,0.0
04/13/2015,3.815065622329712,0.0,0.0
04/14/2015,3.795143842697143,0.0,0.0
04/15/2015,3.825026750564575,0.0,0.0
07/07/2015,3.1974833011627197,0.0,0.0
07/08/2015,3.0779511928558345,0.0,0.0
07/24/2015,3.2373273372650146,0.0,0.0
07/29/2015,3.247288465499878,0.0,0.0
08/13/2015,3.157639265060425,0.0,0.0
08/21/2015,2.8886921405792236,0.0,0.0
08/31/2015,2.898653030395508,0.0,0.0
09/03/2015,2.8388869762420654,0.0,0.0
09/09/2015,2.90861439704895,0.0,0.0
10/06/2015,2.988302230834961,0.0,0.0
10/07/2015,3.028146266937256,0.0,0.0
10/08/2015,3.0679900646209717,0.0,0.0
10/28/2015,3.048068046569824,0.0,0.0
11/09/2015,2.9683802127838135,0.0,0.0
11/10/2015,2.9185752868652344,0.0,0.0
11/17/2015,2.858808994293213,0.0,0.0
12/22/2015,2.9982631206512447,0.0,0.0
01/21/2016,2.500212669372558,0.0,0.0
01/22/2016,2.559978723526001,0.0,0.0
01/25/2016,2.520134925842285,0.0,0.0
01/29/2016,2.60978364944458,0.0,0.0
02/04/2016,2.5799009799957275,0.0,0.0
02/08/2016,2.470329999923706,0.0,0.0
02/09/2016,2.4504077434539795,0.0,0.0
02/10/2016,2.4404468536376953,0.0,0.0
02/11/2016,2.3308756351470947,0.0,0.0
02/12/2016,2.3707199096679688,0.0,0.0
02/16/2016,2.4802908897399902,0.0,0.0
03/01/2016,2.6197450160980225,0.0,0.0
11/18/2016,2.4902517795562744,0.0,0.0
12/08/2017,2.8579046726226807,0.009,0.009
12/11/2017,2.8878829479217534,0.0,0.009
12/12/2017,2.877890110015869,0.0,0.009
12/15/2017,2.8978755474090576,0.0,0.009
12/18/2017,2.9178609848022465,0.0,0.009
12/21/2017,2.957831621170044,0.0,0.009
12/22/2017,2.9678242206573486,0.0,0.009
12/27/2017,2.987809419631958,0.0,0.009
12/28/2017,2.997802257537842,0.0,0.009
12/29/2017,3.017787456512451,0.0,0.009
01/02/2018,3.057758092880249,0.0,0.009
01/04/2018,3.087736129760742,0.0,0.009
01/08/2018,3.1177141666412354,0.0,0.009
01/11/2018,3.1576850414276123,0.0,0.009
01/12/2018,3.1776704788208012,0.0,0.009
01/17/2018,3.147692441940308,0.0,0.009
01/23/2018,3.127707004547119,0.0,0.009
01/24/2018,3.137699842453003,0.0,0.009
01/26/2018,3.187663078308106,0.0,0.009
01/29/2018,3.167677640914917,0.0,0.009
02/02/2018,3.107721567153931,0.0,0.009
02/05/2018,3.03777289390564,0.0,0.009
02/12/2018,2.9278535842895512,0.0,0.009
02/13/2018,2.94783878326416,0.0,0.009
02/15/2018,3.027780294418335,0.0,0.009
02/28/2018,2.977816820144653,0.0,0.009
03/06/2018,3.0077948570251465,0.0,0.009
03/27/2018,3.0477654933929443,0.0,0.009
04/06/2018,3.0977287292480464,0.0,0.009
