PSX,Phillips 66,
Date,Price,Annualized Dividend
04/24/2013,46.89325342102488,0.7625
04/24/2013,47.20633316040039,0.7625
04/25/2013,47.37433039272043,0.7625
04/25/2013,47.267425537109375,0.7625
04/26/2013,47.22923239648255,0.7625
04/26/2013,47.038330078125,0.7625
04/29/2013,47.32087039671665,0.7625
04/29/2013,47.19105529785156,0.7625
04/30/2013,47.29033290467442,0.7625
04/30/2013,46.541996002197266,0.7625
05/01/2013,46.664170778019994,0.7625
05/01/2013,45.564571380615234,0.7625
05/02/2013,45.87001305324568,0.7625
05/02/2013,46.0456428527832,0.7625
05/03/2013,46.42745365484885,0.7625
05/03/2013,47.48123550415039,0.7625
05/06/2013,47.717945974494434,0.7625
05/06/2013,48.771724700927734,0.7625
05/07/2013,49.06189705393927,0.7625
05/07/2013,49.23752975463867,0.7625
05/08/2013,49.04663743368981,0.7625
05/08/2013,48.420475006103516,0.7625
05/09/2013,48.28301175144303,0.7625
05/09/2013,47.44304275512695,0.7625
05/10/2013,47.13760052286829,0.7625
05/10/2013,46.870338439941406,0.7625
05/13/2013,46.67944504065023,0.7625
05/13/2013,47.32087707519531,0.7625
05/14/2013,47.38960314740816,0.7625
05/14/2013,48.93209457397461,0.7625
05/15/2013,48.66482643557894,0.7625
05/15/2013,49.59642791748047,0.7625
05/16/2013,49.652438670921484,1.0755
05/16/2013,48.98488235473633,1.0755
05/17/2013,49.26111197655655,1.0755
05/17/2013,50.22792053222656,1.0755
05/20/2013,50.120492444752216,1.0755
05/20/2013,50.611568450927734,1.0755
05/21/2013,50.71900808661639,1.0755
05/21/2013,50.19723892211914,1.0755
05/22/2013,50.10514714845464,1.0755
05/22/2013,50.17420196533203,1.0755
05/23/2013,49.44527461627048,1.0755
05/23/2013,50.06679153442383,1.0755
05/24/2013,49.69847723211793,1.0755
05/24/2013,50.235595703125,1.0755
05/28/2013,50.94151957621058,1.0755
05/28/2013,51.04126739501953,1.0755
05/29/2013,50.80339527201058,1.0755
05/29/2013,51.28679656982422,1.0755
05/30/2013,50.91082947055526,1.0755
05/30/2013,51.233097076416016,1.0755
05/31/2013,51.13335452269164,1.0755
05/31/2013,51.07964324951172,1.0755
06/03/2013,51.44026936616205,1.0755
06/03/2013,50.70365524291992,1.0755
06/04/2013,50.48881314049454,1.0755
06/04/2013,50.01308059692383,1.0755
06/05/2013,49.8289189250827,1.0755
06/05/2013,48.80839920043945,1.0755
06/06/2013,48.862116708021716,1.0755
06/06/2013,49.874961853027344,1.0755
06/07/2013,50.21256118353726,1.0755
06/07/2013,50.542503356933594,1.0755
06/10/2013,50.5885612965043,1.0755
06/10/2013,49.95936965942383,1.0755
06/11/2013,49.14601838054087,1.0755
06/11/2013,49.07695770263672,1.0755
06/12/2013,49.78287779428012,1.0755
06/12/2013,48.578208923339844,1.0755
06/13/2013,48.40940762856401,1.0755
06/13/2013,49.498985290527344,1.0755
06/14/2013,49.65243519956698,1.0755
06/14/2013,48.96186065673828,1.0755
06/17/2013,49.26111320260836,1.0755
06/17/2013,49.30715560913086,1.0755
06/18/2013,49.47596681444856,1.0755
06/18/2013,49.40690612792969,1.0755
06/19/2013,49.314822670242506,1.0755
06/19/2013,48.82374954223633,1.0755
06/20/2013,48.01806962685321,1.0755
06/20/2013,46.33766555786133,1.0755
06/21/2013,46.821073971232664,1.0755
06/21/2013,45.46294021606445,1.0755
06/24/2013,44.85676630848164,1.0755
06/24/2013,43.882286071777344,1.0755
06/25/2013,44.72633682862422,1.0755
06/25/2013,45.58572006225586,1.0755
06/26/2013,46.115144773926936,1.0755
06/26/2013,45.823570251464844,1.0755
06/27/2013,46.28395499229372,1.0755
06/27/2013,45.439918518066406,1.0755
06/28/2013,45.3785333203007,1.0755
06/28/2013,45.20205307006836,1.0755
07/01/2013,45.45526620080695,1.0755
07/01/2013,45.19438171386719,1.0755
07/02/2013,45.15601280482138,1.0755
07/02/2013,43.797882080078125,1.0755
07/03/2013,43.54468574248968,1.0755
07/03/2013,44.25828170776367,1.0755
07/05/2013,44.381041184189314,1.0755
07/05/2013,43.920658111572266,1.0755
07/08/2013,44.28129220782145,1.0755
07/08/2013,45.07929229736328,1.0755
07/09/2013,45.286462204760525,1.0755
07/09/2013,44.89513397216797,1.0755
07/10/2013,44.818398012036745,1.0755
07/10/2013,43.038246154785156,1.0755
07/11/2013,43.774865271114585,1.0755
07/11/2013,44.31965255737305,1.0755
07/12/2013,43.65976682484311,1.0755
07/12/2013,45.34016799926758,1.0755
07/15/2013,45.61640982494966,1.0755
07/15/2013,45.447601318359375,1.0755
07/16/2013,45.4322411879687,1.0755
07/16/2013,44.227569580078125,1.0755
07/17/2013,44.36569544133429,1.0755
07/17/2013,44.53450393676758,1.0755
07/18/2013,44.649597833380405,1.0755
07/18/2013,43.67511749267578,1.0755
07/19/2013,44.07411628380058,1.0755
07/19/2013,44.112483978271484,1.0755
07/22/2013,44.41173478379189,1.0755
07/22/2013,44.47311782836914,1.0755
07/23/2013,44.864452483043,1.0755
07/23/2013,45.6471061706543,1.0755
07/24/2013,45.769869565059025,1.0755
07/24/2013,45.14834976196289,1.0755
07/25/2013,45.025578207682265,0.8755
07/25/2013,45.5933837890625,0.8755
07/26/2013,45.462944935944115,0.8755
07/26/2013,45.2711181640625,0.8755
07/29/2013,45.27111809580869,0.8755
07/29/2013,45.24042510986328,0.8755
07/30/2013,45.309481305381354,0.8755
07/30/2013,44.864444732666016,0.8755
07/31/2013,43.98204069710393,0.8755
07/31/2013,47.18938446044922,0.8755
08/01/2013,47.47329096789245,0.8755
08/01/2013,46.43742752075195,0.8755
08/02/2013,46.138178155124265,0.8755
08/02/2013,44.81840896606445,0.8755
08/05/2013,44.71865647996549,0.8755
08/05/2013,44.35034942626953,0.8755
08/06/2013,44.22759038390992,0.8755
08/06/2013,44.7416877746582,0.8755
08/07/2013,44.687965802000086,0.8755
08/07/2013,44.47311782836914,0.8755
08/08/2013,44.519157569531856,0.8755
08/08/2013,45.2711181640625,0.8755
08/09/2013,45.271121847339074,0.8755
08/09/2013,45.20973587036133,0.8755
08/12/2013,44.841420067608155,0.8755
08/12/2013,44.634246826171875,0.8755
08/13/2013,44.803052546410356,0.8755
08/13/2013,45.34016799926758,0.8755
08/14/2013,45.511805835740525,1.188
08/14/2013,45.349815368652344,1.188
