ENB,Enbridge Inc,
Date,Price,Dividend,Annualized Dividend
09/25/1987,0.6037307977676392,0.0,0.0
09/28/1987,0.0,0.0,0.0
09/30/1987,0.0,0.0,0.0
10/01/1987,0.5998104810714722,0.0,0.0
10/07/1987,0.0,0.0,0.0
10/09/1987,0.0,0.0,0.0
10/12/1987,0.0,0.0,0.0
10/13/1987,0.0,0.0,0.0
10/15/1987,0.0,0.0,0.0
10/19/1987,0.0,0.0,0.0
10/20/1987,0.5566868782043457,0.0,0.0
10/30/1987,0.0,0.0,0.0
11/17/1987,0.0,0.0,0.0
11/19/1987,0.0,0.0,0.0
11/23/1987,0.0,0.0,0.0
11/30/1987,0.0,0.0,0.0
12/01/1987,0.5116028785705566,0.0,0.0
12/21/1987,0.0,0.0,0.0
12/22/1987,0.0,0.0,0.0
12/31/1987,0.0,0.0,0.0
01/04/1988,0.5214037895202637,0.0,0.0
01/05/1988,0.0,0.0,0.0
01/06/1988,0.0,0.0,0.0
01/07/1988,0.5410054922103882,0.0,0.0
01/08/1988,0.0,0.0,0.0
01/11/1988,0.5429655313491821,0.0,0.0
01/20/1988,0.0,0.0,0.0
02/17/1988,0.0,0.0,0.0
02/29/1988,0.0,0.0,0.0
03/01/1988,0.5664875507354736,0.0,0.0
03/02/1988,0.0,0.0,0.0
03/03/1988,0.0,0.0,0.0
03/04/1988,0.0,0.0,0.0
03/10/1988,0.0,0.0,0.0
03/11/1988,0.5625669360160828,0.0,0.0
03/14/1988,0.0,0.0,0.0
03/18/1988,0.0,0.0,0.0
03/21/1988,0.0,0.0,0.0
03/29/1988,0.0,0.0,0.0
03/31/1988,0.0,0.0,0.0
04/04/1988,0.568448007106781,0.0,0.0
04/19/1988,0.0,0.0,0.0
04/20/1988,0.6115715503692627,0.0,0.0
04/21/1988,0.0,0.0,0.0
04/22/1988,0.0,0.0,0.0
04/25/1988,0.0,0.0,0.0
04/26/1988,0.0,0.0,0.0
04/27/1988,0.0,0.0,0.0
05/11/1988,0.0,0.0,0.0
05/16/1988,0.0,0.0,0.0
05/18/1988,0.0,0.0,0.0
05/19/1988,0.0,0.0,0.0
06/10/1988,0.0,0.0,0.0
06/13/1988,0.0,0.0,0.0
06/14/1988,0.0,0.0,0.0
06/17/1988,0.0,0.0,0.0
06/20/1988,0.0,0.0,0.0
06/21/1988,0.0,0.0,0.0
06/22/1988,0.0,0.0,0.0
06/23/1988,0.0,0.0,0.0
06/27/1988,0.0,0.0,0.0
06/29/1988,0.0,0.0,0.0
06/30/1988,0.0,0.0,0.0
07/01/1988,0.6056910157203674,0.0,0.0
07/06/1988,0.0,0.0,0.0
07/14/1988,0.0,0.0,0.0
07/15/1988,0.0,0.0,0.0
07/18/1988,0.0,0.0,0.0
07/21/1988,0.0,0.0,0.0
07/22/1988,0.0,0.0,0.0
07/25/1988,0.0,0.0,0.0
08/08/1988,0.0,0.0,0.0
08/09/1988,0.0,0.0,0.0
08/10/1988,0.0,0.0,0.0
08/17/1988,0.0,0.0,0.0
08/18/1988,0.0,0.0,0.0
08/19/1988,0.0,0.0,0.0
08/22/1988,0.6076511740684509,0.0,0.0
08/23/1988,0.0,0.0,0.0
08/25/1988,0.0,0.0,0.0
08/26/1988,0.6017703413963318,0.0,0.0
09/08/1988,0.0,0.0,0.0
09/12/1988,0.0,0.0,0.0
09/15/1988,0.0,0.0,0.0
09/16/1988,0.0,0.0,0.0
10/04/1988,0.0,0.0,0.0
10/13/1988,0.0,0.0,0.0
10/20/1988,0.0,0.0,0.0
10/24/1988,0.0,0.0,0.0
10/25/1988,0.5527665615081787,0.0,0.0
10/26/1988,0.0,0.0,0.0
10/31/1988,0.0,0.0,0.0
11/01/1988,0.0,0.0,0.0
11/02/1988,0.0,0.0,0.0
11/03/1988,0.0,0.0,0.0
11/04/1988,0.0,0.0,0.0
11/07/1988,0.0,0.0,0.0
11/10/1988,0.0,0.0,0.0
11/11/1988,0.0,0.0,0.0
11/14/1988,0.0,0.0,0.0
11/15/1988,0.0,0.0,0.0
11/16/1988,0.0,0.0,0.0
11/17/1988,0.0,0.0,0.0
11/21/1988,0.0,0.0,0.0
11/22/1988,0.5351250767707825,0.0,0.0
12/01/1988,0.0,0.0,0.0
12/02/1988,0.0,0.0,0.0
12/08/1988,0.0,0.0,0.0
12/09/1988,0.0,0.0,0.0
01/04/1989,0.0,0.0,0.0
01/06/1989,0.0,0.0,0.0
01/09/1989,0.0,0.0,0.0
01/10/1989,0.0,0.0,0.0
01/16/1989,0.0,0.0,0.0
01/17/1989,0.0,0.0,0.0
01/18/1989,0.0,0.0,0.0
01/20/1989,0.0,0.0,0.0
01/27/1989,0.0,0.0,0.0
01/30/1989,0.0,0.0,0.0
01/31/1989,0.0,0.0,0.0
02/03/1989,0.0,0.0,0.0
02/06/1989,0.0,0.0,0.0
02/13/1989,0.0,0.0,0.0
02/14/1989,0.0,0.0,0.0
02/15/1989,0.0,0.0,0.0
02/24/1989,0.0,0.0,0.0
03/07/1989,0.0,0.0,0.0
03/08/1989,0.0,0.0,0.0
03/09/1989,0.0,0.0,0.0
03/28/1989,0.0,0.0,0.0
03/29/1989,0.5900096893310547,0.0,0.0
04/10/1989,0.0,0.0,0.0
04/17/1989,0.0,0.0,0.0
04/25/1989,0.0,0.0,0.0
04/26/1989,0.0,0.0,0.0
05/12/1989,0.0,0.0,0.0
05/22/1989,0.0,0.0,0.0
05/23/1989,0.6096109747886658,0.0,0.0
06/02/1989,0.0,0.0,0.0
06/07/1989,0.0,0.0,0.0
06/09/1989,0.0,0.0,0.0
06/12/1989,0.0,0.0,0.0
06/13/1989,0.6350934505462646,0.0,0.0
06/19/1989,0.0,0.0,0.0
06/20/1989,0.0,0.0,0.0
06/21/1989,0.0,0.0,0.0
06/29/1989,0.0,0.0,0.0
07/05/1989,0.0,0.0,0.0
07/11/1989,0.0,0.0,0.0
07/12/1989,0.0,0.0,0.0
07/13/1989,0.0,0.0,0.0
07/14/1989,0.0,0.0,0.0
