PDB,PDB,
Date,Price,Dividend,Annualized Dividend
06/09/2017,16363.599609375,0.0,0.0
06/12/2017,16272.7001953125,0.0,0.0
06/13/2017,16363.599609375,0.0,0.0
06/14/2017,16181.7998046875,0.0,0.0
06/15/2017,16000.0,0.0,0.0
06/16/2017,16545.5,0.0,0.0
06/19/2017,15727.2998046875,0.0,0.0
06/20/2017,15727.2998046875,0.0,0.0
06/21/2017,15727.2998046875,0.0,0.0
06/22/2017,15363.599609375,0.0,0.0
06/26/2017,15181.7998046875,0.0,0.0
06/27/2017,15272.7001953125,0.0,0.0
06/28/2017,15181.7998046875,0.0,0.0
06/29/2017,14818.2001953125,0.0,0.0
06/30/2017,15181.7998046875,0.0,0.0
07/03/2017,14909.099609375,0.0,0.0
07/05/2017,14909.099609375,0.0,0.0
07/06/2017,15000.0,0.0,0.0
07/07/2017,15636.400390625,0.0,0.0
07/10/2017,15454.5,0.0,0.0
07/11/2017,15454.5,0.0,0.0
07/12/2017,15454.5,0.0,0.0
07/13/2017,15272.7001953125,0.0,0.0
07/14/2017,15454.5,0.0,0.0
07/17/2017,16000.0,0.0,0.0
07/18/2017,15400.0,0.0,0.0
07/19/2017,15300.0,0.0,0.0
07/20/2017,14400.0,0.0,0.0
07/21/2017,14500.0,0.0,0.0
07/24/2017,13700.0,0.0,0.0
07/25/2017,13400.0,0.0,0.0
07/26/2017,13700.0,0.0,0.0
07/27/2017,13300.0,0.0,0.0
07/28/2017,13500.0,0.0,0.0
07/31/2017,14000.0,0.0,0.0
08/01/2017,13800.0,0.0,0.0
08/02/2017,13300.0,0.0,0.0
08/03/2017,14000.0,0.0,0.0
08/04/2017,13700.0,0.0,0.0
08/07/2017,13800.0,0.0,0.0
08/08/2017,13600.0,0.0,0.0
08/09/2017,13900.0,0.0,0.0
08/10/2017,13800.0,0.0,0.0
08/11/2017,13800.0,0.0,0.0
08/14/2017,13700.0,0.0,0.0
08/15/2017,14100.0,0.0,0.0
08/16/2017,14400.0,0.0,0.0
08/17/2017,14200.0,0.0,0.0
08/18/2017,14100.0,0.0,0.0
08/21/2017,14300.0,0.0,0.0
09/27/2017,14200.0,0.0,0.0
09/28/2017,14100.0,0.0,0.0
11/14/2017,12100.0,0.0,0.0
11/15/2017,12300.0,0.0,0.0
11/16/2017,12200.0,0.0,0.0
11/17/2017,11100.0,0.0,0.0
11/20/2017,10800.0,0.0,0.0
11/21/2017,11400.0,0.0,0.0
11/22/2017,10900.0,0.0,0.0
11/24/2017,11000.0,0.0,0.0
11/27/2017,11300.0,0.0,0.0
11/28/2017,11100.0,0.0,0.0
11/29/2017,11200.0,0.0,0.0
11/30/2017,11300.0,0.0,0.0
12/01/2017,11200.0,0.0,0.0
12/04/2017,11300.0,0.0,0.0
12/05/2017,11400.0,0.0,0.0
12/06/2017,11400.0,0.0,0.0
12/07/2017,11400.0,0.0,0.0
12/08/2017,11500.0,0.0,0.0
12/11/2017,11400.0,0.0,0.0
12/12/2017,11500.0,0.0,0.0
12/13/2017,11600.0,0.0,0.0
12/14/2017,11900.0,0.0,0.0
12/15/2017,11700.0,0.0,0.0
12/18/2017,11700.0,0.0,0.0
12/19/2017,11500.0,0.0,0.0
12/20/2017,11600.0,0.0,0.0
12/22/2017,11500.0,0.0,0.0
12/26/2017,10500.0,0.0,0.0
12/27/2017,11700.0,0.0,0.0
01/02/2018,11800.0,0.0,0.0
01/03/2018,11600.0,0.0,0.0
01/04/2018,11200.0,0.0,0.0
01/05/2018,11300.0,0.0,0.0
01/08/2018,11000.0,0.0,0.0
01/10/2018,10800.0,0.0,0.0
01/11/2018,11000.0,0.0,0.0
01/12/2018,11100.0,0.0,0.0
01/16/2018,11100.0,0.0,0.0
01/17/2018,11200.0,0.0,0.0
01/18/2018,10700.0,0.0,0.0
01/19/2018,11100.0,0.0,0.0
01/22/2018,11300.0,0.0,0.0
01/23/2018,10900.0,0.0,0.0
01/26/2018,10900.0,0.0,0.0
01/30/2018,11300.0,0.0,0.0
01/31/2018,11000.0,0.0,0.0
