NEXTX,Shelton Green Alpha Fd,
Date,Price,Dividend,Annualized Dividend
03/24/2015,15.297337532043457,0.0,0.0
03/27/2015,14.919025421142578,0.0,0.0
03/31/2015,14.957826614379883,0.0,0.0
04/07/2015,15.210034370422362,0.0,0.0
04/13/2015,15.374938964843748,0.0,0.0
04/17/2015,15.190633773803713,0.0,0.0
04/23/2015,15.501041412353517,0.0,0.0
05/08/2015,15.268235206604002,0.0,0.0
05/21/2015,15.404039382934569,0.0,0.0
06/26/2015,15.142132759094237,0.0,0.0
06/30/2015,14.763821601867678,0.0,0.0
07/08/2015,14.152704238891602,0.0,0.0
07/30/2015,14.278806686401369,0.0,0.0
08/07/2015,14.055702209472656,0.0,0.0
08/13/2015,14.016900062561033,0.0,0.0
08/21/2015,12.96926975250244,0.0,0.0
08/24/2015,12.600659370422363,0.0,0.0
08/26/2015,12.891668319702148,0.0,0.0
08/27/2015,13.279678344726562,0.0,0.0
08/28/2015,13.328179359436035,0.0,0.0
08/31/2015,13.260278701782227,0.0,0.0
09/01/2015,12.872267723083494,0.0,0.0
09/02/2015,13.105073928833008,0.0,0.0
09/03/2015,13.114774703979492,0.0,0.0
09/04/2015,12.9110689163208,0.0,0.0
09/08/2015,13.231176376342775,0.0,0.0
09/09/2015,13.095373153686523,0.0,0.0
09/10/2015,13.124475479125978,0.0,0.0
09/11/2015,13.153574943542482,0.0,0.0
09/14/2015,13.085673332214355,0.0,0.0
09/17/2015,13.44458293914795,0.0,0.0
09/23/2015,12.765564918518065,0.0,0.0
09/24/2015,12.73646354675293,0.0,0.0
09/25/2015,12.668561935424805,0.0,0.0
09/28/2015,12.319352149963379,0.0,0.0
10/01/2015,12.542457580566406,0.0,0.0
10/02/2015,12.901369094848631,0.0,0.0
10/05/2015,13.1826753616333,0.0,0.0
10/06/2015,13.172974586486816,0.0,0.0
10/08/2015,13.512486457824705,0.0,0.0
10/09/2015,13.628889083862305,0.0,0.0
10/14/2015,13.483383178710936,0.0,0.0
10/16/2015,13.609487533569336,0.0,0.0
10/22/2015,13.522185325622557,0.0,0.0
10/26/2015,13.580387115478516,0.0,0.0
10/27/2015,13.386382102966309,0.0,0.0
11/12/2015,13.143876075744629,0.0,0.0
11/13/2015,13.00807189941406,0.0,0.0
11/16/2015,13.299078941345215,0.0,0.0
12/02/2015,13.939298629760742,0.0,0.0
12/04/2015,13.987798690795898,0.0,0.0
01/11/2016,13.046872138977049,0.0,0.0
01/12/2016,13.056571960449219,0.0,0.0
01/13/2016,12.687961578369139,0.0,0.0
01/14/2016,12.823766708374023,0.0,0.0
01/15/2016,12.40665340423584,0.0,0.0
01/21/2016,12.396953582763672,0.0,0.0
01/22/2016,12.707364082336426,0.0,0.0
01/28/2016,12.493956565856934,0.0,0.0
01/29/2016,12.862567901611328,0.0,0.0
02/02/2016,12.53275775909424,0.0,0.0
02/03/2016,12.610360145568846,0.0,0.0
02/05/2016,12.348451614379883,0.0,0.0
02/10/2016,11.844038009643555,0.0,0.0
02/12/2016,11.892539978027346,0.0,0.0
02/22/2016,12.81406593322754,0.0,0.0
02/23/2016,12.65886116027832,0.0,0.0
02/24/2016,12.920768737792969,0.0,0.0
02/25/2016,12.988671302795408,0.0,0.0
03/02/2016,13.3087797164917,0.0,0.0
03/08/2016,13.289378166198729,0.0,0.0
03/09/2016,13.434884071350098,0.0,0.0
03/14/2016,13.590087890625,0.0,0.0
04/20/2016,13.958699226379395,0.0,0.0
05/04/2016,13.240876197814943,0.0,0.0
05/06/2016,13.250577926635742,0.0,0.0
05/13/2016,13.027472496032717,0.0,0.0
05/23/2016,13.347579956054688,0.0,0.0
06/02/2016,13.803493499755858,0.0,0.0
06/24/2016,13.075972557067871,0.0,0.0
06/28/2016,13.01777172088623,0.0,0.0
07/20/2016,14.201205253601076,0.0,0.0
07/27/2016,14.366110801696777,0.0,0.0
07/29/2016,14.307908058166504,0.0,0.0
08/02/2016,14.288506507873535,0.0,0.0
08/16/2016,14.094502449035645,0.0,0.0
09/22/2016,13.968398094177246,0.0,0.0
10/07/2016,13.813194274902344,0.0,0.0
10/27/2016,13.69679069519043,0.0,0.0
11/04/2016,13.192376136779787,0.0,0.0
12/09/2016,13.85199451446533,0.0,0.0
01/10/2017,14.026599884033203,0.0,0.0
02/03/2017,14.191506385803223,0.0,0.0
02/17/2017,14.792922019958496,0.0,0.0
03/10/2017,14.7056188583374,0.0,0.0
03/31/2017,14.967527389526367,0.0,0.0
05/05/2017,15.782349586486818,0.0,0.0
05/08/2017,15.772649765014648,0.0,0.0
05/09/2017,15.84055233001709,0.0,0.0
05/10/2017,15.918154716491697,0.0,0.0
05/11/2017,15.869652748107912,0.0,0.0
05/12/2017,15.85025215148926,0.0,0.0
05/15/2017,15.976354598999023,0.0,0.0
05/16/2017,15.966654777526855,0.0,0.0
05/18/2017,15.675646781921385,0.0,0.0
05/19/2017,15.879354476928711,0.0,0.0
05/22/2017,15.995756149291992,0.0,0.0
05/24/2017,16.063655853271484,0.0,0.0
05/25/2017,16.17036247253418,0.0,0.0
05/26/2017,16.083059310913086,0.0,0.0
05/30/2017,16.150962829589844,0.0,0.0
05/31/2017,16.092758178710938,0.0,0.0
06/01/2017,16.27706527709961,0.0,0.0
06/02/2017,16.35466766357422,0.0,0.0
06/06/2017,16.30616569519043,0.0,0.0
06/08/2017,16.54867172241211,0.0,0.0
06/12/2017,16.218860626220703,0.0,0.0
06/13/2017,16.38376808166504,0.0,0.0
06/14/2017,16.267366409301758,0.0,0.0
06/15/2017,16.102458953857422,0.0,0.0
06/19/2017,16.247962951660156,0.0,0.0
06/20/2017,16.12186050415039,0.0,0.0
06/22/2017,16.422571182250977,0.0,0.0
06/27/2017,16.432268142700195,0.0,0.0
06/28/2017,16.645673751831055,0.0,0.0
06/30/2017,16.52927017211914,0.0,0.0
07/05/2017,16.4710693359375,0.0,0.0
07/06/2017,16.31586456298828,0.0,0.0
07/07/2017,16.490468978881836,0.0,0.0
07/10/2017,16.509870529174805,0.0,0.0
07/11/2017,16.5971736907959,0.0,0.0
07/12/2017,16.81058120727539,0.0,0.0
07/13/2017,16.80087661743164,0.0,0.0
07/14/2017,16.965784072875977,0.0,0.0
07/17/2017,16.956083297729492,0.0,0.0
07/18/2017,17.08218765258789,0.0,0.0
07/19/2017,17.29559326171875,0.0,0.0
07/20/2017,17.256793975830078,0.0,0.0
07/21/2017,17.1597900390625,0.0,0.0
07/24/2017,17.198589324951172,0.0,0.0
07/25/2017,17.140388488769535,0.0,0.0
07/26/2017,17.169490814208984,0.0,0.0
07/27/2017,17.062786102294922,0.0,0.0
08/03/2017,16.829978942871094,0.0,0.0
08/07/2017,17.101585388183594,0.0,0.0
08/08/2017,16.985183715820312,0.0,0.0
08/09/2017,16.849380493164062,0.0,0.0
08/11/2017,16.694177627563477,0.0,0.0
08/14/2017,16.83968162536621,0.0,0.0
08/15/2017,16.820281982421875,0.0,0.0
08/18/2017,16.587474822998047,0.0,0.0
08/21/2017,16.39346694946289,0.0,0.0
08/24/2017,16.568073272705078,0.0,0.0
08/30/2017,16.68447494506836,0.0,0.0
09/01/2017,16.89788246154785,0.0,0.0
09/06/2017,16.868778228759766,0.0,0.0
09/07/2017,16.97548484802246,0.0,0.0
09/08/2017,16.917282104492188,0.0,0.0
09/11/2017,17.11128807067871,0.0,0.0
09/13/2017,17.21799087524414,0.0,0.0
09/14/2017,17.324695587158203,0.0,0.0
09/15/2017,17.334394454956055,0.0,0.0
09/18/2017,17.382896423339844,0.0,0.0
09/19/2017,17.34409523010254,0.0,0.0
09/20/2017,17.227691650390625,0.0,0.0
09/22/2017,17.179187774658203,0.0,0.0
09/25/2017,16.946382522583008,0.0,0.0
09/27/2017,17.150089263916016,0.0,0.0
09/29/2017,17.247093200683594,0.0,0.0
10/04/2017,17.402297973632812,0.0,0.0
10/05/2017,17.431396484375,0.0,0.0
10/06/2017,17.470197677612305,0.0,0.0
10/09/2017,17.35379409790039,0.0,0.0
10/10/2017,17.421695709228516,0.0,0.0
10/11/2017,17.411996841430664,0.0,0.0
10/13/2017,17.53809928894043,0.0,0.0
10/16/2017,17.479900360107422,0.0,0.0
10/17/2017,17.441099166870117,0.0,0.0
10/18/2017,17.499300003051758,0.0,0.0
10/26/2017,17.31499481201172,0.0,0.0
10/27/2017,17.596302032470703,0.0,0.0
10/31/2017,17.71270751953125,0.0,0.0
11/01/2017,17.683603286743164,0.0,0.0
11/02/2017,17.664203643798828,0.0,0.0
11/03/2017,17.644804000854492,0.0,0.0
11/06/2017,17.72240447998047,0.0,0.0
11/08/2017,17.673904418945312,0.0,0.0
11/13/2017,17.363496780395508,0.0,0.0
11/16/2017,17.489599227905273,0.0,0.0
11/17/2017,17.509000778198242,0.0,0.0
11/20/2017,17.606000900268555,0.0,0.0
11/22/2017,17.63510513305664,0.0,0.0
11/27/2017,17.576902389526367,0.0,0.0
11/28/2017,17.761207580566406,0.0,0.0
11/30/2017,17.602588653564453,0.464,0.464
12/01/2017,17.423376083374023,0.0,0.464
12/04/2017,17.064950942993164,0.0,0.464
12/05/2017,17.045040130615234,0.0,0.464
12/06/2017,17.09482192993164,0.0,0.464
12/07/2017,17.333770751953125,0.0,0.464
12/08/2017,17.483112335205078,0.0,0.464
12/11/2017,17.552804946899414,0.0,0.464
12/13/2017,17.50302505493164,0.0,0.464
12/14/2017,17.562761306762695,0.0,0.464
12/15/2017,17.712106704711914,0.0,0.464
12/18/2017,17.921186447143555,0.0,0.464
12/19/2017,17.751930236816406,0.0,0.464
12/20/2017,17.79175567626953,0.0,0.464
12/21/2017,17.821624755859375,0.0,0.464
12/22/2017,17.78179931640625,0.0,0.464
12/26/2017,17.69219398498535,0.0,0.464
12/27/2017,17.80171012878418,0.0,0.464
12/28/2017,17.841537475585938,0.0,0.464
12/29/2017,17.728734970092773,0.047,0.511
01/02/2018,18.058155059814453,0.0,0.511
01/03/2018,18.088102340698242,0.0,0.511
01/04/2018,17.958332061767578,0.0,0.511
01/08/2018,18.237838745117188,0.0,0.511
01/10/2018,17.948347091674805,0.0,0.511
01/11/2018,18.267784118652344,0.0,0.511
01/12/2018,18.217872619628906,0.0,0.511
01/16/2018,18.15797996520996,0.0,0.511
01/17/2018,18.35762596130371,0.0,0.511
01/18/2018,18.327680587768555,0.0,0.511
01/19/2018,18.307714462280273,0.0,0.511
01/23/2018,18.347644805908203,0.0,0.511
01/24/2018,18.16796112060547,0.0,0.511
01/25/2018,18.128032684326172,0.0,0.511
01/26/2018,18.227855682373047,0.0,0.511
01/29/2018,18.1180477142334,0.0,0.511
01/30/2018,17.928382873535156,0.0,0.511
01/31/2018,17.838542938232422,0.0,0.511
02/01/2018,17.778648376464844,0.0,0.511
02/02/2018,17.399316787719727,0.0,0.511
02/05/2018,16.730497360229492,0.0,0.511
02/06/2018,16.930143356323242,0.0,0.511
02/07/2018,16.77042579650879,0.0,0.511
02/08/2018,16.26132583618164,0.0,0.511
02/09/2018,16.4310245513916,0.0,0.511
02/12/2018,16.67060279846191,0.0,0.511
02/13/2018,16.75046157836914,0.0,0.511
02/14/2018,17.05991554260254,0.0,0.511
02/15/2018,17.239599227905273,0.0,0.511
02/16/2018,17.27952766418457,0.0,0.511
02/20/2018,17.26954460144043,0.0,0.511
02/21/2018,17.229616165161133,0.0,0.511
02/22/2018,17.119810104370117,0.0,0.511
02/23/2018,17.169723510742188,0.0,0.511
02/26/2018,17.369369506835938,0.0,0.511
02/27/2018,17.1397762298584,0.0,0.511
02/28/2018,16.920164108276367,0.0,0.511
03/05/2018,17.039949417114258,0.0,0.511
03/06/2018,17.20965003967285,0.0,0.511
03/07/2018,17.219635009765625,0.0,0.511
03/09/2018,17.499141693115234,0.0,0.511
03/12/2018,17.64887619018555,0.0,0.511
