SSSS,SuRo Capital Corp.,
Date,Price,Dividend,Annualized Dividend
04/23/2015,4.900071530952977,0.0,0.0
04/24/2015,4.939990890506702,0.0,0.0
04/27/2015,4.855162441581194,0.0,0.0
04/28/2015,4.890092242827101,0.0,0.0
04/29/2015,4.670536621784773,0.0,0.0
04/30/2015,4.650578031121709,0.0,0.0
05/01/2015,4.805264188335095,0.0,0.0
05/04/2015,4.785304365800249,0.0,0.0
05/05/2015,4.790294651388786,0.0,0.0
05/06/2015,4.835202693939209,0.0,0.0
05/07/2015,4.805264293771544,0.0,0.0
05/08/2015,4.83520318187787,0.0,0.0
05/11/2015,4.905061445508373,0.0,0.0
05/12/2015,4.984899693885288,0.0,0.0
05/13/2015,4.920030981084632,0.0,0.0
05/14/2015,4.93999043121336,0.0,0.0
05/15/2015,4.964940552904318,0.0,0.0
05/18/2015,4.989889355873093,0.0,0.0
05/19/2015,5.074719051441407,0.0,0.0
05/20/2015,5.204454988367151,0.0,0.0
05/21/2015,5.1545555156223966,0.0,0.0
05/22/2015,5.184495545076667,0.0,0.0
05/26/2015,5.189484773754968,0.0,0.0
05/27/2015,5.114638422563715,0.0,0.0
05/28/2015,5.1645360054060525,0.0,0.0
05/29/2015,5.179505307428686,0.0,0.0
06/01/2015,5.339182368446773,0.0,0.0
06/02/2015,5.289283288396802,0.0,0.0
06/03/2015,5.33918257320779,0.0,0.0
06/04/2015,5.334191740121596,0.0,0.0
06/05/2015,5.488879319208677,0.0,0.0
06/08/2015,5.64855565217299,0.0,0.0
06/09/2015,5.578696410130677,0.0,0.0
06/10/2015,5.488879296070018,0.0,0.0
06/11/2015,5.488879479341371,0.0,0.0
06/12/2015,5.40904101511588,0.0,0.0
06/15/2015,5.349162668144848,0.0,0.0
06/16/2015,5.264334223884076,0.0,0.0
06/17/2015,5.3591414398500525,0.0,0.0
06/18/2015,5.404051581778841,0.0,0.0
06/19/2015,5.354151623970418,0.0,0.0
06/22/2015,5.394071482497812,0.0,0.0
06/23/2015,5.39906111894587,0.0,0.0
06/24/2015,5.478899177574322,0.0,0.0
06/25/2015,5.38908136191343,0.0,0.0
06/26/2015,5.319222326099352,0.0,0.0
06/29/2015,5.159546250155345,0.0,0.0
06/30/2015,5.009848833304577,0.0,0.0
07/01/2015,5.179505459228948,0.0,0.0
07/02/2015,5.214435863631044,0.0,0.0
07/06/2015,5.164535879155225,0.0,0.0
07/07/2015,5.069728101625219,0.0,0.0
07/08/2015,5.084698016317419,0.0,0.0
07/09/2015,5.214434534131557,0.0,0.0
07/10/2015,5.28928367013459,0.0,0.0
07/13/2015,5.409041027966178,0.0,0.0
07/14/2015,5.404050758312849,0.0,0.0
07/15/2015,5.518818637836672,0.0,0.0
07/16/2015,5.414031313154112,0.0,0.0
07/17/2015,5.414031591582672,0.0,0.0
07/20/2015,5.25435310541138,0.0,0.0
07/21/2015,5.139586709522892,0.0,0.0
07/22/2015,5.0198295675227635,0.0,0.0
07/23/2015,5.044778924144853,0.0,0.0
07/24/2015,5.109646964689023,0.0,0.0
07/27/2015,5.0148394616018175,0.0,0.0
07/28/2015,5.029809100104867,0.0,0.0
07/29/2015,5.024818780475352,0.0,0.0
07/30/2015,4.949970431738673,0.0,0.0
07/31/2015,4.939990326962185,0.0,0.0
08/03/2015,4.944980961803307,0.0,0.0
08/04/2015,4.7753251966073265,0.0,0.0
08/05/2015,4.715446668037866,0.0,0.0
08/06/2015,4.795284073116251,0.0,0.0
08/07/2015,4.775323850252384,0.0,0.0
08/10/2015,4.740394947772548,0.0,0.0
08/11/2015,4.645587916316511,0.0,0.0
08/12/2015,4.6006787274745635,0.0,0.0
08/13/2015,4.590698455494876,0.0,0.0
08/14/2015,4.645587100730533,0.0,0.0
08/17/2015,4.730415446627937,0.0,0.0
08/18/2015,4.760355101623169,0.0,0.0
08/19/2015,4.8152442837110385,0.0,0.0
08/20/2015,4.690496527713574,0.0,0.0
08/21/2015,4.550779600171646,0.0,0.0
08/24/2015,4.086719525979896,0.0,0.0
08/25/2015,4.241405911362018,0.0,0.0
08/26/2015,4.191506998329011,0.0,0.0
08/27/2015,4.38611374456485,0.0,0.0
08/28/2015,4.465951613799877,0.0,0.0
08/31/2015,4.341204466352693,0.0,0.0
09/01/2015,4.381122362515837,0.0,0.0
09/02/2015,4.346193989988257,0.0,0.0
09/03/2015,4.356174104311239,0.0,0.0
09/04/2015,4.411062705046659,0.0,0.0
09/08/2015,4.411061978649669,0.0,0.0
09/09/2015,4.475930589446386,0.0,0.0
09/10/2015,4.2414070136188275,0.0,0.0
09/11/2015,4.216456703151619,0.0,0.0
09/14/2015,4.226437390078049,0.0,0.0
09/15/2015,4.341204132145948,0.0,0.0
09/16/2015,4.1765378202170345,0.0,0.0
09/17/2015,4.266355790522416,0.0,0.0
09/18/2015,4.196497355222698,0.0,0.0
09/21/2015,4.241406325399159,0.0,0.0
09/22/2015,4.091709725446783,0.0,0.0
09/23/2015,4.191507519075129,0.0,0.0
09/24/2015,4.121649265289307,0.0,0.0
09/25/2015,4.141608709084694,0.0,0.0
09/28/2015,4.091709337888207,0.0,0.0
09/29/2015,3.9519929109769443,0.0,0.0
09/30/2015,3.817266237773169,0.0,0.0
10/01/2015,3.917063484154826,0.0,0.0
10/02/2015,3.727447580195007,0.0,0.0
10/05/2015,3.827245398019923,0.0,0.0
10/06/2015,3.887124305364691,0.0,0.0
10/07/2015,3.9420130540673695,0.0,0.0
10/08/2015,4.066760165235414,0.0,0.0
10/09/2015,4.0966997200476385,0.0,0.0
10/12/2015,4.116659722775504,0.0,0.0
10/13/2015,3.9619728636789504,0.0,0.0
10/14/2015,3.996901795159014,0.0,0.0
10/15/2015,4.490900539581656,0.0,0.0
10/16/2015,4.590698480751437,0.0,0.0
10/19/2015,4.805264173693152,0.0,0.0
10/20/2015,4.735406111731234,0.0,0.0
10/21/2015,4.735405323789578,0.0,0.0
10/22/2015,4.695486165640451,0.0,0.0
10/23/2015,4.7653459531617965,0.0,0.0
10/26/2015,4.750374948096196,0.0,0.0
10/27/2015,4.93999070771346,0.0,0.0
10/28/2015,4.925020889015349,0.0,0.0
10/29/2015,4.910052287828072,0.0,0.0
10/30/2015,4.7902945505242345,0.0,0.0
11/02/2015,4.825223926845516,0.0,0.0
11/03/2015,4.835204032147888,0.0,0.0
11/04/2015,4.925020992260975,0.0,0.0
11/05/2015,4.964940063686363,0.0,0.0
11/06/2015,5.084697261766326,0.0,0.0
11/09/2015,5.109647573606195,0.0,0.0
11/10/2015,5.199464969314922,0.0,0.0
11/11/2015,5.1296071946463835,0.0,0.0
11/12/2015,5.084697044250592,0.0,0.0
11/13/2015,5.089687614035929,0.0,0.0
11/16/2015,5.019829861058084,0.0,0.0
11/17/2015,4.815244862198018,0.0,0.0
11/18/2015,4.9250218459022586,0.0,0.0
11/19/2015,5.009848990692467,0.0,0.0
11/20/2015,5.07970905320278,0.0,0.0
11/23/2015,5.079708392081045,0.0,0.0
11/24/2015,5.094677441508517,0.0,0.0
11/25/2015,5.089687145783511,0.0,0.0
11/27/2015,5.034798905307906,0.0,0.0
11/30/2015,5.069728566989776,0.0,0.0
12/01/2015,5.089688298542753,0.0,0.0
12/02/2015,5.0846972081636075,0.0,0.0
12/03/2015,4.974921705668949,0.0,0.0
12/04/2015,4.939990624311775,0.0,0.0
12/07/2015,4.93999043121336,0.0,0.0
12/08/2015,4.885102250351917,0.0,0.0
12/09/2015,4.760355948001484,0.0,0.0
12/10/2015,4.735404774403457,0.0,0.0
12/11/2015,4.710455996285083,0.0,0.0
12/14/2015,4.760354486412462,0.0,0.0
12/15/2015,4.665547949375083,0.0,0.0
12/16/2015,4.745385569712402,0.0,0.0
12/17/2015,4.830213109588631,0.0,0.0
12/18/2015,4.680515956386462,0.0,0.0
12/21/2015,4.485910617352341,0.0,0.0
12/22/2015,4.520840439166296,0.0,0.0
12/23/2015,4.450982485048259,0.0,0.0
12/24/2015,4.600678534329503,0.0,0.0
12/28/2015,4.54579019774101,0.0,0.0
12/29/2015,4.630618487137744,0.0,0.0
12/30/2015,4.7902956999514785,0.0,0.0
12/31/2015,4.595688459433378,0.0,0.0
01/04/2016,4.703820663180696,2.76,2.76
01/05/2016,4.8099220012279496,0.0,2.76
01/06/2016,4.696746426456945,0.0,2.76
01/07/2016,4.526985419019839,0.0,2.76
01/08/2016,4.44210446001721,0.0,2.76
01/11/2016,4.4916186455614096,0.0,2.76
01/12/2016,4.49161826061438,0.0,2.76
01/13/2016,4.236974937924602,0.0,2.76
01/14/2016,3.890377987542988,0.0,2.76
01/15/2016,3.897451312277708,0.0,2.76
01/19/2016,4.0389197300922115,0.0,2.76
01/20/2016,4.0601394728815,0.0,2.76
01/21/2016,4.06721352802268,0.0,2.76
01/22/2016,4.0176992755724275,0.0,2.76
01/25/2016,4.173314779331551,0.0,2.76
01/26/2016,4.12380055949972,0.0,2.76
01/27/2016,4.152093939513426,0.0,2.76
01/28/2016,4.3147827356541715,0.0,2.76
01/29/2016,4.16624136523357,0.0,2.76
02/01/2016,4.293562606695312,0.0,2.76
02/02/2016,4.272342600740176,0.0,2.76
02/03/2016,4.3713696843955345,0.0,2.76
02/04/2016,4.3642968802739945,0.0,2.76
02/05/2016,4.385517239759793,0.0,2.76
02/08/2016,4.222828738905667,0.0,2.76
02/09/2016,4.109654090797234,0.0,2.76
02/10/2016,3.9540386401531245,0.0,2.76
02/11/2016,3.8691578258978776,0.0,2.76
02/12/2016,3.8337905449569107,0.0,2.76
02/16/2016,3.9681863387901473,0.0,2.76
02/17/2016,4.01062561168034,0.0,2.76
02/18/2016,4.130874135828658,0.0,2.76
02/19/2016,4.173314076844599,0.0,2.76
02/22/2016,4.244048871131104,0.0,2.76
02/23/2016,4.060139752935344,0.0,2.76
02/24/2016,4.067213479347123,0.0,2.76
02/25/2016,4.123801014099022,0.0,2.76
02/26/2016,4.024773610946904,0.0,2.76
02/29/2016,4.0459930867009035,0.0,2.76
03/01/2016,4.137947837194946,0.0,2.76
03/02/2016,4.194534668639409,0.0,2.76
03/03/2016,4.137947141093847,0.0,2.76
03/04/2016,4.067213479347123,0.0,2.76
03/07/2016,4.244048534543814,0.0,2.76
03/08/2016,4.328929866346794,0.0,2.76
03/09/2016,4.3855171910577875,0.0,2.76
03/10/2016,4.328929424285889,0.0,2.76
03/11/2016,4.32892973235685,0.0,2.76
03/14/2016,4.166240923218653,0.0,2.76
03/15/2016,4.2723424685017335,0.0,2.76
03/16/2016,4.187461097727499,0.0,2.76
03/17/2016,4.328929866346794,0.0,2.76
03/18/2016,4.39259019964384,0.0,2.76
03/21/2016,4.420883742626405,0.0,2.76
03/22/2016,4.328929744025869,0.0,2.76
03/23/2016,4.208681203851682,0.0,2.76
03/24/2016,4.031846143020824,0.0,2.76
03/28/2016,4.109653531886476,0.0,2.76
03/29/2016,3.989405580354117,0.0,2.76
03/30/2016,4.102580253681001,0.0,2.76
03/31/2016,4.0601399745851,0.0,2.76
04/01/2016,3.968185356705679,0.0,2.76
04/04/2016,4.095506511763316,0.0,2.76
04/05/2016,3.961111858760008,0.0,2.76
04/06/2016,3.9328181517173464,0.0,2.76
04/07/2016,4.067213048776971,0.0,2.76
04/08/2016,4.116727526420384,0.0,2.76
04/11/2016,4.16624053695071,0.0,2.76
04/12/2016,4.187461150688013,0.0,2.76
04/13/2016,4.053066224678445,0.0,2.76
04/14/2016,4.074287067049387,0.0,2.76
04/15/2016,4.116727481878513,0.0,2.76
04/18/2016,4.152093859029705,0.0,2.76
04/19/2016,4.201607695342864,0.0,2.76
04/20/2016,4.201607877522492,0.0,2.76
04/21/2016,4.180387768794534,0.0,2.76
04/22/2016,4.208681861748725,0.0,2.76
04/25/2016,4.244048886640629,0.0,2.76
04/26/2016,4.258195629814319,0.0,2.76
04/27/2016,4.159168231265987,0.0,2.76
04/28/2016,3.9328186057527446,0.0,2.76
