AMZN,"Amazon.com, Inc.",
Date,Price,Dividend,Annualized Dividend
06/30/1998,16.302082061767578,0.0,0.0
07/01/1998,16.96875,0.0,0.0
07/02/1998,19.291667938232422,0.0,0.0
07/06/1998,21.229167938232422,0.0,0.0
07/07/1998,23.833332061767578,0.0,0.0
07/08/1998,18.645832061767578,0.0,0.0
07/09/1998,18.4375,0.0,0.0
07/10/1998,17.166667938232422,0.0,0.0
07/13/1998,16.083332061767578,0.0,0.0
07/14/1998,18.083332061767578,0.0,0.0
07/15/1998,19.333332061767578,0.0,0.0
07/16/1998,18.90625,0.0,0.0
07/17/1998,18.729167938232422,0.0,0.0
07/20/1998,20.1875,0.0,0.0
07/21/1998,22.875,0.0,0.0
07/22/1998,22.333332061767578,0.0,0.0
07/23/1998,21.666667938232422,0.0,0.0
07/24/1998,21.541667938232422,0.0,0.0
07/27/1998,19.854167938232422,0.0,0.0
07/28/1998,20.739582061767578,0.0,0.0
07/29/1998,20.083332061767578,0.0,0.0
07/30/1998,18.625,0.0,0.0
07/31/1998,19.083332061767578,0.0,0.0
08/03/1998,18.291667938232422,0.0,0.0
08/04/1998,18.354167938232422,0.0,0.0
08/05/1998,18.802082061767578,0.0,0.0
08/06/1998,17.395832061767578,0.0,0.0
08/07/1998,18.541667938232422,0.0,0.0
08/10/1998,19.5,0.0,0.0
08/11/1998,19.25,0.0,0.0
08/12/1998,21.125,0.0,0.0
08/13/1998,21.770832061767578,0.0,0.0
08/14/1998,21.78125,0.0,0.0
08/17/1998,20.125,0.0,0.0
08/18/1998,20.197917938232422,0.0,0.0
08/19/1998,21.875,0.0,0.0
08/20/1998,21.041667938232422,0.0,0.0
08/21/1998,21.208332061767578,0.0,0.0
08/24/1998,21.708332061767578,0.0,0.0
08/25/1998,22.90625,0.0,0.0
08/26/1998,21.625,0.0,0.0
08/27/1998,20.729167938232422,0.0,0.0
08/28/1998,19.958332061767578,0.0,0.0
08/31/1998,17.572917938232422,0.0,0.0
09/01/1998,12.6875,0.0,0.0
09/02/1998,13.854166984558105,0.0,0.0
09/03/1998,13.9375,0.0,0.0
09/04/1998,14.447916984558105,0.0,0.0
09/08/1998,15.666666984558105,0.0,0.0
09/09/1998,14.916666984558105,0.0,0.0
09/10/1998,13.229166984558105,0.0,0.0
09/11/1998,13.0625,0.0,0.0
09/14/1998,13.395833015441895,0.0,0.0
09/15/1998,11.802083015441895,0.0,0.0
09/16/1998,12.375,0.0,0.0
09/17/1998,13.40625,0.0,0.0
09/18/1998,12.958333015441895,0.0,0.0
09/21/1998,12.666666984558105,0.0,0.0
09/22/1998,14.708333015441895,0.0,0.0
09/23/1998,15.135416984558105,0.0,0.0
09/24/1998,17.854167938232422,0.0,0.0
09/25/1998,16.416667938232422,0.0,0.0
09/28/1998,19.395832061767578,0.0,0.0
09/29/1998,19.541667938232422,0.0,0.0
09/30/1998,18.583332061767578,0.0,0.0
10/01/1998,18.0,0.0,0.0
10/02/1998,17.552082061767578,0.0,0.0
10/05/1998,18.145832061767578,0.0,0.0
10/06/1998,18.583332061767578,0.0,0.0
10/07/1998,17.104167938232422,0.0,0.0
10/08/1998,13.8125,0.0,0.0
10/09/1998,15.041666984558105,0.0,0.0
10/12/1998,16.1875,0.0,0.0
10/13/1998,15.302083015441895,0.0,0.0
10/14/1998,15.177083015441895,0.0,0.0
10/15/1998,15.708333015441895,0.0,0.0
10/16/1998,16.4375,0.0,0.0
10/19/1998,16.5,0.0,0.0
10/20/1998,18.125,0.0,0.0
10/21/1998,18.239582061767578,0.0,0.0
10/22/1998,17.9375,0.0,0.0
10/23/1998,19.083332061767578,0.0,0.0
10/26/1998,19.854167938232422,0.0,0.0
10/27/1998,20.6875,0.0,0.0
10/28/1998,19.489582061767578,0.0,0.0
10/29/1998,20.21875,0.0,0.0
10/30/1998,21.104167938232422,0.0,0.0
11/02/1998,21.354167938232422,0.0,0.0
11/03/1998,21.854167938232422,0.0,0.0
11/04/1998,21.895832061767578,0.0,0.0
11/05/1998,21.28125,0.0,0.0
11/06/1998,21.0,0.0,0.0
11/09/1998,20.3125,0.0,0.0
11/10/1998,21.375,0.0,0.0
11/11/1998,22.270832061767578,0.0,0.0
11/12/1998,20.916667938232422,0.0,0.0
11/13/1998,21.989582061767578,0.0,0.0
11/16/1998,21.416667938232422,0.0,0.0
11/17/1998,21.5625,0.0,0.0
11/18/1998,25.270832061767578,0.0,0.0
11/19/1998,28.5,0.0,0.0
11/20/1998,29.166667938232422,0.0,0.0
11/23/1998,31.8125,0.0,0.0
11/24/1998,37.33333206176758,0.0,0.0
11/25/1998,36.08333206176758,0.0,0.0
11/27/1998,36.20833206176758,0.0,0.0
11/30/1998,36.60416793823242,0.0,0.0
12/01/1998,30.916667938232422,0.0,0.0
12/02/1998,34.48958206176758,0.0,0.0
12/03/1998,33.1875,0.0,0.0
12/04/1998,32.58333206176758,0.0,0.0
12/07/1998,32.16666793823242,0.0,0.0
12/08/1998,31.604167938232422,0.0,0.0
12/09/1998,34.22916793823242,0.0,0.0
12/10/1998,36.27083206176758,0.0,0.0
12/11/1998,35.01041793823242,0.0,0.0
12/14/1998,36.85416793823242,0.0,0.0
12/15/1998,37.83333206176758,0.0,0.0
12/16/1998,43.1875,0.0,0.0
