FSLR,"First Solar, Inc.",
Date,Price,Annualized Dividend
02/04/2015,47.459999084472656,0.0
02/04/2015,46.97999954223633,0.0
02/05/2015,47.2400016784668,0.0
02/05/2015,46.900001525878906,0.0
02/06/2015,46.9900016784668,0.0
02/06/2015,46.900001525878906,0.0
02/09/2015,46.779998779296875,0.0
02/09/2015,46.33000183105469,0.0
02/10/2015,46.70000076293945,0.0
02/10/2015,48.540000915527344,0.0
02/11/2015,49.849998474121094,0.0
02/11/2015,48.77000045776367,0.0
02/12/2015,49.27000045776367,0.0
02/12/2015,49.41999816894531,0.0
02/13/2015,49.63999938964844,0.0
02/13/2015,48.84000015258789,0.0
02/17/2015,49.15999984741211,0.0
02/17/2015,49.619998931884766,0.0
02/18/2015,49.599998474121094,0.0
02/18/2015,48.84000015258789,0.0
02/19/2015,48.06999969482422,0.0
02/19/2015,48.40999984741211,0.0
02/20/2015,48.65999984741211,0.0
02/20/2015,49.02000045776367,0.0
02/23/2015,49.04999923706055,0.0
02/23/2015,49.63999938964844,0.0
02/24/2015,56.84000015258789,0.0
02/24/2015,54.70000076293945,0.0
02/25/2015,56.150001525878906,0.0
02/25/2015,58.540000915527344,0.0
02/26/2015,57.79999923706055,0.0
02/26/2015,58.68000030517578,0.0
02/27/2015,58.900001525878906,0.0
02/27/2015,59.75,0.0
03/02/2015,59.40999984741211,0.0
03/02/2015,61.11000061035156,0.0
03/03/2015,60.93000030517578,0.0
03/03/2015,60.689998626708984,0.0
03/04/2015,60.52000045776367,0.0
03/04/2015,61.20000076293945,0.0
03/05/2015,61.400001525878906,0.0
03/05/2015,61.65999984741211,0.0
03/06/2015,61.11000061035156,0.0
03/06/2015,60.61000061035156,0.0
03/09/2015,60.81999969482422,0.0
03/09/2015,61.060001373291016,0.0
03/10/2015,60.310001373291016,0.0
03/10/2015,59.86000061035156,0.0
03/11/2015,60.13999938964844,0.0
03/11/2015,59.290000915527344,0.0
03/12/2015,59.47999954223633,0.0
03/12/2015,60.61000061035156,0.0
03/13/2015,60.220001220703125,0.0
03/13/2015,60.599998474121094,0.0
03/16/2015,60.27000045776367,0.0
03/16/2015,60.220001220703125,0.0
03/17/2015,59.88999938964844,0.0
03/17/2015,60.4900016784668,0.0
03/18/2015,60.08000183105469,0.0
03/18/2015,61.43000030517578,0.0
03/19/2015,61.119998931884766,0.0
03/19/2015,60.29999923706055,0.0
03/20/2015,60.66999816894531,0.0
03/20/2015,60.2599983215332,0.0
03/23/2015,60.060001373291016,0.0
03/23/2015,60.58000183105469,0.0
03/24/2015,60.36000061035156,0.0
03/24/2015,62.52000045776367,0.0
03/25/2015,62.70000076293945,0.0
03/25/2015,60.09000015258789,0.0
03/26/2015,59.529998779296875,0.0
03/26/2015,59.619998931884766,0.0
03/27/2015,59.400001525878906,0.0
03/27/2015,59.61000061035156,0.0
03/30/2015,59.720001220703125,0.0
03/30/2015,60.689998626708984,0.0
03/31/2015,60.029998779296875,0.0
03/31/2015,59.790000915527344,0.0
04/01/2015,59.84000015258789,0.0
04/01/2015,60.83000183105469,0.0
04/02/2015,61.0,0.0
04/02/2015,61.189998626708984,0.0
04/06/2015,60.720001220703125,0.0
04/06/2015,61.5099983215332,0.0
04/07/2015,61.560001373291016,0.0
04/07/2015,61.27000045776367,0.0
