VOO,Vanguard S&P 500 ETF,
Date,Price,Annualized Dividend
11/22/2019,279.14453125,5.431
11/25/2019,280.0728896624513,5.431
11/25/2019,281.2651062011719,5.431
11/26/2019,281.3531085561104,5.431
11/26/2019,281.8319396972656,5.431
11/27/2019,282.47684929261976,5.431
11/27/2019,283.1609191894531,5.431
11/29/2019,282.6625132169715,5.431
11/29/2019,282.076171875,5.431
12/02/2019,282.4475303826127,5.431
12/02/2019,279.7796936035156,5.431
12/03/2019,277.06303831431546,5.431
12/03/2019,277.8155212402344,5.431
12/04/2019,278.90998457655144,5.431
12/04/2019,279.5940246582031,5.431
12/05/2019,280.2976144271496,5.431
12/05/2019,280.1119689941406,5.431
12/06/2019,282.0077891481438,5.431
12/06/2019,282.6039123535156,5.431
12/09/2019,282.2912015613457,5.431
12/09/2019,281.74395751953125,5.431
12/10/2019,281.74394274527793,5.431
12/10/2019,281.4801025390625,5.431
12/11/2019,281.8807900242128,5.431
12/11/2019,282.2130432128906,5.431
12/12/2019,282.2716591786737,5.431
12/12/2019,284.6951599121094,5.431
12/13/2019,284.4606383647838,5.431
12/13/2019,284.80267333984375,5.431
12/16/2019,286.58121024511337,5.431
12/16/2019,286.81573486328125,5.431
12/17/2019,287.29455900250946,5.431
12/17/2019,286.8743591308594,5.431
12/18/2019,287.32390261174766,5.431
12/18/2019,286.8939208984375,5.431
12/19/2019,287.08936114082695,5.431
12/19/2019,288.08612060546875,5.431
12/20/2019,289.151335130703,5.431
12/20/2019,289.5519714355469,5.431
12/23/2019,290.1598190495143,5.571000000000001
12/23/2019,289.8357849121094,5.571000000000001
12/24/2019,290.0321592487795,5.571000000000001
12/24/2019,289.8357849121094,5.571000000000001
12/26/2019,290.2285191876956,5.571000000000001
12/26/2019,291.3185119628906,5.571000000000001
12/27/2019,292.1433559718325,5.571000000000001
12/27/2019,291.3185119628906,5.571000000000001
12/30/2019,291.3971024747848,5.571000000000001
12/30/2019,289.71795654296875,5.571000000000001
12/31/2019,289.2171529369643,5.571000000000001
12/31/2019,290.4642333984375,5.571000000000001
01/02/2020,291.92736592676624,5.571000000000001
01/02/2020,293.0369873046875,5.571000000000001
01/03/2020,289.8946503783843,5.571000000000001
01/03/2020,290.896240234375,5.571000000000001
01/06/2020,289.10912699755767,5.571000000000001
01/06/2020,291.98626708984375,5.571000000000001
01/07/2020,291.46583803479007,5.571000000000001
01/07/2020,291.1810607910156,5.571000000000001
01/08/2020,291.3578175281671,5.571000000000001
01/08/2020,292.6834716796875,5.571000000000001
01/09/2020,294.32334940230487,5.571000000000001
01/09/2020,294.706298828125,5.571000000000001
01/10/2020,295.3151002884943,5.571000000000001
01/10/2020,293.86181640625,5.571000000000001
01/13/2020,294.5000956168241,5.571000000000001
01/13/2020,295.80609130859375,5.571000000000001
01/14/2020,295.46241561671286,5.571000000000001
01/14/2020,295.4132995605469,5.571000000000001
01/15/2020,295.3838429752489,5.571000000000001
01/15/2020,296.07122802734375,5.571000000000001
01/16/2020,297.47544184678,5.571000000000001
