NEP,"NextEra Energy Partners, LP",
Date,Price,Annualized Dividend
03/25/2015,34.57280070171971,0.383
03/25/2015,34.4218635559082,0.383
03/26/2015,34.35037095455197,0.383
03/26/2015,34.39009094238281,0.383
03/27/2015,34.64429788245998,0.383
03/27/2015,34.4218635559082,0.383
03/30/2015,34.954123366132464,0.383
03/30/2015,34.48542022705078,0.383
03/31/2015,34.40597423225119,0.383
03/31/2015,34.81112289428711,0.383
04/01/2015,34.92234659066048,0.383
04/01/2015,35.08917236328125,0.383
04/02/2015,35.02562413321495,0.383
04/02/2015,35.256004333496094,0.383
04/06/2015,35.16861784617986,0.383
04/06/2015,33.88961410522461,0.383
04/07/2015,34.15970198549182,0.383
04/07/2015,33.92137908935547,0.383
04/08/2015,33.6830591080553,0.383
04/08/2015,33.691001892089844,0.383
04/09/2015,33.83399551904569,0.383
04/09/2015,33.595672607421875,0.383
04/10/2015,33.452680220377516,0.383
04/10/2015,33.38912582397461,0.383
04/13/2015,33.46062658432939,0.383
04/13/2015,34.28681564331055,0.383
04/14/2015,34.19149098537988,0.383
04/14/2015,33.770450592041016,0.383
04/15/2015,33.762505278280884,0.383
04/15/2015,34.24709701538086,0.383
04/16/2015,34.064384772704834,0.383
04/16/2015,34.175601959228516,0.383
04/17/2015,34.00082701020685,0.383
04/17/2015,33.285858154296875,0.383
04/20/2015,33.389124374690944,0.383
04/20/2015,33.19846725463867,0.383
04/21/2015,33.40501856889123,0.383
04/21/2015,33.14286422729492,0.383
04/22/2015,33.28586055433082,0.383
04/22/2015,33.06342315673828,0.383
04/23/2015,33.19052063171967,0.383
04/23/2015,33.35734939575195,0.383
04/24/2015,33.56390508902198,0.383
04/24/2015,34.270931243896484,0.383
04/27/2015,34.541026822291045,0.383
04/27/2015,35.0494499206543,0.383
04/28/2015,34.8508401732887,0.383
04/28/2015,34.278865814208984,0.383
04/29/2015,34.20738010152148,0.383
04/29/2015,33.88961410522461,0.383
04/30/2015,34.37420505237245,0.383
04/30/2015,33.65923309326172,0.383
05/01/2015,33.9346261557486,0.588
05/01/2015,33.65523147583008,0.588
05/04/2015,34.08630534058519,0.588
05/04/2015,33.76699447631836,0.588
05/05/2015,33.68716685717729,0.588
05/05/2015,33.44768524169922,0.588
05/06/2015,33.79094883863059,0.588
05/06/2015,33.42374038696289,0.588
05/07/2015,33.296007973864214,0.588
05/07/2015,33.008628845214844,0.588
05/08/2015,33.367861375744205,0.588
05/08/2015,35.04423904418945,0.588
05/11/2015,34.900544797548605,0.588
05/11/2015,34.413597106933594,0.588
05/12/2015,34.45351643330909,0.588
05/12/2015,34.55729293823242,0.588
05/13/2015,34.78879054685389,0.588
05/13/2015,34.924495697021484,0.588
