EFC,Ellington Financial Inc.,
Date,Price,Dividend,Annualized Dividend
10/04/2011,5.251682272535702,0.0,2.91
10/05/2011,5.210028178271284,0.0,2.91
10/06/2011,5.229252189547391,0.0,2.91
10/07/2011,5.3862578122619835,0.0,2.91
10/10/2011,5.639391216211763,0.0,2.91
10/11/2011,5.751537579958822,0.0,2.91
10/12/2011,5.754740449843339,0.0,2.91
10/13/2011,5.632982506257935,0.0,2.91
10/14/2011,5.6457979846646005,0.0,2.91
10/17/2011,5.65220663863691,0.0,2.91
10/18/2011,5.604144021961654,0.0,2.91
10/19/2011,5.684249859957919,0.0,2.91
10/20/2011,5.7387184817465,0.0,2.91
10/21/2011,5.68745360899373,0.0,2.91
10/24/2011,5.732311421353191,0.0,2.91
10/25/2011,5.70667837735733,0.0,2.91
10/26/2011,5.757944423154025,0.0,2.91
10/27/2011,5.882910178589767,0.0,2.91
10/28/2011,5.895724819821874,0.0,2.91
10/31/2011,5.786782358170258,0.0,2.91
11/01/2011,5.738721229130764,0.0,2.91
11/02/2011,5.873297141360802,0.0,2.91
11/03/2011,5.9149510311741444,0.0,2.91
11/04/2011,5.886115495773802,0.0,2.91
11/07/2011,6.007873358791821,0.0,2.91
11/08/2011,5.838049465837329,0.0,2.91
11/09/2011,5.802804076128291,0.0,2.91
11/10/2011,5.796397155549299,0.0,2.91
11/11/2011,5.8156220130836225,0.0,2.91
11/14/2011,5.7355149421331895,0.0,2.91
11/15/2011,5.709884455831932,0.0,2.91
11/16/2011,5.703474795837697,0.0,2.91
11/17/2011,5.761148487271836,0.0,2.91
11/18/2011,5.620164780477889,0.0,2.91
11/21/2011,5.565694347098007,0.0,2.91
11/22/2011,5.54326361492734,0.0,2.91
11/23/2011,5.463160016524853,0.0,2.91
11/25/2011,5.447138971273259,0.0,2.91
11/28/2011,5.447137175073552,0.0,2.91
11/29/2011,5.476360079188828,0.4,2.51
11/30/2011,5.627297346266682,0.0,2.51
12/01/2011,5.620734407289598,0.0,2.51
12/02/2011,5.5682362301017205,0.0,2.51
12/05/2011,5.673234864380195,0.0,2.51
12/06/2011,5.5682326748397015,0.0,2.51
12/07/2011,5.558390408161353,0.0,2.51
12/08/2011,5.61089111415361,0.0,2.51
12/09/2011,5.558392959830741,0.0,2.51
12/12/2011,5.630580060349996,0.0,2.51
12/13/2011,5.666670637249505,0.0,2.51
12/14/2011,5.679797020645442,0.0,2.51
12/15/2011,5.614170542638411,0.0,2.51
12/16/2011,5.610890140602511,0.0,2.51
12/19/2011,5.6108905048524065,0.0,2.51
12/20/2011,5.617455490426483,0.0,2.51
12/21/2011,5.633858431882494,0.0,2.51
12/22/2011,5.617454780136753,0.0,2.51
12/23/2011,5.620735757692729,0.0,2.51
12/27/2011,5.627297106082065,0.0,2.51
12/28/2011,5.630579653807444,0.0,2.51
12/29/2011,5.624014474602452,0.0,2.51
12/30/2011,5.614173422961543,0.0,2.51
01/03/2012,5.751984381756735,0.0,2.51
01/04/2012,5.742139355500795,0.0,2.51
01/05/2012,5.7487017042255415,0.0,2.51
01/06/2012,5.814326840173501,0.0,2.51
01/09/2012,5.935732436418603,0.0,2.51
01/10/2012,6.027605362256481,0.0,2.51
01/11/2012,6.1522937588797735,0.0,2.51
01/12/2012,6.2080731270256475,0.0,2.51
01/13/2012,6.1161970907968035,0.0,2.51
01/17/2012,6.053856567754485,0.0,2.51
01/18/2012,6.047295093536377,0.0,2.51
01/19/2012,6.024325817902361,0.0,2.51
01/20/2012,6.1293247175353756,0.0,2.51
01/23/2012,6.303228429080461,0.0,2.51
01/24/2012,6.368851120965087,0.0,2.51
01/25/2012,6.359010152116091,0.0,2.51
01/26/2012,6.460728715063746,0.0,2.51
01/27/2012,6.398382734751683,0.0,2.51
01/30/2012,6.276978375650831,0.0,2.51
01/31/2012,6.349165687281945,0.0,2.51
02/01/2012,6.388538275469387,0.0,2.51
02/02/2012,6.378698487488511,0.0,2.51
02/03/2012,6.38197922652596,0.0,2.51
02/06/2012,6.349165687281945,0.0,2.51
02/07/2012,6.3426035021311815,0.0,2.51
02/08/2012,6.368853932405756,0.0,2.51
02/09/2012,6.381978571364463,0.0,2.51
02/10/2012,6.3229164610606015,0.0,2.51
02/13/2012,6.3327612180032355,0.0,2.51
02/14/2012,6.309793457352513,0.0,2.51
02/15/2012,6.365572634232663,0.0,2.51
02/16/2012,6.349165684690631,0.0,2.51
02/17/2012,6.398382165643217,0.0,2.51
02/21/2012,6.381979432645503,0.0,2.51
02/22/2012,6.404947586466139,0.0,2.51
02/23/2012,6.391819889549821,0.0,2.51
02/24/2012,6.36885268024535,0.0,2.51
02/27/2012,6.447600772522249,0.0,2.51
02/28/2012,6.529699433083231,0.4,1.6
02/29/2012,6.46942560190797,0.0,1.6
03/01/2012,6.439289860722273,0.0,1.6
03/02/2012,6.415848314395938,0.0,1.6
03/05/2012,6.479471206665039,0.0,1.6
03/06/2012,6.442637256925656,0.0,1.6
03/07/2012,6.449333003504183,0.0,1.6
03/08/2012,6.479470124350894,0.0,1.6
03/09/2012,6.445985556368053,0.0,1.6
03/12/2012,6.559835201819062,0.0,1.6
03/13/2012,6.543092596927823,0.0,1.6
03/14/2012,6.529700651801203,0.0,1.6
03/15/2012,6.569882851436118,0.0,1.6
03/16/2012,6.553139648217229,0.0,1.6
03/19/2012,6.529699802398682,0.0,1.6
03/20/2012,6.529699802398682,0.0,1.6
03/21/2012,6.529699802398682,0.0,1.6
03/22/2012,6.529699802398682,0.0,1.6
03/23/2012,6.566532481342733,0.0,1.6
03/26/2012,6.54644221865448,0.0,1.6
03/27/2012,6.546442366929674,0.0,1.6
03/28/2012,6.553140583473768,0.0,1.6
03/29/2012,6.596669687178936,0.0,1.6
03/30/2012,6.54644221865448,0.0,1.6
04/02/2012,6.563186423907011,0.0,1.6
04/03/2012,6.5531417743176,0.0,1.6
04/04/2012,6.492867500550019,0.0,1.6
04/05/2012,6.512955477965241,0.0,1.6
04/09/2012,6.50291014566787,0.0,1.6
04/10/2012,6.626808465004546,0.0,1.6
04/11/2012,6.583276169036262,0.0,1.6
04/12/2012,6.603371115309675,0.0,1.6
04/13/2012,6.5799284354282035,0.0,1.6
04/16/2012,6.5799284354282035,0.0,1.6
04/17/2012,6.613414846288245,0.0,1.6
04/18/2012,6.623462968710526,0.0,1.6
04/19/2012,6.640203487587754,0.0,1.6
04/20/2012,6.663644054743913,0.0,1.6
04/23/2012,6.68373267621298,0.0,1.6
04/24/2012,6.600019641521281,0.0,1.6
04/25/2012,6.610067688663367,0.0,1.6
04/26/2012,6.616763996948255,0.0,1.6
04/27/2012,6.643552489296709,0.0,1.6
04/30/2012,6.656944918480345,0.0,1.6
05/01/2012,6.677036281661619,0.0,1.6
05/02/2012,6.720568470513142,0.0,1.6
05/03/2012,6.7138716778764,0.0,1.6
05/04/2012,6.680385176616945,0.0,1.6
05/07/2012,6.666992471681097,0.0,1.6
05/08/2012,6.998497350278769,0.0,1.6
05/09/2012,7.028637707417909,0.0,1.6
05/10/2012,7.085561479843792,0.0,1.6
05/11/2012,7.1558823941585485,0.0,1.6
05/14/2012,7.192716937341609,0.0,1.6
05/15/2012,7.256340950996599,0.0,1.6
05/16/2012,7.2663868767140585,0.0,1.6
05/17/2012,7.259688963587065,0.0,1.6
05/18/2012,7.179322403680723,0.0,1.6
05/21/2012,7.109002824112969,0.0,1.6
05/22/2012,7.135792414416093,0.0,1.6
05/23/2012,7.132440985326794,0.0,1.6
05/24/2012,7.132442951202393,0.0,1.6
05/25/2012,7.149185030177733,0.0,1.6
05/29/2012,7.209457560971653,0.0,1.6
05/30/2012,7.148392978850187,0.7,1.9000000000000001
05/31/2012,7.096465497869372,0.0,1.9000000000000001
06/01/2012,7.027232781704459,0.0,1.9000000000000001
06/04/2012,7.058387996179276,0.0,1.9000000000000001
06/05/2012,6.989155276644027,0.0,1.9000000000000001
06/06/2012,7.113775720830429,0.0,1.9000000000000001
06/07/2012,7.086082059317889,0.0,1.9000000000000001
06/08/2012,7.144929632073581,0.0,1.9000000000000001
06/11/2012,7.210704694703599,0.0,1.9000000000000001
06/12/2012,7.387249770933571,0.0,1.9000000000000001
06/13/2012,7.335324912557721,0.0,1.9000000000000001
06/14/2012,7.38724813171073,0.0,1.9000000000000001
06/15/2012,7.390713389821561,0.0,1.9000000000000001
06/18/2012,7.369942198071124,0.0,1.9000000000000001
06/19/2012,7.369943420341495,0.0,1.9000000000000001
06/20/2012,7.373403241854407,0.0,1.9000000000000001
06/21/2012,7.331861777987439,0.0,1.9000000000000001
06/22/2012,7.2626284810456525,0.0,1.9000000000000001
06/25/2012,7.269553558357018,0.0,1.9000000000000001
06/26/2012,7.1726260819267935,0.0,1.9000000000000001
06/27/2012,7.2141648546303925,0.0,1.9000000000000001
06/28/2012,7.3076336795442085,0.0,1.9000000000000001
06/29/2012,7.345710171704782,0.0,1.9000000000000001
07/02/2012,7.356094802457265,0.0,1.9000000000000001
07/03/2012,7.401097363878028,0.0,1.9000000000000001
07/05/2012,7.4426376433711745,0.0,1.9000000000000001
07/06/2012,7.470328849704028,0.0,1.9000000000000001
07/09/2012,7.553411999757755,0.0,1.9000000000000001
07/10/2012,7.539565817043155,0.0,1.9000000000000001
07/11/2012,7.442637959033208,0.0,1.9000000000000001
07/12/2012,7.494559968739097,0.0,1.9000000000000001
07/13/2012,7.529179881919514,0.0,1.9000000000000001
07/16/2012,7.643414807290012,0.0,1.9000000000000001
07/17/2012,7.705725484964232,0.0,1.9000000000000001
07/18/2012,7.792266666810952,0.0,1.9000000000000001
07/19/2012,7.785344358697799,0.0,1.9000000000000001
07/20/2012,7.781885754444256,0.0,1.9000000000000001
07/23/2012,7.705724112962633,0.0,1.9000000000000001
07/24/2012,7.62264446706316,0.0,1.9000000000000001
