BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Dividend,Annualized Dividend
08/21/2002,7.184334316226148,0.0,0.185
08/22/2002,7.190995968587271,0.0,0.185
08/23/2002,7.128810687861271,0.0,0.185
08/26/2002,7.122153978573132,0.0,0.185
08/27/2002,7.146578819004486,0.0,0.185
08/28/2002,6.622469131808641,0.0,0.185
08/29/2002,6.620246874754891,0.0,0.185
08/30/2002,6.660218932050658,0.0,0.185
09/03/2002,6.669104845621454,0.0,0.185
09/04/2002,6.604702714690467,0.0,0.185
09/05/2002,6.566947157616246,0.0,0.185
09/06/2002,6.684651228486223,0.0,0.185
09/09/2002,6.61802503289737,0.0,0.185
09/10/2002,6.642456587867441,0.0,0.185
09/11/2002,6.662440018694929,0.0,0.185
09/12/2002,6.624686746056684,0.0,0.185
09/13/2002,6.518091436737596,0.0,0.185
09/16/2002,6.55362486507406,0.0,0.185
09/17/2002,6.60470253767723,0.0,0.185
09/18/2002,6.478117028604108,0.0,0.185
09/19/2002,6.395945730119922,0.0,0.185
09/20/2002,6.200513270820161,0.0,0.185
09/23/2002,6.167201168629779,0.0,0.185
09/24/2002,6.0339515337554115,0.0,0.185
09/25/2002,6.096133856794442,0.0,0.185
09/26/2002,6.222720335991416,0.0,0.185
09/27/2002,6.325496779844624,0.185,0.37
09/30/2002,6.170229907204372,0.0,0.37
10/01/2002,6.302997030538314,0.0,0.37
10/02/2002,6.399756041403794,0.0,0.37
10/03/2002,6.255738761239279,0.0,0.37
10/04/2002,6.19948455710051,0.0,0.37
10/07/2002,6.140977164314615,0.0,0.37
10/08/2002,6.111721936153022,0.0,0.37
10/09/2002,6.116223173175081,0.0,0.37
10/10/2002,6.001460109749541,0.0,0.37
10/11/2002,6.260242087143627,0.0,0.37
10/14/2002,6.30074405670166,0.0,0.37
10/15/2002,6.505521872066874,0.0,0.37
10/16/2002,6.6495349952597955,0.0,0.37
10/17/2002,6.759799337503487,0.0,0.37
10/18/2002,6.802553941402255,0.0,0.37
10/21/2002,7.005080323790141,0.0,0.37
10/22/2002,7.104089056120154,0.0,0.37
10/23/2002,6.723792174827028,0.0,0.37
10/24/2002,6.784552948871779,0.0,0.37
10/25/2002,6.955571528711811,0.0,0.37
10/28/2002,7.074838656127967,0.0,0.37
10/29/2002,6.939818712329277,0.0,0.37
10/30/2002,6.777804709253415,0.0,0.37
10/31/2002,6.753047815361288,0.0,0.37
11/01/2002,6.595529475962322,0.0,0.37
11/04/2002,6.771051350354179,0.0,0.37
11/05/2002,6.593277889199855,0.0,0.37
11/06/2002,6.665287414881448,0.0,0.37
11/07/2002,6.591029581040409,0.0,0.37
11/08/2002,6.564026779880491,0.0,0.37
11/11/2002,6.600032898885296,0.0,0.37
11/12/2002,6.537021024827646,0.0,0.37
11/13/2002,6.534773762478806,0.0,0.37
11/14/2002,6.579776933866466,0.0,0.37
11/15/2002,6.548275569183935,0.0,0.37
11/18/2002,6.534774172332428,0.0,0.37
11/19/2002,6.44926427909131,0.0,0.37
11/20/2002,6.478515777484957,0.0,0.37
11/21/2002,6.570775577065239,0.0,0.37
11/22/2002,6.658535107605813,0.0,0.37
11/25/2002,6.9758239621587865,0.0,0.37
11/26/2002,7.099588208838326,0.0,0.37
11/27/2002,6.935316869702989,0.0,0.37
11/29/2002,7.043331978797455,0.0,0.37
12/02/2002,7.099590884203599,0.0,0.37
12/03/2002,7.000575295164174,0.0,0.37
12/04/2002,7.0838368186257075,0.0,0.37
12/05/2002,7.099590528646205,0.0,0.37
12/06/2002,7.02083080627016,0.0,0.37
12/09/2002,7.1468444794783785,0.0,0.37
12/10/2002,7.200852312987382,0.0,0.37
12/11/2002,7.33361877199574,0.0,0.37
12/12/2002,7.446130542484562,0.0,0.37
12/13/2002,7.511387566771195,0.0,0.37
12/16/2002,7.639653236263284,0.0,0.37
12/17/2002,7.677908074266106,0.0,0.37
12/18/2002,7.650903947174211,0.0,0.37
12/19/2002,7.605897610255568,0.0,0.37
12/20/2002,7.628402032705139,0.0,0.37
12/23/2002,7.691408942681252,0.0,0.37
12/24/2002,7.736414432525635,0.0,0.37
12/26/2002,7.763421344639411,0.0,0.37
12/27/2002,7.671154715225805,0.0,0.37
12/30/2002,7.531640635154003,0.0,0.37
12/31/2002,7.56539597915535,0.0,0.37
01/02/2003,7.569893026511602,0.0,0.37
01/03/2003,7.744051106243697,0.2,0.5700000000000001
01/06/2003,7.871561368942209,0.0,0.5700000000000001
01/07/2003,7.9239278126345765,0.0,0.5700000000000001
01/08/2003,7.89888268374259,0.0,0.5700000000000001
01/09/2003,7.780479959065812,0.0,0.5700000000000001
01/10/2003,7.7326623819379945,0.0,0.5700000000000001
01/13/2003,7.7577073601796185,0.0,0.5700000000000001
01/14/2003,7.68484273490181,0.0,0.5700000000000001
01/15/2003,7.6233660183432015,0.0,0.5700000000000001
01/16/2003,7.607427163157857,0.0,0.5700000000000001
01/17/2003,7.616537522402844,0.0,0.5700000000000001
01/21/2003,7.6734606583941245,0.0,0.5700000000000001
01/22/2003,7.618810760429552,0.0,0.5700000000000001
01/23/2003,7.696228878024211,0.0,0.5700000000000001
01/24/2003,7.6848432766418755,0.0,0.5700000000000001
01/27/2003,7.650688172414666,0.0,0.5700000000000001
01/28/2003,7.536840512182983,0.0,0.5700000000000001
01/29/2003,7.466255080395313,0.0,0.5700000000000001
01/30/2003,7.479913977534441,0.0,0.5700000000000001
01/31/2003,7.484471744794512,0.0,0.5700000000000001
02/03/2003,7.591486161607119,0.0,0.5700000000000001
02/04/2003,7.561887750749564,0.0,0.5700000000000001
02/05/2003,7.6370301573759285,0.0,0.5700000000000001
02/06/2003,7.586933058755328,0.0,0.5700000000000001
02/07/2003,7.57782594677577,0.0,0.5700000000000001
02/10/2003,7.5596109453075195,0.0,0.5700000000000001
02/11/2003,7.466253795980253,0.0,0.5700000000000001
02/12/2003,7.545952261354058,0.0,0.5700000000000001
02/13/2003,7.536840195814659,0.0,0.5700000000000001
02/14/2003,7.591488173093995,0.0,0.5700000000000001
02/18/2003,7.741771929679284,0.0,0.5700000000000001
02/19/2003,7.864727637848711,0.0,0.5700000000000001
02/20/2003,7.9011616706848145,0.0,0.5700000000000001
02/21/2003,7.923927866832805,0.0,0.5700000000000001
02/24/2003,7.923931131864333,0.0,0.5700000000000001
02/25/2003,7.9102678943996585,0.0,0.5700000000000001
02/26/2003,7.923927625803932,0.0,0.5700000000000001
02/27/2003,7.939870760225429,0.0,0.5700000000000001
