TAN,Invesco Solar ETF,
Date,Price,Dividend,Annualized Dividend
05/11/2009,68.36157302091178,0.0,0.12
05/12/2009,68.13840421766805,0.0,0.12
05/13/2009,64.71661688704803,0.0,0.12
05/14/2009,60.84849653886854,0.0,0.12
05/15/2009,65.53487190472363,0.0,0.12
05/18/2009,64.49345676946994,0.0,0.12
05/19/2009,66.1299704267408,0.0,0.12
05/20/2009,71.85775680559945,0.0,0.12
05/21/2009,71.41144200645961,0.0,0.12
05/22/2009,71.33705333415534,0.0,0.12
05/26/2009,70.22124768581615,0.0,0.12
05/27/2009,70.22124699010293,0.0,0.12
05/28/2009,72.89917632517538,0.0,0.12
05/29/2009,74.01496891139709,0.0,0.12
06/01/2009,76.24658573596358,0.0,0.12
06/02/2009,77.21362308947947,0.0,0.12
06/03/2009,76.24658836879728,0.0,0.12
06/04/2009,75.57710406921008,0.0,0.12
06/05/2009,81.82560307319174,0.0,0.12
06/08/2009,77.43678079928544,0.0,0.12
06/09/2009,79.89154738444388,0.0,0.12
06/10/2009,83.53651779110022,0.0,0.12
06/11/2009,85.91689381655841,0.0,0.12
06/12/2009,83.83404851499064,0.0,0.12
06/15/2009,81.60245043542731,0.0,0.12
06/16/2009,79.29644719105664,0.0,0.12
06/17/2009,77.65994549799913,0.0,0.12
06/18/2009,74.4613138006987,0.0,0.12
06/19/2009,75.42833837093856,0.0,0.12
06/22/2009,73.1967274925301,0.0,0.12
06/23/2009,69.179829634456,0.0,0.12
06/24/2009,70.89074188965043,0.0,0.12
06/25/2009,70.81634360854339,0.0,0.12
06/26/2009,71.18828504982966,0.0,0.12
06/29/2009,71.18827980338156,0.0,0.12
06/30/2009,71.70900298074416,0.0,0.12
07/01/2009,72.37846325051802,0.0,0.12
07/02/2009,70.51879605554342,0.0,0.12
07/06/2009,68.06403318582319,0.0,0.12
07/07/2009,66.05557608667768,0.0,0.12
07/08/2009,63.228885922406064,0.0,0.12
07/09/2009,64.04713960272761,0.0,0.12
07/10/2009,63.154495448178935,0.0,0.12
07/13/2009,63.154497987531805,0.0,0.12
07/14/2009,63.89836442776433,0.0,0.12
07/15/2009,64.64223514452534,0.0,0.12
07/16/2009,66.72506906768274,0.0,0.12
07/17/2009,66.5762939453125,0.0,0.12
07/20/2009,67.69210568864843,0.0,0.12
07/21/2009,69.32860951705152,0.0,0.12
07/22/2009,70.81633758544922,0.0,0.12
07/23/2009,71.41143847438725,0.0,0.12
07/24/2009,75.57710437535009,0.0,0.12
07/27/2009,79.81716352097808,0.0,0.12
07/28/2009,75.65149365220442,0.0,0.12
07/29/2009,73.27110976897409,0.0,0.12
07/30/2009,75.72587463334949,0.0,0.12
07/31/2009,73.86620487963921,0.0,0.12
08/03/2009,75.13077676780077,0.0,0.12
08/04/2009,75.6514852259581,0.0,0.12
08/05/2009,75.27955904197853,0.0,0.12
08/06/2009,76.61853134382629,0.0,0.12
08/07/2009,74.68445853513978,0.0,0.12
08/10/2009,73.04794873297337,0.0,0.12
08/11/2009,74.38690808354592,0.0,0.12
08/12/2009,72.67601613277354,0.0,0.12
08/13/2009,72.8991750102598,0.0,0.12
08/14/2009,70.29564230199804,0.0,0.12
08/17/2009,67.24576424494717,0.0,0.12
08/18/2009,66.05557279833891,0.0,0.12
08/19/2009,63.97273924171242,0.0,0.12
08/20/2009,66.2043549273647,0.0,0.12
08/21/2009,67.0969870275948,0.0,0.12
08/24/2009,65.90680612971556,0.0,0.12
08/25/2009,65.75802933229228,0.0,0.12
08/26/2009,65.75804387119815,0.0,0.12
08/27/2009,64.12151939904466,0.0,0.12
08/28/2009,66.05558497551961,0.0,0.12
08/31/2009,63.3032730528583,0.0,0.12
09/01/2009,62.038695443056056,0.0,0.12
09/02/2009,60.03024107570513,0.0,0.12
09/03/2009,61.81552786201128,0.0,0.12
09/04/2009,62.78256337709318,0.0,0.12
09/08/2009,66.65067232759641,0.0,0.12
09/09/2009,70.22125325352323,0.0,0.12
09/10/2009,71.03950389899981,0.0,0.12
09/11/2009,73.56867114107054,0.0,0.12
09/14/2009,70.66757639249165,0.0,0.12
09/15/2009,72.60162996846134,0.0,0.12
09/16/2009,75.13078278619886,0.0,0.12
09/17/2009,77.2880076300881,0.0,0.12
09/18/2009,78.03187564769595,0.0,0.12
09/21/2009,76.61852625624074,0.0,0.12
09/22/2009,78.92451916497882,0.0,0.12
09/23/2009,79.2964504557708,0.0,0.12
09/24/2009,76.24657927010381,0.0,0.12
09/25/2009,73.19672399055726,0.0,0.12
09/28/2009,72.60164229074661,0.0,0.12
09/29/2009,73.12233658554304,0.0,0.12
09/30/2009,74.3869236347828,0.0,0.12
10/01/2009,72.30408358774355,0.0,0.12
10/02/2009,67.98965454101562,0.0,0.12
10/05/2009,68.88228527668254,0.0,0.12
10/06/2009,70.51879056345713,0.0,0.12
10/07/2009,71.93214856950745,0.0,0.12
10/08/2009,73.1223373413086,0.0,0.12
10/09/2009,73.04794833598346,0.0,0.12
10/12/2009,74.238134845115,0.0,0.12
10/13/2009,74.61007398950358,0.0,0.12
10/14/2009,74.98201472128042,0.0,0.12
10/15/2009,73.64305689519439,0.0,0.12
10/16/2009,71.85776601773189,0.0,0.12
10/19/2009,71.41143608174178,0.0,0.12
10/20/2009,73.56865610063929,0.0,0.12
10/21/2009,72.60162115448668,0.0,0.12
10/22/2009,72.30407632884246,0.0,0.12
10/23/2009,71.78337825885438,0.0,0.12
10/26/2009,70.5187963491023,0.0,0.12
10/27/2009,68.21279899169024,0.0,0.12
10/28/2009,65.98120096606596,0.0,0.12
10/29/2009,63.97274821982967,0.0,0.12
10/30/2009,64.5678525819365,0.0,0.12
11/02/2009,62.113077445770394,0.0,0.12
11/03/2009,60.476573262791604,0.0,0.12
11/04/2009,64.64223999439184,0.0,0.12
11/05/2009,63.89836751152756,0.0,0.12
11/06/2009,64.27030100709098,0.0,0.12
11/09/2009,65.98118712084728,0.0,0.12
11/10/2009,65.8324151069635,0.0,0.12
11/11/2009,66.35312810514668,0.0,0.12
11/12/2009,65.08855154347974,0.0,0.12
11/13/2009,63.749591806743865,0.0,0.12
11/16/2009,67.54332176623342,0.0,0.12
11/17/2009,68.21280782178614,0.0,0.12
11/18/2009,69.40299469638562,0.0,0.12
11/19/2009,68.95667104169198,0.0,0.12
11/20/2009,67.69208893233889,0.0,0.12
11/23/2009,70.22124885372753,0.0,0.12
11/24/2009,70.44440942742357,0.0,0.12
11/25/2009,69.99808860377448,0.0,0.12
11/27/2009,66.94822222689291,0.0,0.12
11/30/2009,68.58473404644123,0.0,0.12
12/01/2009,70.4444133548277,0.0,0.12
12/02/2009,71.48583140513983,0.0,0.12
12/03/2009,71.33705225326158,0.0,0.12
12/04/2009,73.27111374292618,0.0,0.12
12/07/2009,72.82478909044079,0.0,0.12
12/08/2009,74.68446591776912,0.0,0.12
12/09/2009,74.01497890368448,0.0,0.12
12/10/2009,73.86620890013796,0.0,0.12
12/11/2009,73.12235068220589,0.0,0.12
12/14/2009,73.12234179342398,0.0,0.12
12/15/2009,75.05639132612525,0.0,0.12
12/16/2009,76.09781968341404,0.0,0.12
12/17/2009,74.53567814808105,0.0,0.12
12/18/2009,74.08936153001152,0.0,0.12
12/21/2009,75.42833152523242,0.0,0.12
12/22/2009,76.46975268097935,0.0,0.12
12/23/2009,76.69291002604282,0.0,0.12
12/24/2009,76.24658442612643,0.0,0.12
12/28/2009,75.80027089398936,0.0,0.12
12/29/2009,76.9160799273272,0.0,0.12
12/30/2009,76.09781130279107,0.0,0.0
12/31/2009,76.54413846266718,0.0,0.0
01/04/2010,76.99045453972383,0.0,0.0
01/05/2010,78.9245141340661,0.0,0.0
01/06/2010,82.2719320732298,0.0,0.0
01/07/2010,82.56947926904894,0.0,0.0
01/08/2010,83.01580082859488,0.0,0.0
01/11/2010,84.94985352758323,0.0,0.0
01/12/2010,83.09018669901751,0.0,0.0
01/13/2010,81.52805928249677,0.0,0.0
01/14/2010,81.82560635968973,0.0,0.0
01/15/2010,77.73433549148127,0.0,0.0
01/19/2010,74.31253732343619,0.0,0.0
01/20/2010,73.41988858922839,0.0,0.0
01/21/2010,72.52723953804058,0.0,0.0
01/22/2010,68.80789361359558,0.0,0.0
01/25/2010,68.2128119238368,0.0,0.0
01/26/2010,67.61770715492129,0.0,0.0
01/27/2010,68.7335194361908,0.0,0.0
01/28/2010,68.06403568298735,0.0,0.0
01/29/2010,66.35311587311465,0.0,0.0
02/01/2010,66.20436607986376,0.0,0.0
02/02/2010,67.54331975431268,0.0,0.0
02/03/2010,68.43596126832855,0.0,0.0
02/04/2010,66.94822382881668,0.0,0.0
02/05/2010,63.228884584337614,0.0,0.0
02/08/2010,63.08010204110614,0.0,0.0
02/09/2010,63.22886811205622,0.0,0.0
02/10/2010,62.41062176634534,0.0,0.0
02/11/2010,61.666753358432835,0.0,0.0
02/12/2010,61.443594038845504,0.0,0.0
02/16/2010,62.78256682431382,0.0,0.0
02/17/2010,65.38610200627454,0.0,0.0
02/18/2010,63.89836720840904,0.0,0.0
02/19/2010,63.0057168099215,0.0,0.0
02/22/2010,62.48501309481534,0.0,0.0
02/23/2010,60.55094555539316,0.0,0.0
02/24/2010,59.286373127462696,0.0,0.0
02/25/2010,57.05475583396569,0.0,0.0
02/26/2010,58.02178811578236,0.0,0.0
03/01/2010,58.91444683520613,0.0,0.0
03/02/2010,57.5754738229447,0.0,0.0
03/03/2010,59.65830807837736,0.0,0.0
03/04/2010,61.36920484297114,0.0,0.0
03/05/2010,60.99727093246427,0.0,0.0
03/08/2010,61.74114551995848,0.0,0.0
03/09/2010,60.77410807094693,0.0,0.0
03/10/2010,60.848494674501126,0.0,0.0
03/11/2010,62.33623071412309,0.0,0.0
03/12/2010,63.228878607840365,0.0,0.0
03/15/2010,63.00570824489689,0.0,0.0
03/16/2010,62.33623287509753,0.0,0.0
03/17/2010,63.15449988475686,0.0,0.0
03/18/2010,62.11307297631476,0.0,0.0
03/19/2010,60.25340270996094,0.0,0.0
03/22/2010,59.509523758977096,0.0,0.0
03/23/2010,59.732692622799746,0.0,0.0
03/24/2010,60.99727026816526,0.0,0.0
03/25/2010,61.36920484297114,0.0,0.0
03/26/2010,61.07165199942808,0.0,0.0
03/29/2010,62.55940058567304,0.0,0.0
03/30/2010,63.30326384086018,0.0,0.0
03/31/2010,63.89836444272846,0.0,0.0
04/01/2010,64.12152539071364,0.0,0.0
04/05/2010,63.97275381474159,0.0,0.0
04/06/2010,63.22887182608483,0.0,0.0
04/07/2010,64.34467174202659,0.0,0.0
04/08/2010,64.19590020463872,0.0,0.0
04/09/2010,65.53487804885268,0.0,0.0
04/12/2010,65.01416097740909,0.0,0.0
04/13/2010,65.8324151069635,0.0,0.0
04/14/2010,65.83242554038637,0.0,0.0
04/15/2010,66.50189670044965,0.0,0.0
04/16/2010,67.39454141689772,0.0,0.0
04/19/2010,63.15448296782892,0.0,0.0
04/20/2010,64.27029505398912,0.0,0.0
04/21/2010,64.49345943247232,0.0,0.0
04/22/2010,62.55939468720666,0.0,0.0
04/23/2010,63.74958002055575,0.0,0.0
04/26/2010,64.19591603181429,0.0,0.0
04/27/2010,63.37765137176766,0.0,0.0
04/28/2010,61.81552827477532,0.0,0.0
04/29/2010,63.67519424511907,0.0,0.0
04/30/2010,64.71662106054548,0.0,0.0
05/03/2010,63.37764337203792,0.0,0.0
05/04/2010,62.187458266176876,0.0,0.0
05/05/2010,58.6168856486166,0.0,0.0
05/06/2010,57.352309179120255,0.0,0.0
05/07/2010,53.85612442093168,0.0,0.0
05/10/2010,57.27793202041115,0.0,0.0
05/11/2010,56.385287072846275,0.0,0.0
05/12/2010,55.41824952253292,0.0,0.0
05/13/2010,56.162127091558986,0.0,0.0
05/14/2010,54.52560981766987,0.0,0.0
05/17/2010,53.18664900322945,0.0,0.0
05/18/2010,52.14522017001831,0.0,0.0
05/19/2010,49.839240471434834,0.0,0.0
05/20/2010,47.45886021267168,0.0,0.0
05/21/2010,47.90517315619266,0.0,0.0
05/24/2010,49.91362181269205,0.0,0.0
05/25/2010,46.26865917712717,0.0,0.0
05/26/2010,48.20271896838373,0.0,0.0
05/27/2010,49.16975066307306,0.0,0.0
05/28/2010,51.02942539450473,0.0,0.0
06/01/2010,48.57466090825573,0.0,0.0
06/02/2010,47.979562832230314,0.0,0.0
06/03/2010,49.76484840181799,0.0,0.0
06/04/2010,48.50026639867618,0.0,0.0
06/07/2010,47.60762599257172,0.0,0.0
