FSLEX,Fidelity Select Environmental a,
Date,Price,Dividend,Annualized Dividend
08/24/1992,8.764628410339355,0.0,0.0
08/25/1992,8.746685028076172,0.0,0.0
08/26/1992,8.827422142028809,0.0,0.0
08/27/1992,8.88124942779541,0.0,0.0
09/03/1992,9.078609466552734,0.0,0.0
09/08/1992,9.006842613220215,0.0,0.0
09/10/1992,9.123467445373535,0.0,0.0
09/15/1992,9.186263084411621,0.0,0.0
10/05/1992,8.863311767578125,0.0,0.0
10/16/1992,9.14140796661377,0.0,0.0
10/20/1992,9.311856269836426,0.0,0.0
10/21/1992,9.392595291137695,0.0,0.0
11/04/1992,9.625838279724121,0.0,0.0
11/05/1992,9.778346061706543,0.0,0.0
11/18/1992,9.877026557922363,0.0,0.0
11/20/1992,10.020561218261719,0.0,0.0
12/16/1992,9.859084129333496,0.0,0.0
01/22/1993,10.280721664428711,0.0,0.0
02/03/1993,10.442198753356934,0.0,0.0
03/10/1993,10.343516349792482,0.0,0.0
04/02/1993,9.652754783630371,0.0,0.0
04/26/1993,9.464363098144531,0.0,0.0
04/30/1993,9.733489990234375,0.0,0.0
05/03/1993,9.751434326171875,0.0,0.0
06/18/1993,9.885998725891113,0.0,0.0
07/14/1993,9.805259704589844,0.0,0.0
08/13/1993,9.545101165771484,0.0,0.0
08/16/1993,9.5361328125,0.0,0.0
08/19/1993,9.643782615661621,0.0,0.0
08/20/1993,9.715550422668457,0.0,0.0
01/06/1994,10.253807067871094,0.0,0.0
01/10/1994,10.334546089172363,0.0,0.0
01/20/1994,10.487051010131836,0.0,0.0
01/24/1994,10.513964653015137,0.0,0.0
02/02/1994,10.935598373413086,0.0,0.0
02/09/1994,10.73823833465576,0.0,0.0
02/11/1994,10.612644195556639,0.0,0.0
02/17/1994,10.603676795959473,0.0,0.0
03/10/1994,10.424253463745117,0.0,0.0
06/24/1994,9.329795837402344,0.0,0.0
06/30/1994,9.275971412658691,0.0,0.0
07/06/1994,9.249061584472656,0.0,0.0
07/12/1994,9.231114387512205,0.0,0.0
07/13/1994,9.15038013458252,0.0,0.0
07/27/1994,9.383625030517578,0.0,0.0
11/04/1994,9.222146034240723,0.0,0.0
11/22/1994,8.908163070678711,0.0,0.0
11/23/1994,8.836394309997559,0.0,0.0
11/25/1994,8.872279167175293,0.0,0.0
11/28/1994,8.782569885253906,0.0,0.0
12/05/1994,8.854338645935059,0.0,0.0
12/06/1994,8.818453788757324,0.0,0.0
12/08/1994,8.63903522491455,0.0,0.0
12/09/1994,8.656976699829102,0.0,0.0
12/12/1994,8.6300630569458,0.0,0.0
12/13/1994,8.68388843536377,0.0,0.0
12/14/1994,8.800512313842773,0.0,0.0
12/15/1994,8.809479713439941,0.0,0.0
12/19/1994,8.755657196044922,0.0,0.0
12/20/1994,8.791540145874023,0.0,0.0
12/28/1994,8.917134284973145,0.0,0.0
01/11/1995,9.069637298583984,0.0,0.0
02/03/1995,9.293912887573242,0.0,0.0
03/10/1995,9.347740173339844,0.0,0.0
03/15/1995,9.356714248657227,0.0,0.0
05/26/1995,10.469109535217285,0.0,0.0
09/06/1995,11.635334968566893,0.0,0.0
09/12/1995,11.922404289245605,0.0,0.0
09/14/1995,12.07491397857666,0.0,0.0
09/15/1995,12.209473609924318,0.0,0.0
09/18/1995,12.101824760437013,0.0,0.0
09/29/1995,11.913434028625487,0.0,0.0
10/03/1995,11.841668128967285,0.0,0.0
11/02/1995,11.061192512512207,0.0,0.0
01/09/1996,10.95354175567627,0.0,0.0
01/26/1996,11.222668647766113,0.0,0.0
04/25/1996,11.886522293090819,0.0,0.0
04/30/1996,12.003143310546875,0.0,0.0
05/06/1996,12.191534042358397,0.0,0.0
05/07/1996,12.182561874389648,0.0,0.0
05/08/1996,12.146678924560547,0.0,0.0
05/09/1996,12.164621353149414,0.0,0.0
05/10/1996,12.254329681396484,0.0,0.0
05/13/1996,12.35301113128662,0.0,0.0
05/14/1996,12.45169448852539,0.0,0.0
05/15/1996,12.478605270385742,0.0,0.0
05/17/1996,12.532429695129395,0.0,0.0
05/20/1996,12.604196548461916,0.0,0.0
05/21/1996,12.675965309143066,0.0,0.0
05/22/1996,12.684937477111815,0.0,0.0
05/24/1996,12.711851119995119,0.0,0.0
05/30/1996,12.810529708862305,0.0,0.0
05/31/1996,12.927153587341309,0.0,0.0
06/03/1996,12.954062461853027,0.0,0.0
06/04/1996,13.00788974761963,0.0,0.0
06/05/1996,13.088630676269531,0.0,0.0
06/06/1996,13.04377269744873,0.0,0.0
06/07/1996,13.025834083557129,0.0,0.0
