NHI,"National Health Investors, Inc.",
Date,Price,Dividend,Annualized Dividend
01/06/1993,2.896226969871732,0.0,2.045
01/07/1993,2.912140304871027,0.0,2.045
01/08/1993,2.896226322716051,0.0,2.045
01/11/1993,2.912139654159546,0.0,2.045
01/12/1993,2.912140304871027,0.0,2.045
01/13/1993,2.880312599978604,0.0,2.045
01/14/1993,2.9121405730086765,0.0,2.045
01/15/1993,2.8484865771399606,0.0,2.045
01/18/1993,2.880312599978604,0.0,2.045
01/19/1993,2.896226322716051,0.0,2.045
01/20/1993,2.9121402825998226,0.0,2.045
01/21/1993,2.928053617477417,0.0,2.045
01/22/1993,2.9121402825998226,0.0,2.045
01/25/1993,2.912139480418347,0.0,2.045
01/26/1993,2.991707766867433,0.0,2.045
01/27/1993,3.0076203751809816,0.0,2.045
01/28/1993,3.103100387091489,0.0,2.045
01/29/1993,3.071273075074566,0.0,2.045
02/01/1993,3.1349270343780518,0.0,2.045
02/02/1993,3.134925199913855,0.0,2.045
02/03/1993,3.0553621732271634,0.0,2.045
02/04/1993,3.1349270343780518,0.0,2.045
02/05/1993,3.134927896538166,0.0,2.045
02/08/1993,3.119013699178163,0.0,2.045
02/09/1993,3.1508397217371957,0.0,2.045
02/10/1993,3.1508403695779403,0.0,2.045
02/11/1993,3.1508403695779403,0.0,2.045
02/12/1993,3.150841236114502,0.0,2.045
02/16/1993,3.1190130710601807,0.0,2.045
02/17/1993,3.119013722409907,0.0,2.045
02/18/1993,3.087185300886631,0.0,2.045
02/19/1993,3.055361123609293,0.0,2.045
02/22/1993,3.03944696162058,0.0,2.045
02/23/1993,2.8643999099731445,0.0,2.045
02/24/1993,2.8643996598290618,0.0,2.045
02/25/1993,2.912139960881826,0.0,2.045
02/26/1993,2.928053343923468,0.0,2.045
03/01/1993,3.0076186694204807,0.0,2.045
03/02/1993,3.055358648300171,0.0,2.045
03/03/1993,3.055361123609293,0.0,2.045
03/04/1993,3.0394470231787203,0.0,2.045
03/05/1993,3.1508408188819885,0.0,2.045
03/08/1993,3.1826668693905784,0.0,2.045
03/09/1993,3.3258856955357796,0.0,2.045
03/10/1993,3.30997437412299,0.0,2.045
03/11/1993,3.294061093376233,0.0,2.045
