ABR,Arbor Realty Trust,
Date,Price,Dividend,Annualized Dividend
03/16/2006,8.454480392590263,0.0,2.4699999999999998
03/17/2006,8.51136734741185,0.0,2.4699999999999998
03/20/2006,8.441837378481035,0.0,2.4699999999999998
03/21/2006,8.454481954474733,0.0,2.4699999999999998
03/22/2006,8.365984535952771,0.0,2.4699999999999998
03/23/2006,8.53349412796093,0.0,2.4699999999999998
03/24/2006,8.628310271560842,0.0,2.4699999999999998
03/27/2006,8.596704861241049,0.0,2.4699999999999998
03/28/2006,8.565098841581905,0.0,2.4699999999999998
03/29/2006,8.555616965463194,0.0,2.4699999999999998
03/30/2006,8.59670728470209,0.0,2.4699999999999998
03/31/2006,8.596704492483289,0.0,2.4699999999999998
04/03/2006,8.533493331607703,0.0,2.4699999999999998
04/04/2006,8.498726327576334,0.0,2.4699999999999998
04/05/2006,8.527172527759602,0.0,2.4699999999999998
04/06/2006,8.422874742301182,0.0,2.4699999999999998
04/07/2006,8.413391998871127,0.0,2.4699999999999998
04/10/2006,8.233243048083239,0.0,2.4699999999999998
04/11/2006,8.2806493446258,0.0,2.4699999999999998
04/12/2006,8.211116790771484,0.0,2.4699999999999998
04/13/2006,8.185832014437514,0.0,2.4699999999999998
04/17/2006,8.094177785921831,0.0,2.4699999999999998
04/18/2006,7.977238333108196,0.0,2.4699999999999998
04/19/2006,8.08153751121478,0.0,2.4699999999999998
04/20/2006,8.179512324638564,0.0,2.4699999999999998
04/21/2006,8.170031466373146,0.0,2.4699999999999998
04/24/2006,8.359666444863844,0.0,2.4699999999999998
04/25/2006,8.312254605406505,0.0,2.4699999999999998
04/26/2006,8.255363463147114,0.0,2.4699999999999998
04/27/2006,8.159733592054087,0.72,2.6399999999999997
04/28/2006,8.241009613329,0.0,2.6399999999999997
05/01/2006,8.374291936939334,0.0,2.6399999999999997
05/02/2006,8.185743329928828,0.0,2.6399999999999997
05/03/2006,8.058958421788702,0.0,2.6399999999999997
05/04/2006,8.15973459522099,0.0,2.6399999999999997
05/05/2006,8.371044161593828,0.0,2.6399999999999997
05/08/2006,8.237758590868134,0.0,2.6399999999999997
05/09/2006,8.068712753345755,0.0,2.6399999999999997
05/10/2006,8.078464712474617,0.0,2.6399999999999997
05/11/2006,8.257261608202851,0.0,2.6399999999999997
05/12/2006,7.967932479263652,0.0,2.6399999999999997
05/15/2006,7.961429230572322,0.0,2.6399999999999997
05/16/2006,7.974434587982328,0.0,2.6399999999999997
05/17/2006,7.863903077130082,0.0,2.6399999999999997
05/18/2006,7.867159478836765,0.0,2.6399999999999997
05/19/2006,7.802139212687632,0.0,2.6399999999999997
05/22/2006,7.776131855921267,0.0,2.6399999999999997
05/23/2006,7.769628966798944,0.0,2.6399999999999997
05/24/2006,7.769630035392431,0.0,2.6399999999999997
05/25/2006,7.740371367512743,0.0,2.6399999999999997
05/26/2006,7.932172699030647,0.0,2.6399999999999997
05/30/2006,7.87365800447162,0.0,2.6399999999999997
05/31/2006,7.78588339765018,0.0,2.6399999999999997
06/01/2006,7.984186572737255,0.0,2.6399999999999997
06/02/2006,7.980934223891277,0.0,2.6399999999999997
06/05/2006,7.997189919579577,0.0,2.6399999999999997
06/06/2006,7.980935718489652,0.0,2.6399999999999997
06/07/2006,7.9939402349307604,0.0,2.6399999999999997
06/08/2006,7.824894608685527,0.0,2.6399999999999997
06/09/2006,7.948426354748158,0.0,2.6399999999999997
06/12/2006,7.795634968478454,0.0,2.6399999999999997
06/13/2006,7.769630042135644,0.0,2.6399999999999997
06/14/2006,7.655848607447037,0.0,2.6399999999999997
06/15/2006,7.720866121939392,0.0,2.6399999999999997
06/16/2006,7.9159191496504615,0.0,2.6399999999999997
06/19/2006,7.737121075723424,0.0,2.6399999999999997
06/20/2006,7.6883568787071725,0.0,2.6399999999999997
06/21/2006,7.672103290234358,0.0,2.6399999999999997
06/22/2006,7.7306196772547615,0.0,2.6399999999999997
06/23/2006,7.8053895830162086,0.0,2.6399999999999997
06/26/2006,7.932174092809501,0.0,2.6399999999999997
06/27/2006,8.029701888009857,0.0,2.6399999999999997
06/28/2006,7.805390308342086,0.0,2.6399999999999997
06/29/2006,7.922423005169255,0.0,2.6399999999999997
