QCLN,First Trust NASDAQ Clean Edge G,
Date,Price,Dividend,Annualized Dividend
07/26/2017,18.636131236013483,0.0,0.14400000000000002
07/27/2017,18.60696759134514,0.0,0.14400000000000002
07/28/2017,18.451425709685665,0.0,0.14400000000000002
07/31/2017,18.801398512605843,0.0,0.14400000000000002
08/01/2017,18.53891744803637,0.0,0.14400000000000002
08/02/2017,18.7527873920681,0.0,0.14400000000000002
08/03/2017,18.26671592940333,0.0,0.14400000000000002
08/04/2017,18.17922035175417,0.0,0.14400000000000002
08/07/2017,18.2083840376882,0.0,0.14400000000000002
08/08/2017,18.480586728147987,0.0,0.14400000000000002
08/09/2017,18.17922027497669,0.0,0.14400000000000002
08/10/2017,18.052836711446705,0.0,0.14400000000000002
08/11/2017,17.576487080555438,0.0,0.14400000000000002
08/14/2017,18.072284843464555,0.0,0.14400000000000002
08/15/2017,18.218110871428372,0.0,0.14400000000000002
08/16/2017,18.208385175897,0.0,0.14400000000000002
08/17/2017,18.06256014085018,0.0,0.14400000000000002
08/18/2017,17.615371704101562,0.0,0.14400000000000002
08/21/2017,17.576488135451914,0.0,0.14400000000000002
08/22/2017,17.391775605253205,0.0,0.14400000000000002
08/23/2017,17.52787996248212,0.0,0.14400000000000002
08/24/2017,17.761196208952207,0.0,0.14400000000000002
08/25/2017,18.023677103482807,0.0,0.14400000000000002
08/28/2017,17.673702290443003,0.0,0.14400000000000002
08/29/2017,17.69314584987054,0.0,0.14400000000000002
08/30/2017,17.81952525150106,0.0,0.14400000000000002
08/31/2017,18.111168163020437,0.0,0.14400000000000002
09/01/2017,18.383371227015825,0.0,0.14400000000000002
09/05/2017,18.470866649137662,0.0,0.14400000000000002
09/06/2017,18.24727045539059,0.0,0.14400000000000002
09/07/2017,18.295877329869352,0.0,0.14400000000000002
09/08/2017,18.22783260465858,0.0,0.14400000000000002
09/11/2017,18.354206238206476,0.0,0.14400000000000002
09/12/2017,18.490306801344943,0.0,0.14400000000000002
09/13/2017,18.519475919761692,0.0,0.14400000000000002
09/14/2017,18.58752627272393,0.0,0.14400000000000002
09/15/2017,18.947217393048376,0.0,0.14400000000000002
09/18/2017,18.95694327586256,0.0,0.14400000000000002
09/19/2017,19.102763461434492,0.0,0.14400000000000002
09/20/2017,18.888886828147378,0.0,0.14400000000000002
09/21/2017,18.57387306188627,0.016,0.076
09/22/2017,18.7392735418539,0.0,0.076
09/25/2017,18.583601022742094,0.0,0.076
09/26/2017,18.496034169638683,0.0,0.076
09/27/2017,18.437657299698287,0.0,0.076
09/28/2017,18.632246984002116,0.0,0.076
09/29/2017,18.85602712537098,0.0,0.076
10/02/2017,19.01170298598951,0.0,0.076
10/03/2017,19.001973582160787,0.0,0.076
10/04/2017,18.84629963378256,0.0,0.076
10/05/2017,19.216025339765363,0.0,0.076
10/06/2017,19.050617719959572,0.0,0.076
10/09/2017,19.177101112489222,0.0,0.076
10/10/2017,19.15764517812378,0.0,0.076
10/11/2017,19.167375545476364,0.0,0.076
10/12/2017,18.904676448618673,0.0,0.076
10/13/2017,19.11872720576928,0.0,0.076
10/16/2017,19.439806455135372,0.0,0.076
10/17/2017,19.216026306152344,0.0,0.076
10/18/2017,19.274400748055424,0.0,0.076
10/19/2017,19.313321597083686,0.0,0.076
10/20/2017,19.507913142525585,0.0,0.076
10/23/2017,19.614941603121984,0.0,0.076
10/24/2017,19.45926616645166,0.0,0.076
10/25/2017,19.293859426945133,0.0,0.076
10/26/2017,19.323053372023924,0.0,0.076
10/27/2017,19.235486931560118,0.0,0.076
10/30/2017,19.5079141074162,0.0,0.076
10/31/2017,19.88737294954801,0.0,0.076
11/01/2017,20.072233219570506,0.0,0.076
11/02/2017,19.819266323848748,0.0,0.076
11/03/2017,19.546832548570645,0.0,0.076
11/06/2017,20.004124682795457,0.0,0.076
11/07/2017,20.043045019164413,0.0,0.076
11/08/2017,20.19871755250196,0.0,0.076
11/09/2017,20.120883949123588,0.0,0.076
11/10/2017,19.89709945715784,0.0,0.076
11/13/2017,19.92628575888109,0.0,0.076
11/14/2017,20.13061335024503,0.0,0.076
11/15/2017,19.712235436477336,0.0,0.076
11/16/2017,19.790072931806677,0.0,0.076
