PBW,Invesco WilderHill Clean Energy,
Date,Price,Dividend,Annualized Dividend
11/02/2006,69.95364681032736,0.0,0.05
11/03/2006,70.63831502821739,0.0,0.05
11/06/2006,69.87313056791052,0.0,0.05
11/07/2006,69.99394034410592,0.0,0.05
11/08/2006,70.4772072275795,0.0,0.05
11/09/2006,72.0881150300963,0.0,0.05
11/10/2006,71.20211961413827,0.0,0.05
11/13/2006,70.83966633408318,0.0,0.05
11/14/2006,71.8464777395121,0.0,0.05
11/15/2006,73.21576277860161,0.0,0.05
11/16/2006,74.22256910835762,0.0,0.05
11/17/2006,72.61165721822286,0.0,0.05
11/20/2006,72.49082297671777,0.0,0.05
11/21/2006,71.84647288923631,0.0,0.05
11/22/2006,72.32977117165353,0.0,0.05
11/24/2006,72.32974778734544,0.0,0.05
11/27/2006,72.7727593009265,0.0,0.05
11/28/2006,70.79939860180345,0.0,0.05
11/29/2006,72.16864396037691,0.0,0.05
11/30/2006,73.45735484784385,0.0,0.05
12/01/2006,73.17545836304852,0.0,0.05
12/04/2006,72.00756425232535,0.0,0.05
12/05/2006,73.09493047792593,0.0,0.05
12/06/2006,73.6990199585635,0.0,0.05
12/07/2006,74.02123939498689,0.0,0.05
12/08/2006,72.53110399021992,0.0,0.05
12/11/2006,72.49085387518345,0.0,0.05
12/12/2006,72.24921062500113,0.0,0.05
12/13/2006,72.00759462599356,0.0,0.05
12/14/2006,71.48403646025035,0.0,0.05
12/15/2006,71.99503433576679,0.185,0.235
12/18/2006,72.03538578392094,0.0,0.235
12/19/2006,70.34045829511658,0.0,0.235
12/20/2006,70.9054476227229,0.0,0.235
12/21/2006,70.62295058677937,0.0,0.235
12/22/2006,69.85618352784265,0.0,0.235
12/26/2006,69.65438285012564,0.0,0.235
12/27/2006,70.01759338378906,0.0,0.235
12/28/2006,70.34044780575847,0.0,0.235
12/29/2006,70.34043287381967,0.0,0.235
01/03/2007,70.62294937865624,0.0,0.235
01/04/2007,69.12978021968756,0.0,0.235
01/05/2007,69.17012876334933,0.0,0.235
01/08/2007,68.84729028247612,0.0,0.235
01/09/2007,68.72623274150469,0.0,0.235
01/10/2007,68.20157930717544,0.0,0.235
01/11/2007,68.8876366623891,0.0,0.235
01/12/2007,69.4526240979255,0.0,0.235
01/16/2007,69.81582509644598,0.0,0.235
01/17/2007,69.49295630887683,0.0,0.235
01/18/2007,69.12976745056915,0.0,0.235
01/19/2007,67.27338481152889,0.0,0.235
01/22/2007,68.20158452426891,0.0,0.235
01/23/2007,68.80692483653193,0.0,0.235
01/24/2007,69.53331472876879,0.0,0.235
01/25/2007,69.3719097782736,0.0,0.235
01/26/2007,68.92798402320071,0.0,0.235
01/29/2007,69.5333441994282,0.0,0.235
01/30/2007,70.74400769752165,0.0,0.235
01/31/2007,70.9054343153584,0.0,0.235
02/01/2007,71.71255361035367,0.0,0.235
02/02/2007,71.75292669716649,0.0,0.235
02/05/2007,71.83362142334056,0.0,0.235
02/06/2007,73.08464535971794,0.0,0.235
02/07/2007,73.8110479874119,0.0,0.235
02/08/2007,73.64963598141117,0.0,0.235
02/09/2007,73.85141666862673,0.0,0.235
02/12/2007,72.84250606575259,0.0,0.235
02/13/2007,72.64075704558734,0.0,0.235
02/14/2007,73.36717557412521,0.0,0.235
02/15/2007,74.29534042623709,0.0,0.235
02/16/2007,74.13393675923614,0.0,0.235
02/20/2007,74.37605019171664,0.0,0.235
02/21/2007,75.26388109614491,0.0,0.235
02/22/2007,77.12025584030516,0.0,0.235
02/23/2007,77.40275220259109,0.0,0.235
02/26/2007,78.4520092618609,0.0,0.235
02/27/2007,77.523824507096,0.0,0.235
02/28/2007,74.73924013645735,0.0,0.235
03/01/2007,73.5285627108151,0.0,0.235
03/02/2007,73.24608364166838,0.0,0.235
03/05/2007,70.66328175491986,0.0,0.235
03/06/2007,71.63185235994231,0.0,0.235
03/07/2007,72.72145646531142,0.0,0.235
03/08/2007,73.52857602230098,0.0,0.235
03/09/2007,73.97248560027542,0.0,0.235
03/12/2007,74.13390720634713,0.0,0.235
03/13/2007,74.65852492348442,0.0,0.235
03/14/2007,72.23716735839844,0.0,0.235
03/15/2007,72.35825307270014,0.0,0.235
03/16/2007,72.56003291609427,0.0,0.235
03/19/2007,72.721451467793,0.0,0.235
03/20/2007,72.84250258448903,0.0,0.235
03/21/2007,73.5689371048566,0.0,0.235
03/22/2007,75.06210513825113,0.0,0.235
03/23/2007,76.47455596923828,0.0,0.235
03/26/2007,76.67633580029168,0.0,0.235
03/27/2007,76.67633712877308,0.0,0.235
03/28/2007,76.39384526838327,0.0,0.235
03/29/2007,76.99920355250786,0.0,0.235
03/30/2007,77.28167951695309,0.0,0.235
04/02/2007,75.74816833471351,0.0,0.235
04/03/2007,76.8781310544853,0.0,0.235
04/04/2007,77.52382629690595,0.0,0.235
04/05/2007,78.20986526389667,0.0,0.235
04/09/2007,78.6134284138057,0.0,0.235
04/10/2007,78.45201152029418,0.0,0.235
04/11/2007,78.65376637835733,0.0,0.235
04/12/2007,77.60451738159314,0.0,0.235
04/13/2007,79.46089935302734,0.0,0.235
04/16/2007,80.42946394030389,0.0,0.235
04/17/2007,80.95406167043264,0.0,0.235
04/18/2007,80.14694213867188,0.0,0.235
04/19/2007,79.29947312322504,0.0,0.235
04/20/2007,80.30836942643498,0.0,0.235
04/23/2007,80.30838604475824,0.0,0.235
04/24/2007,80.59086435885314,0.0,0.235
04/25/2007,80.3083703159644,0.0,0.235
04/26/2007,81.1558687631041,0.0,0.235
04/27/2007,80.63122451961162,0.0,0.235
04/30/2007,80.14696670316768,0.0,0.235
05/01/2007,78.3712840230935,0.0,0.235
05/02/2007,78.12916865239008,0.0,0.235
05/03/2007,78.3712868249495,0.0,0.235
05/04/2007,79.82410603518095,0.0,0.235
05/07/2007,80.106577774241,0.0,0.235
05/08/2007,78.73450729477162,0.0,0.235
05/09/2007,78.81521801075156,0.0,0.235
05/10/2007,78.69413321358816,0.0,0.235
05/11/2007,77.40276347109729,0.0,0.235
05/14/2007,78.6537796150212,0.0,0.235
05/15/2007,78.04845291751212,0.0,0.235
