TRP,TC Energy Corporation,
Date,Price,Annualized Dividend
07/12/1983,0.0,0.0
07/12/1983,1.2387847900390625,0.0
07/13/1983,0.0,0.0
07/13/1983,1.2387847900390625,0.0
07/14/1983,0.0,0.0
07/14/1983,1.2319777011871338,0.0
07/15/1983,0.0,0.0
07/15/1983,1.2319777011871338,0.0
07/18/1983,0.0,0.0
07/18/1983,1.2319777011871338,0.0
07/19/1983,0.0,0.0
07/19/1983,1.2251710891723633,0.0
07/20/1983,0.0,0.0
07/20/1983,1.2387847900390625,0.0
07/21/1983,0.0,0.0
07/21/1983,1.2387847900390625,0.0
07/22/1983,0.0,0.0
07/22/1983,1.2251710891723633,0.0
07/25/1983,0.0,0.0
07/25/1983,1.2251710891723633,0.0
07/26/1983,0.0,0.0
07/26/1983,1.2047523260116577,0.0
07/27/1983,0.0,0.0
07/27/1983,1.177525281906128,0.0
07/28/1983,0.0,0.0
07/28/1983,1.1843323707580566,0.0
07/29/1983,0.0,0.0
07/29/1983,1.177525281906128,0.0
08/01/1983,1.177525281906128,0.0
08/01/1983,1.177525281906128,0.0
08/02/1983,0.0,0.0
08/02/1983,1.191138505935669,0.0
08/03/1983,0.0,0.0
08/03/1983,1.177525281906128,0.0
08/04/1983,0.0,0.0
08/04/1983,1.177525281906128,0.0
08/05/1983,0.0,0.0
08/05/1983,1.1571059226989746,0.0
08/08/1983,0.0,0.0
08/08/1983,1.143493413925171,0.0
08/09/1983,0.0,0.0
08/09/1983,1.143493413925171,0.0
08/10/1983,0.0,0.0
08/10/1983,1.143493413925171,0.0
08/11/1983,0.0,0.0
08/11/1983,1.1366865634918213,0.0
08/12/1983,0.0,0.0
08/12/1983,1.1502995491027832,0.0
08/15/1983,0.0,0.0
08/15/1983,1.1571059226989746,0.0
08/16/1983,0.0,0.0
08/16/1983,1.1571059226989746,0.0
08/17/1983,0.0,0.0
08/17/1983,1.1571059226989746,0.0
08/18/1983,0.0,0.0
08/18/1983,1.1571059226989746,0.0
08/19/1983,0.0,0.0
08/19/1983,1.1707192659378052,0.0
08/22/1983,0.0,0.0
08/22/1983,1.1843323707580566,0.0
08/23/1983,0.0,0.0
08/23/1983,1.1843323707580566,0.0
08/24/1983,0.0,0.0
08/24/1983,1.1843323707580566,0.0
08/25/1983,0.0,0.0
08/25/1983,1.1843323707580566,0.0
08/26/1983,0.0,0.0
08/26/1983,1.177525281906128,0.0
08/29/1983,0.0,0.0
08/29/1983,1.177525281906128,0.0
08/30/1983,0.0,0.0
08/30/1983,1.177525281906128,0.0
08/31/1983,0.0,0.0
08/31/1983,1.1843323707580566,0.0
09/01/1983,0.0,0.0
09/01/1983,1.2115578651428223,0.0
09/02/1983,0.0,0.0
09/02/1983,1.2047523260116577,0.0
09/06/1983,0.0,0.0
09/06/1983,1.2115578651428223,0.0
09/07/1983,0.0,0.0
09/07/1983,1.2115578651428223,0.0
09/08/1983,0.0,0.0
09/08/1983,1.2183650732040405,0.0
09/09/1983,0.0,0.0
09/09/1983,1.2455908060073853,0.0
09/12/1983,0.0,0.0
09/12/1983,1.2387847900390625,0.0
09/13/1983,0.0,0.0
09/13/1983,1.2387847900390625,0.0
09/14/1983,0.0,0.0
09/14/1983,1.2387847900390625,0.0
09/15/1983,0.0,0.0
09/15/1983,1.2387847900390625,0.0
09/16/1983,0.0,0.0
09/16/1983,1.2183650732040405,0.0
09/19/1983,0.0,0.0
09/19/1983,1.2251710891723633,0.0
09/20/1983,0.0,0.0
09/20/1983,1.2523976564407349,0.0
09/21/1983,0.0,0.0
09/21/1983,1.2523976564407349,0.0
09/22/1983,0.0,0.0
09/22/1983,1.2660101652145386,0.0
09/23/1983,0.0,0.0
09/23/1983,1.2660101652145386,0.0
09/26/1983,0.0,0.0
09/26/1983,1.2592041492462158,0.0
09/27/1983,0.0,0.0
09/27/1983,1.2592041492462158,0.0
09/28/1983,0.0,0.0
09/28/1983,1.2592041492462158,0.0
09/29/1983,0.0,0.0
09/29/1983,1.2455908060073853,0.0
09/30/1983,0.0,0.0
09/30/1983,1.2319777011871338,0.0
10/03/1983,0.0,0.0
10/03/1983,1.2387847900390625,0.0
10/04/1983,0.0,0.0
10/04/1983,1.2387847900390625,0.0
10/05/1983,0.0,0.0
10/05/1983,1.2387847900390625,0.0
10/06/1983,0.0,0.0
10/06/1983,1.2455908060073853,0.0
10/07/1983,0.0,0.0
10/07/1983,1.2592041492462158,0.0
10/10/1983,1.2592041492462158,0.0
10/10/1983,1.2592041492462158,0.0
10/11/1983,0.0,0.0
10/11/1983,1.2592041492462158,0.0
10/12/1983,0.0,0.0
10/12/1983,1.2387847900390625,0.0
10/13/1983,0.0,0.0
10/13/1983,1.2455908060073853,0.0
10/14/1983,0.0,0.0
10/14/1983,1.2455908060073853,0.0
10/17/1983,0.0,0.0
10/17/1983,1.2523976564407349,0.0
10/18/1983,0.0,0.0
10/18/1983,1.2523976564407349,0.0
10/19/1983,0.0,0.0
10/19/1983,1.2523976564407349,0.0
10/20/1983,0.0,0.0
10/20/1983,1.2523976564407349,0.0
10/21/1983,0.0,0.0
10/21/1983,1.2523976564407349,0.0
10/24/1983,0.0,0.0
10/24/1983,1.2455908060073853,0.0
10/25/1983,0.0,0.0
10/25/1983,1.2387847900390625,0.0
10/26/1983,0.0,0.0
10/26/1983,1.2115578651428223,0.0
10/27/1983,0.0,0.0
10/27/1983,1.2047523260116577,0.0
10/28/1983,0.0,0.0
10/28/1983,1.1979458332061768,0.0
10/31/1983,0.0,0.0
10/31/1983,1.2115578651428223,0.0
11/01/1983,0.0,0.0
11/01/1983,1.2183650732040405,0.0
11/02/1983,0.0,0.0
11/02/1983,1.2251710891723633,0.0
11/03/1983,0.0,0.0
11/03/1983,1.2387847900390625,0.0
11/04/1983,0.0,0.0
11/04/1983,1.2319777011871338,0.0
11/07/1983,0.0,0.0
11/07/1983,1.2319777011871338,0.0
11/08/1983,0.0,0.0
11/08/1983,1.2455908060073853,0.0
11/09/1983,0.0,0.0
11/09/1983,1.2523976564407349,0.0
11/10/1983,0.0,0.0
11/10/1983,1.2660101652145386,0.0
11/11/1983,0.0,0.0
11/11/1983,1.2796235084533691,0.0
11/14/1983,0.0,0.0
11/14/1983,1.2728171348571777,0.0
11/15/1983,0.0,0.0
11/15/1983,1.2728171348571777,0.0
11/16/1983,0.0,0.0
11/16/1983,1.2592041492462158,0.0
11/17/1983,0.0,0.0
11/17/1983,1.2592041492462158,0.0
11/18/1983,0.0,0.0
11/18/1983,1.2660101652145386,0.0
11/21/1983,0.0,0.0
11/21/1983,1.2523976564407349,0.0
11/22/1983,0.0,0.0
11/22/1983,1.2660101652145386,0.0
11/23/1983,0.0,0.0
11/23/1983,1.2660101652145386,0.0
11/25/1983,0.0,0.0
11/25/1983,1.2660101652145386,0.0
11/28/1983,0.0,0.0
11/28/1983,1.2592041492462158,0.0
11/29/1983,0.0,0.0
11/29/1983,1.2660101652145386,0.0
11/30/1983,0.0,0.0
11/30/1983,1.2660101652145386,0.0
12/01/1983,0.0,0.0
12/01/1983,1.2592041492462158,0.0
12/02/1983,0.0,0.0
12/02/1983,1.2660101652145386,0.0
12/05/1983,1.2660101652145386,0.0
12/05/1983,1.2660101652145386,0.0
12/06/1983,0.0,0.0
12/06/1983,1.374914526939392,0.0
12/07/1983,0.0,0.0
12/07/1983,1.374914526939392,0.0
12/08/1983,0.0,0.0
12/08/1983,1.381720781326294,0.0
12/09/1983,0.0,0.0
12/09/1983,1.374914526939392,0.0
12/12/1983,0.0,0.0
12/12/1983,1.374914526939392,0.0
12/13/1983,1.3749145269393923,0.0
12/13/1983,1.374914526939392,0.0
12/14/1983,0.0,0.0
12/14/1983,1.3681081533432007,0.0
12/15/1983,0.0,0.0
12/15/1983,1.3681081533432007,0.0
12/16/1983,0.0,0.0
12/16/1983,1.3681081533432007,0.0
12/19/1983,1.3681081533432005,0.0
12/19/1983,1.3681081533432007,0.0
12/20/1983,1.3681081533432005,0.0
12/20/1983,1.3681081533432007,0.0
12/21/1983,0.0,0.0
12/21/1983,1.361302137374878,0.0
12/22/1983,0.0,0.0
12/22/1983,1.3544952869415283,0.0
12/23/1983,0.0,0.0
12/23/1983,1.361302137374878,0.0
12/27/1983,1.361302137374878,0.0
12/27/1983,1.361302137374878,0.0
12/28/1983,0.0,0.0
12/28/1983,1.361302137374878,0.0
12/29/1983,0.0,0.0
12/29/1983,1.3681081533432007,0.0
12/30/1983,0.0,0.0
12/30/1983,1.3681081533432007,0.0
01/03/1984,0.0,0.0
01/03/1984,1.3681081533432007,0.0
01/04/1984,0.0,0.0
01/04/1984,1.3544952869415283,0.0
01/05/1984,0.0,0.0
01/05/1984,1.3681081533432007,0.0
01/06/1984,0.0,0.0
01/06/1984,1.3681081533432007,0.0
01/09/1984,0.0,0.0
01/09/1984,1.361302137374878,0.0
01/10/1984,0.0,0.0
01/10/1984,1.361302137374878,0.0
01/11/1984,0.0,0.0
01/11/1984,1.3681081533432007,0.0
01/12/1984,0.0,0.0
01/12/1984,1.361302137374878,0.0
01/13/1984,0.0,0.0
01/13/1984,1.3681081533432007,0.0
01/16/1984,0.0,0.0
01/16/1984,1.374914526939392,0.0
01/17/1984,0.0,0.0
01/17/1984,1.361302137374878,0.0
01/18/1984,0.0,0.0
01/18/1984,1.361302137374878,0.0
01/19/1984,0.0,0.0
01/19/1984,1.361302137374878,0.0
01/20/1984,0.0,0.0
01/20/1984,1.3544952869415283,0.0
01/23/1984,0.0,0.0
01/23/1984,1.361302137374878,0.0
01/24/1984,0.0,0.0
01/24/1984,1.3340760469436646,0.0
01/25/1984,0.0,0.0
01/25/1984,1.3408823013305664,0.0
01/26/1984,0.0,0.0
01/26/1984,1.3476885557174683,0.0
01/27/1984,0.0,0.0
01/27/1984,1.3476885557174683,0.0
01/30/1984,0.0,0.0
01/30/1984,1.3408823013305664,0.0
01/31/1984,0.0,0.0
01/31/1984,1.3272686004638672,0.0
02/01/1984,0.0,0.0
02/01/1984,1.3476885557174683,0.0
02/02/1984,0.0,0.0
02/02/1984,1.3476885557174683,0.0
02/03/1984,0.0,0.0
02/03/1984,1.3681081533432007,0.0
02/06/1984,0.0,0.0
02/06/1984,1.3544952869415283,0.0
02/07/1984,0.0,0.0
02/07/1984,1.361302137374878,0.0
02/08/1984,0.0,0.0
02/08/1984,1.374914526939392,0.0
02/09/1984,0.0,0.0
02/09/1984,1.3681081533432007,0.0
02/10/1984,0.0,0.0
02/10/1984,1.374914526939392,0.0
02/13/1984,0.0,0.0
02/13/1984,1.374914526939392,0.0
02/14/1984,0.0,0.0
02/14/1984,1.361302137374878,0.0
02/15/1984,0.0,0.0
02/15/1984,1.3885278701782227,0.0
02/16/1984,0.0,0.0
02/16/1984,1.4021406173706055,0.0
02/17/1984,0.0,0.0
02/17/1984,1.3885278701782227,0.0
02/21/1984,0.0,0.0
02/21/1984,1.3885278701782227,0.0
02/22/1984,0.0,0.0
02/22/1984,1.3885278701782227,0.0
02/23/1984,0.0,0.0
02/23/1984,1.3885278701782227,0.0
02/24/1984,0.0,0.0
02/24/1984,1.429367184638977,0.0
02/27/1984,0.0,0.0
02/27/1984,1.456592321395874,0.0
02/28/1984,0.0,0.0
02/28/1984,1.429367184638977,0.0
02/29/1984,0.0,0.0
02/29/1984,1.4702048301696777,0.0
03/01/1984,0.0,0.0
03/01/1984,1.456592321395874,0.0
03/02/1984,0.0,0.0
03/02/1984,1.456592321395874,0.0
03/05/1984,0.0,0.0
03/05/1984,1.4429795742034912,0.0
03/06/1984,0.0,0.0
03/06/1984,1.4429795742034912,0.0
03/07/1984,0.0,0.0
03/07/1984,1.3885278701782227,0.0
03/08/1984,0.0,0.0
03/08/1984,1.361302137374878,0.0
03/09/1984,0.0,0.0
03/09/1984,1.361302137374878,0.0
03/12/1984,0.0,0.0
03/12/1984,1.3885278701782227,0.0
03/13/1984,0.0,0.0
03/13/1984,1.3885278701782227,0.0
03/14/1984,0.0,0.0
03/14/1984,1.374914526939392,0.0
03/15/1984,0.0,0.0
03/15/1984,1.374914526939392,0.0
03/16/1984,0.0,0.0
03/16/1984,1.361302137374878,0.0
03/19/1984,0.0,0.0
03/19/1984,1.361302137374878,0.0
03/20/1984,0.0,0.0
03/20/1984,1.361302137374878,0.0
03/21/1984,0.0,0.0
03/21/1984,1.361302137374878,0.0
03/22/1984,0.0,0.0
03/22/1984,1.361302137374878,0.0
03/23/1984,0.0,0.0
03/23/1984,1.3476885557174683,0.0
03/26/1984,0.0,0.0
03/26/1984,1.3476885557174683,0.0
03/27/1984,0.0,0.0
03/27/1984,1.3476885557174683,0.0
03/28/1984,0.0,0.0
03/28/1984,1.3340760469436646,0.0
03/29/1984,0.0,0.0
03/29/1984,1.3340760469436646,0.0
03/30/1984,0.0,0.0
03/30/1984,1.3340760469436646,0.0
04/02/1984,0.0,0.0
04/02/1984,1.3476885557174683,0.0
04/03/1984,0.0,0.0
04/03/1984,1.3340760469436646,0.0
04/04/1984,0.0,0.0
04/04/1984,1.3340760469436646,0.0
04/05/1984,0.0,0.0
04/05/1984,1.306849718093872,0.0
04/06/1984,0.0,0.0
04/06/1984,1.2932369709014893,0.0
04/09/1984,0.0,0.0
04/09/1984,1.3204631805419922,0.0
04/10/1984,0.0,0.0
04/10/1984,1.3340760469436646,0.0
04/11/1984,0.0,0.0
04/11/1984,1.306849718093872,0.0
