VNQ,Vanguard Real Estate ETF,
07/21/2015,62.18290118861376,3.045
07/21/2015,61.94580078125,3.045
07/22/2015,62.00110890458487,3.045
07/22/2015,62.214500427246094,3.045
07/23/2015,62.175002730683474,3.045
07/23/2015,61.439998626708984,3.045
07/24/2015,61.46370144046205,3.045
07/24/2015,61.700801849365234,3.045
07/27/2015,61.59803878998989,3.045
07/27/2015,61.811424255371094,3.045
07/28/2015,61.81933836560284,3.045
07/28/2015,61.8509521484375,3.045
07/29/2015,61.779822173599385,3.045
07/29/2015,62.2540168762207,3.045
07/30/2015,62.15919235382015,3.045
07/30/2015,61.94580078125,3.045
07/31/2015,62.3725825051808,3.045
07/31/2015,62.43581008911133,3.045
08/03/2015,62.649193875392825,3.045
08/03/2015,62.82306671142578,3.045
08/04/2015,63.00481694852317,3.045
08/04/2015,62.364654541015625,3.045
08/05/2015,62.4357930336688,3.045
08/05/2015,61.95369338989258,3.045
08/06/2015,62.00901274421108,3.045
08/06/2015,62.040626525878906,3.045
08/07/2015,61.93788171370338,3.045
08/07/2015,62.26981735229492,3.045
08/10/2015,62.514839005648064,3.045
08/10/2015,62.07225799560547,3.045
08/11/2015,61.91417924928692,3.045
08/11/2015,62.48321533203125,3.045
08/12/2015,62.261914097023876,3.045
08/12/2015,62.6807861328125,3.045
08/13/2015,62.53853488668442,3.045
08/13/2015,62.75192642211914,3.045
08/14/2015,62.57015553604397,3.045
08/14/2015,63.091773986816406,3.045
08/17/2015,63.15497112343893,3.045
08/17/2015,63.62916564941406,3.045
08/18/2015,63.59758726323922,3.045
08/18/2015,63.80307388305664,3.045
08/19/2015,63.629192647358806,3.045
08/19/2015,63.4237060546875,3.045
08/20/2015,63.11547178566447,3.045
08/20/2015,62.9574089050293,3.045
08/21/2015,62.64127757427048,3.045
08/21/2015,61.787723541259766,3.045
08/24/2015,59.68546441649405,3.045
08/24/2015,58.895137786865234,3.045
08/25/2015,59.68546755217729,3.045
08/25/2015,57.27497482299805,3.045
08/26/2015,57.843998145972094,3.045
08/26/2015,58.82400131225586,3.045
