SIX,Six Flags Entertainment Corpora,
Date,Price,Annualized Dividend
09/12/2011,9.31,0.24
09/13/2011,9.33,0.24
09/13/2011,9.55,0.24
09/14/2011,9.61,0.24
09/14/2011,9.88,0.24
09/15/2011,9.94,0.24
09/15/2011,9.73,0.24
09/16/2011,9.78,0.24
09/16/2011,9.77,0.24
09/19/2011,9.65,0.24
09/19/2011,9.66,0.24
09/20/2011,9.69,0.24
09/20/2011,9.54,0.24
09/21/2011,9.5,0.24
09/21/2011,9.23,0.24
09/22/2011,9.04,0.24
09/22/2011,8.82,0.24
09/23/2011,8.82,0.24
09/23/2011,8.93,0.24
09/26/2011,8.97,0.24
09/26/2011,9.11,0.24
09/27/2011,9.26,0.24
09/27/2011,9.35,0.24
09/28/2011,9.34,0.24
09/28/2011,9.15,0.24
09/29/2011,9.34,0.24
09/29/2011,9.02,0.24
09/30/2011,8.89,0.24
09/30/2011,8.45,0.24
10/03/2011,8.38,0.24
10/03/2011,7.87,0.24
10/04/2011,7.8,0.24
10/04/2011,8.06,0.24
10/05/2011,8.12,0.24
10/05/2011,8.14,0.24
10/06/2011,8.12,0.24
10/06/2011,8.7,0.24
10/07/2011,8.71,0.24
10/07/2011,8.58,0.24
10/10/2011,8.76,0.24
10/10/2011,8.96,0.24
10/11/2011,8.86,0.24
10/11/2011,8.95,0.24
10/12/2011,9.01,0.24
10/12/2011,9.03,0.24
10/13/2011,9.0,0.24
10/13/2011,8.92,0.24
10/14/2011,9.0,0.24
10/14/2011,9.0,0.24
10/17/2011,8.92,0.24
10/17/2011,8.81,0.24
10/18/2011,8.83,0.24
10/18/2011,8.85,0.24
10/19/2011,8.88,0.24
10/19/2011,8.88,0.24
10/20/2011,8.87,0.24
10/20/2011,8.97,0.24
10/21/2011,9.17,0.24
10/21/2011,9.42,0.24
10/24/2011,9.43,0.24
10/24/2011,10.0,0.24
10/25/2011,9.91,0.24
10/25/2011,9.99,0.24
10/26/2011,10.14,0.24
10/26/2011,10.12,0.24
10/27/2011,10.45,0.24
10/27/2011,10.95,0.24
10/28/2011,11.03,0.24
10/28/2011,11.18,0.24
10/31/2011,11.05,0.24
10/31/2011,10.95,0.24
11/01/2011,10.58,0.24
11/01/2011,10.71,0.24
11/02/2011,10.96,0.24
11/02/2011,11.07,0.24
11/03/2011,11.22,0.24
11/03/2011,11.36,0.24
11/04/2011,11.26,0.24
11/04/2011,11.12,0.24
11/07/2011,11.07,0.24
11/07/2011,11.16,0.24
11/08/2011,11.31,0.24
11/08/2011,11.34,0.24
11/09/2011,11.07,0.24
11/09/2011,10.92,0.24
11/10/2011,11.09,0.24
11/10/2011,11.04,0.24
11/11/2011,11.16,0.24
11/11/2011,11.29,0.24
11/14/2011,11.23,0.24
11/14/2011,11.13,0.24
11/15/2011,11.09,0.24
11/15/2011,11.16,0.24
11/16/2011,11.08,0.24
11/16/2011,10.89,0.24
11/17/2011,10.9,0.24
11/17/2011,10.84,0.24
