FSKR,FS KKR Capital Corp. II,
Date,Price,Annualized Dividend
12/08/2020,16.428442001342773,0.55
12/09/2020,16.35489605677046,0.55
12/09/2020,16.685853958129883,0.55
12/10/2020,16.547956665207693,0.55
12/10/2020,16.529569625854492,0.55
12/11/2020,16.4008630184965,0.55
12/11/2020,16.593921661376953,0.55
12/14/2020,16.75020902923104,0.55
12/14/2020,16.364089965820312,0.55
12/15/2020,16.373575026138454,1.1
12/15/2020,16.041549682617188,1.1
12/16/2020,16.00360572416407,1.1
12/16/2020,15.965659141540527,1.1
12/17/2020,15.89925481843561,1.1
12/17/2020,15.937199592590332,1.1
12/18/2020,15.804389527622922,1.1
12/18/2020,15.851820945739746,1.1
12/21/2020,15.595688760370956,1.1
12/21/2020,15.576715469360352,1.1
12/22/2020,15.53876954370092,1.1
12/22/2020,15.16879940032959,1.1
12/23/2020,15.358529032579758,1.1
12/23/2020,15.339555740356445,1.1
12/24/2020,15.282636861706404,1.1
12/24/2020,15.415446281433105,1.1
12/28/2020,15.424932585178226,1.1
12/28/2020,15.24468994140625,1.1
12/29/2020,15.244690875903787,1.1
12/29/2020,15.206746101379395,1.1
12/30/2020,15.244690817117954,1.1
12/30/2020,15.187772750854492,1.1
12/31/2020,15.111881564490995,1.1
12/31/2020,15.557743072509766,1.1
01/04/2021,15.65260758638583,1.1
01/04/2021,15.481851577758789,1.1
01/05/2021,15.510310728903702,1.1
01/05/2021,16.08898162841797,1.1
01/06/2021,16.126927579312518,1.1
01/06/2021,16.221792221069336,1.1
01/07/2021,16.088982994101777,1.1
01/07/2021,16.00360679626465,1.1
01/08/2021,15.880279902691194,1.1
01/08/2021,16.326141357421875,1.1
01/11/2021,16.12692952080951,1.1
01/11/2021,15.984633445739746,1.1
01/12/2021,15.984633017245352,1.1
01/12/2021,16.03206443786621,1.1
01/13/2021,15.937198758404609,1.1
01/13/2021,15.97514533996582,1.1
01/14/2021,16.003605556022247,1.1
01/14/2021,16.126928329467773,1.1
01/15/2021,16.01309157511804,1.1
01/15/2021,15.984633445739746,1.1
01/19/2021,15.984633152325179,1.1
01/19/2021,16.107955932617188,1.1
01/20/2021,16.051037222875795,1.1
01/20/2021,16.0225772857666,1.1
01/21/2021,16.126928329467773,1.1
01/21/2021,16.126928329467773,1.1
01/22/2021,16.051036085403048,1.1
01/22/2021,16.14590072631836,1.1
01/25/2021,16.126928329467773,1.1
01/25/2021,16.126928329467773,1.1
01/26/2021,16.126927942432346,1.1
01/26/2021,16.15538787841797,1.1
01/27/2021,16.126928891542022,1.1
01/27/2021,15.937199592590332,1.1
01/28/2021,15.94668627775202,1.1
01/28/2021,15.918228149414062,1.1
01/29/2021,15.908740534768619,1.1
01/29/2021,15.700037956237793,1.1
02/01/2021,15.813875387811038,1.1
02/01/2021,16.14590072631836,1.1
02/02/2021,16.107955069191917,1.1
02/02/2021,16.3830623626709,1.1
02/03/2021,16.27871157375308,1.1
02/03/2021,16.392549514770508,1.1
02/04/2021,16.38306377313266,1.1
02/04/2021,16.629711151123047,1.1
02/05/2021,16.866871017036967,1.1
02/05/2021,16.94276237487793,1.1
02/08/2021,17.056597628530966,1.1
02/08/2021,16.999679565429688,1.1
02/09/2021,16.952247968762446,1.1
02/09/2021,16.667654037475586,1.1
02/10/2021,16.648681027208408,1.1
02/10/2021,16.81943702697754,1.1
02/11/2021,16.81943792208717,1.1
02/11/2021,16.800464630126953,1.1
02/12/2021,17.113519046792298,1.1
02/12/2021,17.066085815429688,1.1
02/16/2021,16.96173389807682,1.1
02/16/2021,17.236841201782227,1.1
02/17/2021,17.151462784217635,1.1
02/17/2021,17.009166717529297,1.1
02/18/2021,16.876359204880185,1.1
02/18/2021,17.0471134185791,1.1
02/19/2021,17.094545364379883,1.1
02/19/2021,17.094545364379883,1.1
02/22/2021,17.07557183980833,1.1
02/22/2021,17.236841201782227,1.1
02/23/2021,17.160949822180395,1.1
02/23/2021,16.9807071685791,1.1
02/24/2021,17.322219245985266,1.1
02/24/2021,17.530920028686523,1.1
02/25/2021,17.502461532625098,1.1
02/25/2021,17.59732437133789,1.1
02/26/2021,17.578353006900475,1.1
02/26/2021,17.635271072387695,1.1
03/01/2021,17.910375940270864,1.1
03/01/2021,17.806026458740234,1.1
03/02/2021,17.80602792094047,1.1
03/02/2021,18.38469886779785,1.1
03/03/2021,18.508023454099,1.1
03/03/2021,18.602888107299805,1.1
03/04/2021,18.526995663278456,1.1
03/04/2021,18.033700942993164,1.1
03/05/2021,18.308806147231003,1.1
03/05/2021,17.88191795349121,1.1
03/08/2021,18.005242781495653,1.1
03/08/2021,18.213945388793945,1.1
03/09/2021,18.175997693390247,1.1
03/09/2021,18.413158416748047,1.1
03/10/2021,18.413157843814272,1.1
03/10/2021,18.877992630004883,1.1
03/11/2021,18.773643258138705,1.1
03/11/2021,18.697750091552734,1.1
03/12/2021,18.86850523173198,1.1
03/12/2021,18.972856521606445,1.1
03/15/2021,18.972858954194724,1.1
03/15/2021,19.276424407958984,1.1
03/16/2021,19.344676099994988,1.6500000000000001
03/16/2021,19.29592514038086,1.6500000000000001
03/17/2021,19.422678751215535,1.6500000000000001
03/17/2021,19.29592514038086,1.6500000000000001
03/18/2021,19.38367599501787,1.6500000000000001
03/18/2021,18.769405364990234,1.6500000000000001
03/19/2021,18.52564701797495,1.6500000000000001
03/19/2021,19.217920303344727,1.6500000000000001
03/22/2021,19.06191491855666,1.6500000000000001
03/22/2021,18.857158660888672,1.6500000000000001
03/23/2021,18.63290150542247,1.6500000000000001
03/23/2021,18.389142990112305,1.6500000000000001
03/24/2021,18.51589691733534,1.6500000000000001
03/24/2021,18.281888961791992,1.6500000000000001
03/25/2021,18.21363640036851,1.6500000000000001
03/25/2021,18.486644744873047,1.6500000000000001
03/26/2021,18.603649027565847,1.6500000000000001
03/26/2021,18.701152801513672,1.6500000000000001
03/29/2021,18.476896284465123,1.6500000000000001
03/29/2021,18.74990463256836,1.6500000000000001
03/30/2021,18.720653939279313,1.6500000000000001
03/30/2021,18.97416114807129,1.6500000000000001
03/31/2021,18.915660151261324,1.6500000000000001
03/31/2021,19.042415618896484,1.6500000000000001
04/01/2021,19.03266486421658,1.6500000000000001
04/01/2021,19.32517433166504,1.6500000000000001
04/05/2021,19.35442643221819,1.6500000000000001
04/05/2021,19.763940811157227,1.6500000000000001
04/06/2021,19.793191549345643,1.6500000000000001
04/06/2021,20.085702896118164,1.6500000000000001
04/07/2021,20.027199834179086,1.6500000000000001
04/07/2021,20.25145721435547,1.6500000000000001
04/08/2021,20.36846141780145,1.6500000000000001
04/08/2021,20.10520362854004,1.6500000000000001
04/09/2021,20.13445357980702,1.6500000000000001
04/09/2021,20.007699966430664,1.6500000000000001
04/12/2021,19.88094374092736,1.6500000000000001
04/12/2021,19.8614444732666,1.6500000000000001
04/13/2021,19.802940565878117,1.6500000000000001
04/13/2021,19.793190002441406,1.6500000000000001
04/14/2021,19.666437910626005,1.6500000000000001
04/14/2021,19.539684295654297,1.6500000000000001
04/15/2021,19.588433749459995,1.6500000000000001
04/15/2021,19.793190002441406,1.6500000000000001
04/16/2021,19.773692287505845,1.6500000000000001
04/16/2021,19.6274356842041,1.6500000000000001
04/19/2021,19.715188624154152,1.6500000000000001
04/19/2021,19.5494327545166,1.6500000000000001
04/20/2021,19.38367629723018,1.6500000000000001
04/20/2021,19.578683853149414,1.6500000000000001
04/21/2021,19.45193004743152,1.6500000000000001
04/21/2021,19.58843421936035,1.6500000000000001
04/22/2021,19.529933208384456,1.6500000000000001
04/22/2021,19.4714298248291,1.6500000000000001
04/23/2021,19.42267863300102,1.6500000000000001
04/23/2021,19.66643714904785,1.6500000000000001
04/26/2021,19.666436676242505,1.6500000000000001
04/26/2021,19.871192932128906,1.6500000000000001
04/27/2021,19.910195432013303,1.6500000000000001
04/27/2021,19.8614444732666,1.6500000000000001
04/28/2021,19.890694420889965,1.6500000000000001
04/28/2021,20.036949157714844,1.6500000000000001
04/29/2021,20.134453460830237,1.6500000000000001
04/29/2021,20.10520362854004,1.6500000000000001
04/30/2021,19.988197918874786,1.6500000000000001
04/30/2021,19.958946228027344,1.6500000000000001
05/03/2021,20.163705072701017,1.6500000000000001
05/03/2021,20.0174503326416,1.6500000000000001
05/04/2021,19.949196779415754,1.6500000000000001
05/04/2021,19.997949600219727,1.6500000000000001
05/05/2021,20.007699097384677,1.6500000000000001
05/05/2021,20.231956481933594,1.6500000000000001
05/06/2021,20.231957273178384,1.6500000000000001
05/06/2021,20.192955017089844,1.6500000000000001
05/07/2021,20.134452312677023,1.6500000000000001
05/07/2021,20.25145721435547,1.6500000000000001
05/10/2021,20.29045912275281,1.6500000000000001
05/10/2021,20.270959854125977,1.6500000000000001
05/11/2021,19.89069346747678,1.6500000000000001
05/11/2021,19.90044403076172,1.6500000000000001
05/12/2021,19.89069469259734,1.6500000000000001
05/12/2021,19.383676528930664,1.6500000000000001
05/13/2021,19.442180269266377,1.6500000000000001
05/13/2021,19.5494327545166,1.6500000000000001
