NLY,Annaly Capital Management Inc,
Date,Price,Dividend,Annualized Dividend
11/30/1998,0.6398686161812615,0.0,1.1300000000000001
12/01/1998,0.6130210082046688,0.0,1.1300000000000001
12/02/1998,0.5548507126550826,0.0,1.1300000000000001
12/03/1998,0.5682746786059756,0.0,1.1300000000000001
12/04/1998,0.5951223250563819,0.0,1.1300000000000001
12/07/1998,0.5861733728088439,0.0,1.1300000000000001
12/08/1998,0.5861732010657971,0.0,1.1300000000000001
12/09/1998,0.5816985964775085,0.0,1.1300000000000001
12/10/1998,0.57722399188922,0.0,1.1300000000000001
12/11/1998,0.5727493873009315,0.0,1.1300000000000001
12/14/1998,0.5727493053174201,0.0,1.1300000000000001
12/15/1998,0.5816987669095397,0.0,1.1300000000000001
12/16/1998,0.5727495551109314,0.0,1.1300000000000001
12/17/1998,0.5637999176979065,0.0,1.1300000000000001
12/18/1998,0.5727495809239666,0.0,1.1300000000000001
12/21/1998,0.5638003191527199,0.0,1.1300000000000001
12/22/1998,0.6085463673321169,0.0,1.1300000000000001
12/23/1998,0.6085463762283325,0.0,1.1300000000000001
12/24/1998,0.6085463762283325,0.0,1.1300000000000001
12/28/1998,0.6040716194189512,0.0,1.1300000000000001
12/29/1998,0.590438961982727,0.305,1.215
12/30/1998,0.590438744851521,0.0,1.215
12/31/1998,0.5857897265390917,0.0,1.215
01/04/1999,0.6136844754219055,0.0,1.215
01/05/1999,0.613684798014983,0.0,1.215
01/06/1999,0.6090355753898621,0.0,1.215
01/07/1999,0.5950880420300388,0.0,1.215
01/08/1999,0.6090356707572937,0.0,1.215
01/11/1999,0.6136847019195556,0.0,1.215
01/12/1999,0.5997373223304748,0.0,1.215
01/13/1999,0.5997374162419152,0.0,1.215
01/14/1999,0.6136844754219055,0.0,1.215
01/15/1999,0.6229827697726263,0.0,1.215
01/19/1999,0.6462284955713484,0.0,1.215
01/20/1999,0.6694739028199078,0.0,1.215
01/21/1999,0.6787725313504537,0.0,1.215
01/22/1999,0.6927199336615476,0.0,1.215
01/25/1999,0.7345618420089317,0.0,1.215
01/26/1999,0.7066673148762096,0.0,1.215
01/27/1999,0.7252636786430112,0.0,1.215
01/28/1999,0.7206146960908716,0.0,1.215
01/29/1999,0.7206142595724055,0.0,1.215
02/01/1999,0.7113160110617939,0.0,1.215
02/02/1999,0.7066667469498379,0.0,1.215
02/03/1999,0.7066673148762096,0.0,1.215
02/04/1999,0.7206141169554268,0.0,1.215
02/05/1999,0.7159649936202305,0.0,1.215
02/08/1999,0.7159655467669169,0.0,1.215
02/09/1999,0.7020181659857432,0.0,1.215
02/10/1999,0.6973691486023568,0.0,1.215
02/11/1999,0.6694741735653001,0.0,1.215
02/12/1999,0.6927199121316274,0.0,1.215
02/16/1999,0.6973690390586853,0.0,1.215
02/17/1999,0.6973690390586853,0.0,1.215
02/18/1999,0.7066674039170548,0.0,1.215
02/19/1999,0.6927199121316274,0.0,1.215
02/22/1999,0.6973690634605868,0.0,1.215
02/23/1999,0.7020181905503241,0.0,1.215
02/24/1999,0.6973690634605868,0.0,1.215
02/25/1999,0.6927199363708496,0.0,1.215
02/26/1999,0.6927200209450077,0.0,1.215
03/01/1999,0.6880708092811123,0.0,1.215
03/02/1999,0.7020179629325867,0.0,1.215
03/03/1999,0.7113162140972566,0.0,1.215
03/04/1999,0.7066673122861851,0.0,1.215
03/05/1999,0.7299130811141087,0.0,1.215
03/08/1999,0.7252639532089233,0.0,1.215
03/09/1999,0.7299130811141087,0.0,1.215
03/10/1999,0.7252639532089233,0.0,1.215
03/11/1999,0.7345619309333062,0.0,1.215
03/12/1999,0.7252638231624257,0.0,1.215
03/15/1999,0.7252638231624257,0.0,1.215
03/16/1999,0.7206145524978638,0.0,1.215
03/17/1999,0.7252639532089233,0.0,1.215
03/18/1999,0.7252639532089233,0.0,1.215
03/19/1999,0.7252638231624257,0.0,1.215
03/22/1999,0.7252638231624257,0.0,1.215
03/23/1999,0.7252633838277114,0.0,1.215
03/24/1999,0.7066672929128011,0.0,1.215
03/25/1999,0.7066671740624212,0.0,1.215
03/26/1999,0.7299132679082171,0.0,1.215
03/29/1999,0.7392113369244795,0.0,1.215
03/30/1999,0.741047203540802,0.33,1.225
03/31/1999,0.7410469591617584,0.0,1.225
04/01/1999,0.7795434978943837,0.0,1.225
04/05/1999,0.7602951828535501,0.0,1.225
04/06/1999,0.7362352087126149,0.0,1.225
04/07/1999,0.7266107307452905,0.0,1.225
04/08/1999,0.7314229516793561,0.0,1.225
04/09/1999,0.7217991272075064,0.0,1.225
04/12/1999,0.7169869723698951,0.0,1.225
04/13/1999,0.7314227223396301,0.0,1.225
04/14/1999,0.7410475226897228,0.0,1.225
04/15/1999,0.7651072534231039,0.0,1.225
04/16/1999,0.7506709606416764,0.0,1.225
04/19/1999,0.7506712675094604,0.0,1.225
04/20/1999,0.7506709606416764,0.0,1.225
04/21/1999,0.7506706820931405,0.0,1.225
04/22/1999,0.750671516490888,0.0,1.225
04/23/1999,0.7651075071926359,0.0,1.225
04/26/1999,0.7602950417020785,0.0,1.225
04/27/1999,0.7795429050922394,0.0,1.225
04/28/1999,0.7795432279446374,0.0,1.225
04/29/1999,0.7843551191416654,0.0,1.225
04/30/1999,0.8036028053387101,0.0,1.225
05/03/1999,0.8036033104447757,0.0,1.225
05/04/1999,0.8228510990738869,0.0,1.225
05/05/1999,0.8180392980575562,0.0,1.225
05/06/1999,0.8180391043424606,0.0,1.225
05/07/1999,0.8084151148796082,0.0,1.225
05/10/1999,0.8180386821428934,0.0,1.225
05/11/1999,0.837286651134491,0.0,1.225
05/12/1999,0.8372866411429609,0.0,1.225
05/13/1999,0.8324746988540472,0.0,1.225
05/14/1999,0.8276627063751221,0.0,1.225
05/17/1999,0.8324746988540472,0.0,1.225
05/18/1999,0.8276629800627218,0.0,1.225
05/19/1999,0.8132271096110344,0.0,1.225
05/20/1999,0.8132267910313893,0.0,1.225
05/21/1999,0.7987906440289434,0.0,1.225
05/24/1999,0.8132266195234424,0.0,1.225
05/25/1999,0.8036031201481819,0.0,1.225
05/26/1999,0.8084146276919427,0.0,1.225
05/27/1999,0.7987912762455824,0.0,1.225
05/28/1999,0.7939792806055488,0.0,1.225
06/01/1999,0.7939791083335876,0.0,1.225
06/02/1999,0.7891667889960018,0.0,1.225
06/03/1999,0.7795429050922394,0.0,1.225
06/04/1999,0.7651068259168554,0.0,1.225
06/07/1999,0.7843551191416654,0.0,1.225
06/08/1999,0.8036031201481819,0.0,1.225
06/09/1999,0.8036026358604431,0.0,1.225
06/10/1999,0.7987906440289434,0.0,1.225
06/11/1999,0.8036028053387101,0.0,1.225
06/14/1999,0.8036026358604431,0.0,1.225
06/15/1999,0.8036026358604431,0.0,1.225
06/16/1999,0.8036028053387101,0.0,1.225
06/17/1999,0.80360309752551,0.0,1.225
06/18/1999,0.793978819646031,0.0,1.225
06/21/1999,0.8036030097120612,0.0,1.225
06/22/1999,0.8180390673074109,0.0,1.225
06/23/1999,0.8180386723810538,0.0,1.225
06/24/1999,0.8324746489524841,0.0,1.225
06/25/1999,0.8372866913329724,0.0,1.225
06/28/1999,0.8324746988540472,0.0,1.225
06/29/1999,0.8372868388039725,0.0,1.225
06/30/1999,0.8661590814590454,0.0,1.225
07/01/1999,0.8709710836410522,0.0,1.225
07/02/1999,0.8709710836410522,0.0,1.225
07/06/1999,0.8709709722917158,0.0,1.225
07/07/1999,0.8787617694054332,0.35,1.255
07/08/1999,0.8390438679386587,0.0,1.255
07/09/1999,0.848973381168702,0.0,1.255
07/12/1999,0.844008479089964,0.0,1.255
07/13/1999,0.844008479089964,0.0,1.255
07/14/1999,0.8390436768531799,0.0,1.255
07/15/1999,0.8340791113236371,0.0,1.255
07/16/1999,0.8440084323375183,0.0,1.255
07/19/1999,0.848973381168702,0.0,1.255
07/20/1999,0.8440086245536804,0.0,1.255
07/21/1999,0.844008479089964,0.0,1.255
07/22/1999,0.8390438679386587,0.0,1.255
07/23/1999,0.8440084323375183,0.0,1.255
07/26/1999,0.844008479089964,0.0,1.255
07/27/1999,0.8291136622428894,0.0,1.255
07/28/1999,0.8291138855807753,0.0,1.255
07/29/1999,0.8241494560525531,0.0,1.255
07/30/1999,0.8340789675712585,0.0,1.255
08/02/1999,0.8340786393866482,0.0,1.255
08/03/1999,0.8291142118119058,0.0,1.255
08/04/1999,0.8291136622428894,0.0,1.255
08/05/1999,0.8241496442294702,0.0,1.255
08/06/1999,0.8092553608025177,0.0,1.255
08/09/1999,0.7844314239919186,0.0,1.255
08/10/1999,0.794360748189964,0.0,1.255
08/11/1999,0.7596073597669601,0.0,1.255
08/12/1999,0.7496778517961502,0.0,1.255
08/13/1999,0.7546426057815552,0.0,1.255
08/16/1999,0.754642817179362,0.0,1.255
08/17/1999,0.7447130978107452,0.0,1.255
08/18/1999,0.7546431058413022,0.0,1.255
08/19/1999,0.7645726203918457,0.0,1.255
08/20/1999,0.7645726203918457,0.0,1.255
08/23/1999,0.7645726203918457,0.0,1.255
08/24/1999,0.7596074654566531,0.0,1.255
08/25/1999,0.7546424429401073,0.0,1.255
08/26/1999,0.759607195854187,0.0,1.255
08/27/1999,0.7546426057815552,0.0,1.255
08/30/1999,0.7546424429401073,0.0,1.255
08/31/1999,0.759607195854187,0.0,1.255
09/01/1999,0.7596073597669601,0.0,1.255
09/02/1999,0.7546426057815552,0.0,1.255
09/03/1999,0.7546427107804659,0.0,1.255
09/07/1999,0.7546429542394785,0.0,1.255
09/08/1999,0.7745019066718316,0.0,1.255
09/09/1999,0.7645723950478338,0.0,1.255
09/10/1999,0.779466735628935,0.0,1.255
09/13/1999,0.7844314919068263,0.0,1.255
09/14/1999,0.7745019793510437,0.0,1.255
09/15/1999,0.7745019793510437,0.0,1.255
09/16/1999,0.7745019066718316,0.0,1.255
09/17/1999,0.7645726203918457,0.0,1.255
09/20/1999,0.7695373776671175,0.0,1.255
09/21/1999,0.769537083307902,0.0,1.255
09/22/1999,0.7397484467519041,0.0,1.255
09/23/1999,0.7496781689208626,0.0,1.255
09/24/1999,0.7397486567497253,0.0,1.255
09/27/1999,0.7496778517961502,0.0,1.255
09/28/1999,0.7546427107804659,0.0,1.255
09/29/1999,0.7546427894282985,0.0,1.255
09/30/1999,0.7347839006641567,0.0,1.255
10/01/1999,0.7397486567497253,0.0,1.255
10/04/1999,0.7298189401626587,0.0,1.255
10/05/1999,0.7347836200505087,0.0,1.255
10/06/1999,0.7298189401626587,0.0,1.255
10/07/1999,0.7380773639507431,0.35,1.335
10/08/1999,0.7071090829458169,0.0,1.335
10/11/1999,0.7225932478904724,0.0,1.335
10/12/1999,0.7225928466711472,0.0,1.335
10/13/1999,0.6864635246771353,0.0,1.335
10/14/1999,0.6916245818138123,0.0,1.335
10/15/1999,0.6864635246771353,0.0,1.335
10/18/1999,0.6916249187096305,0.0,1.335
10/19/1999,0.7122706306331298,0.0,1.335
10/20/1999,0.7122700917187021,0.0,1.335
10/21/1999,0.6916246745819437,0.0,1.335
10/22/1999,0.696786330504851,0.0,1.335
10/25/1999,0.6864632427237416,0.0,1.335
10/26/1999,0.681302205153874,0.0,1.335
10/27/1999,0.7225932478904724,0.0,1.335
10/28/1999,0.7225933311678839,0.0,1.335
10/29/1999,0.7277545786422231,0.0,1.335
11/01/1999,0.7071090290943781,0.0,1.335
11/02/1999,0.7432384101711974,0.0,1.335
11/03/1999,0.7638837971143275,0.0,1.335
11/04/1999,0.7690455063774779,0.0,1.335
11/05/1999,0.7535613686651796,0.0,1.335
11/08/1999,0.7535613686651796,0.0,1.335
11/09/1999,0.7690458528200785,0.0,1.335
11/10/1999,0.7690452994132528,0.0,1.335
