KREF,KKR Real Estate Finance Trust I,
Date,Price,Dividend,Annualized Dividend
06/19/2018,14.820358899269017,0.0,1.3900000000000001
06/20/2018,14.996701987061801,0.0,1.3900000000000001
06/21/2018,15.092223889340096,0.0,1.3900000000000001
06/22/2018,15.092228550661504,0.0,1.3900000000000001
06/25/2018,15.084876231536727,0.0,1.3900000000000001
06/26/2018,15.099571726607026,0.0,1.3900000000000001
06/27/2018,14.886491811128055,0.0,1.3900000000000001
06/28/2018,14.702957670699885,0.43,1.57
06/29/2018,14.883176770374563,0.0,1.57
07/02/2018,14.800574759712708,0.0,1.57
07/03/2018,15.02585117218819,0.0,1.57
07/05/2018,15.11595992354468,0.0,1.57
07/06/2018,15.27365589367512,0.0,1.57
07/09/2018,15.40056235090337,0.0,1.57
07/10/2018,15.468897844560553,0.0,1.57
07/11/2018,15.311201404045617,0.0,1.57
07/12/2018,15.423838727113615,0.0,1.57
07/13/2018,15.468893731324718,0.0,1.57
07/16/2018,15.51394866460508,0.0,1.57
07/17/2018,15.498931467241066,0.0,1.57
07/18/2018,15.40882113562443,0.0,1.57
07/19/2018,15.438856215419094,0.0,1.57
07/20/2018,15.5590032939085,0.0,1.57
07/23/2018,15.446363042987777,0.0,1.57
07/24/2018,15.52145842806028,0.0,1.57
07/25/2018,15.438854539840134,0.0,1.57
07/26/2018,15.4989251692476,0.0,1.57
07/27/2018,15.468892732830525,0.0,1.57
07/30/2018,15.423839263975706,0.0,1.57
07/31/2018,15.49892861141051,0.0,1.57
08/01/2018,15.551492323694879,0.0,1.57
08/02/2018,15.543985287090646,0.0,1.57
08/03/2018,15.656623410946732,0.0,1.57
08/06/2018,15.4538749021738,0.0,1.57
08/07/2018,15.769257594318853,0.0,1.57
08/08/2018,14.830612802262435,0.0,1.57
08/09/2018,14.853140157702764,0.0,1.57
08/10/2018,14.905703978510795,0.0,1.57
08/13/2018,15.010831908947504,0.0,1.57
08/14/2018,14.980799140908204,0.0,1.57
08/15/2018,15.093433167673536,0.0,1.57
08/16/2018,15.055888489165719,0.0,1.57
08/17/2018,15.138490059256961,0.0,1.57
08/20/2018,15.161017843114951,0.0,1.57
08/21/2018,15.228601456323833,0.0,1.57
08/22/2018,15.619076303471847,0.0,1.57
08/23/2018,15.619077763781858,0.0,1.57
08/24/2018,15.731711463210422,0.0,1.57
08/27/2018,16.054608538677154,0.0,1.57
08/28/2018,16.01706061224807,0.0,1.57
08/29/2018,16.032080141439934,0.0,1.57
08/30/2018,15.956991195678711,0.0,1.57
08/31/2018,15.956988412677532,0.0,1.57
09/04/2018,15.919443369749818,0.0,1.57
09/05/2018,15.814310583576496,0.0,1.57
09/06/2018,15.791787481937718,0.0,1.57
09/07/2018,15.769259854971645,0.0,1.57
09/10/2018,15.664130321776451,0.0,1.57
09/11/2018,15.656622998526172,0.0,1.57
09/12/2018,15.641604641182136,0.0,1.57
09/13/2018,15.536475387225659,0.0,1.57
09/14/2018,15.386291392511872,0.0,1.57
09/17/2018,15.423838735008797,0.0,1.57
09/18/2018,15.213579621104056,0.0,1.57
09/19/2018,15.176034275523266,0.0,1.57
09/20/2018,15.176034275523266,0.0,1.57
09/21/2018,15.130982189329117,0.0,1.57
09/24/2018,15.446369808230832,0.0,1.57
09/25/2018,15.371272880928894,0.0,1.57
09/26/2018,15.251128845672714,0.0,1.57
09/27/2018,15.206724523605082,0.43,1.63
09/28/2018,15.337155143469491,0.0,1.63
10/01/2018,15.49060562879341,0.0,1.63
10/02/2018,15.36784530493286,0.0,1.63
10/03/2018,15.329484661824115,0.0,1.63
10/04/2018,15.436897195618727,0.0,1.63
10/05/2018,15.32948341545306,0.0,1.63
10/08/2018,15.245087194014221,0.0,1.63
10/09/2018,15.314137573381679,0.0,1.63
10/10/2018,15.32948044059291,0.0,1.63
10/11/2018,15.122325172821197,0.0,1.63
10/12/2018,15.0225855895956,0.0,1.63
10/15/2018,15.030259424497029,0.0,1.63
10/16/2018,15.20672757903376,0.0,1.63
10/17/2018,15.521296109855337,0.0,1.63
10/18/2018,15.490604106017996,0.0,1.63
10/19/2018,15.413881694247012,0.0,1.63
10/22/2018,15.459915549483071,0.0,1.63
10/23/2018,15.268103891448684,0.0,1.63
10/24/2018,15.429226132605152,0.0,1.63
10/25/2018,15.337153737650171,0.0,1.63
10/26/2018,15.32181087616357,0.0,1.63
10/29/2018,15.360174908979852,0.0,1.63
10/30/2018,15.33715696893887,0.0,1.63
10/31/2018,15.344827831864176,0.0,1.63
11/01/2018,15.421553081864541,0.0,1.63
11/02/2018,15.28344833439794,0.0,1.63
11/05/2018,15.33715572392065,0.0,1.63
11/06/2018,15.38318998876932,0.0,1.63
11/07/2018,15.490601799506107,0.0,1.63
11/08/2018,15.590345496455834,0.0,1.63
11/09/2018,15.628709033382647,0.0,1.63
11/12/2018,15.881897734793645,0.0,1.63
11/13/2018,15.782155774407117,0.0,1.63
11/14/2018,15.88957084811305,0.0,1.63
11/15/2018,14.884483827575128,0.0,1.63
11/16/2018,14.69267315561708,0.0,1.63
11/19/2018,14.961205881050967,0.0,1.63
11/20/2018,14.669653934957122,0.0,1.63
11/21/2018,14.654311699607064,0.0,1.63
11/23/2018,14.692675423441482,0.0,1.63
11/26/2018,14.669656423733791,0.0,1.63
11/27/2018,14.708018469785186,0.0,1.63
11/28/2018,14.669658278251738,0.0,1.63
11/29/2018,14.830777105871931,0.0,1.63
11/30/2018,14.922846856188977,0.0,1.63
12/03/2018,15.04560438978029,0.0,1.63
12/04/2018,15.222070049420813,0.0,1.63
12/06/2018,14.938190984927385,0.0,1.63
12/07/2018,15.168360474040314,0.0,1.63
12/10/2018,15.32181257092136,0.0,1.63
12/11/2018,15.237414919759875,0.0,1.63
12/12/2018,15.237417788541471,0.0,1.63
12/13/2018,15.08396635822979,0.0,1.63
12/14/2018,14.961208736242808,0.0,1.63
12/17/2018,14.976552721012697,0.0,1.63
12/18/2018,14.60827404818865,0.0,1.63
12/19/2018,14.792416222013344,0.0,1.63
12/20/2018,14.585260671747164,0.0,1.63
12/21/2018,14.56991633339525,0.0,1.63
12/24/2018,14.516208298302205,0.0,1.63
12/26/2018,14.385777246077806,0.0,1.63
12/27/2018,14.790676869223285,0.43,1.69
12/28/2018,14.876983595983079,0.0,1.69
12/31/2018,15.010375305813707,0.0,1.69
01/02/2019,14.884828977158916,0.0,1.69
01/03/2019,15.018222480567097,0.0,1.69
01/04/2019,15.222227402374756,0.0,1.69
01/07/2019,15.528246364113713,0.0,1.69
01/08/2019,15.630252025112686,0.0,1.69
01/09/2019,15.669482796133693,0.0,1.69
01/10/2019,15.693023163827466,0.0,1.69
01/11/2019,15.740101518773422,0.0,1.69
01/14/2019,15.65379105143749,0.0,1.69
01/15/2019,15.70871564539209,0.0,1.69
01/16/2019,15.920572373866921,0.0,1.69
01/17/2019,15.881337748031484,0.0,1.69
01/18/2019,15.936264259272969,0.0,1.69
01/22/2019,15.865647548107553,0.0,1.69
01/23/2019,15.818566697190766,0.0,1.69
01/24/2019,15.77933489380375,0.0,1.69
01/25/2019,15.834259420111033,0.0,1.69
01/28/2019,15.810721439518176,0.0,1.69
01/29/2019,15.889184565254256,0.0,1.69
01/30/2019,15.912726273496379,0.0,1.69
01/31/2019,15.889186610191144,0.0,1.69
02/01/2019,16.187352259668188,0.0,1.69
02/04/2019,16.108888159992677,0.0,1.69
02/05/2019,16.273663167355167,0.0,1.69
02/06/2019,16.16381274594966,0.0,1.69
02/07/2019,15.936263084411621,0.0,1.69
02/08/2019,15.849954563539969,0.0,1.69
02/11/2019,16.03042278975098,0.0,1.69
02/12/2019,16.132426919664113,0.0,1.69
02/13/2019,16.14027423821617,0.0,1.69
02/14/2019,15.983345031738281,0.0,1.69
02/15/2019,16.061805646752603,0.0,1.69
02/19/2019,15.849952482929908,0.0,1.69
02/20/2019,15.975499364326835,0.0,1.69
02/21/2019,15.77933602988476,0.0,1.69
02/22/2019,15.912723625110852,0.0,1.69
02/25/2019,15.889185609848264,0.0,1.69
02/26/2019,15.857798845829606,0.0,1.69
02/27/2019,15.810719823103465,0.0,1.69
02/28/2019,15.897032923907412,0.0,1.69
03/01/2019,15.97549830726033,0.0,1.69
03/04/2019,15.928416306638773,0.0,1.69
03/05/2019,16.05396226034141,0.0,1.69
03/06/2019,16.006880540816557,0.0,1.69
03/07/2019,15.8891876241057,0.0,1.69
03/08/2019,15.842109212859077,0.0,1.69
03/11/2019,15.732255399557873,0.0,1.69
03/12/2019,16.022576862687494,0.0,1.69
03/13/2019,16.04611736013525,0.0,1.69
03/14/2019,16.030423977222817,0.0,1.69
03/15/2019,16.022576721384326,0.0,1.69
03/18/2019,15.983345844848587,0.0,1.69
03/19/2019,15.983343977286362,0.0,1.69
03/20/2019,15.810719348359667,0.0,1.69
03/21/2019,15.889185003066284,0.0,1.69
03/22/2019,15.96765164911388,0.0,1.69
03/25/2019,15.84995322698567,0.0,1.69
03/26/2019,15.78717899034986,0.0,1.69
03/27/2019,15.991190097691407,0.0,1.69
03/28/2019,16.023083586336906,0.43,1.72
03/29/2019,16.167367365616755,0.0,1.72
04/01/2019,16.063161723549765,0.0,1.72
04/02/2019,16.135303569428793,0.0,1.72
04/03/2019,16.071176200822176,0.0,1.72
04/04/2019,16.095220905176983,0.0,1.72
04/05/2019,16.22347207001334,0.0,1.72
04/08/2019,16.13530085831801,0.0,1.72
04/09/2019,16.207439469907843,0.0,1.72
04/10/2019,16.111256365712276,0.0,1.72
04/11/2019,16.183392110231907,0.0,1.72
04/12/2019,16.311642871654325,0.0,1.72
04/15/2019,16.295611681950582,0.0,1.72
04/16/2019,16.31164485707834,0.0,1.72
04/17/2019,16.295612593097946,0.0,1.72
04/18/2019,16.14331777182725,0.0,1.72
04/22/2019,16.13530172146824,0.0,1.72
04/23/2019,16.079192913528924,0.0,1.72
04/24/2019,16.095223849194213,0.0,1.72
04/25/2019,16.143317323483167,0.0,1.72
04/26/2019,16.13530085831801,0.0,1.72
04/29/2019,16.231488458176724,0.0,1.72
04/30/2019,16.1673641204834,0.0,1.72
05/01/2019,16.159347734908337,0.0,1.72
05/02/2019,16.143317639944144,0.0,1.72
05/03/2019,16.31164080092632,0.0,1.72
05/06/2019,16.303630625420436,0.0,1.72
05/07/2019,16.287596674763975,0.0,1.72
05/08/2019,16.295611406386755,0.0,1.72
05/09/2019,16.207440530202465,0.0,1.72
05/10/2019,16.103240500416614,0.0,1.72
05/13/2019,16.143313192374414,0.0,1.72
05/14/2019,16.215456008911133,0.0,1.72
05/15/2019,16.231487348640606,0.0,1.72
05/16/2019,16.271562100089533,0.0,1.72
05/17/2019,16.231490236759075,0.0,1.72
05/20/2019,16.159347407935165,0.0,1.72
05/21/2019,16.215456008911133,0.0,1.72
05/22/2019,16.231485287260856,0.0,1.72
05/23/2019,16.135297460908312,0.0,1.72
05/24/2019,16.255535399222275,0.0,1.72
05/28/2019,16.295612593097946,0.0,1.72
05/29/2019,16.151333057000514,0.0,1.72
05/30/2019,16.175378926648726,0.0,1.72
05/31/2019,15.870786291245324,0.0,1.72
06/03/2019,15.846743529306668,0.0,1.72
06/04/2019,16.07918944167429,0.0,1.72
06/05/2019,16.191411724587244,0.0,1.72
06/06/2019,16.143315544034163,0.0,1.72
06/07/2019,16.271565393445375,0.0,1.72
06/10/2019,16.21545324672489,0.0,1.72
06/11/2019,16.255532482514894,0.0,1.72
06/12/2019,16.207442629109455,0.0,1.72
06/13/2019,16.29561489107255,0.0,1.72
06/14/2019,16.335692033966982,0.0,1.72
06/17/2019,16.351719024079024,0.0,1.72
06/18/2019,16.311642822039865,0.0,1.72
06/19/2019,16.383786099924965,0.0,1.72
06/20/2019,16.38378374204809,0.0,1.72
06/21/2019,16.303624764007576,0.0,1.72
06/24/2019,16.303627139020538,0.0,1.72
06/25/2019,16.239505970954674,0.0,1.72
06/26/2019,16.21545520234066,0.0,1.72
06/27/2019,16.25049914327472,0.43,1.72
06/28/2019,16.217734787347393,0.0,1.72
07/01/2019,16.38973778724873,0.0,1.72
07/02/2019,16.381549561604416,0.0,1.72
07/03/2019,16.438885319745612,0.0,1.72
07/05/2019,16.46346202057261,0.0,1.72
07/08/2019,16.40612274038964,0.0,1.72
07/09/2019,16.422502810601905,0.0,1.72
07/10/2019,16.455267760285995,0.0,1.72
07/11/2019,16.46345872308664,0.0,1.72
07/12/2019,16.463459252368967,0.0,1.72
07/15/2019,16.512603243345268,0.0,1.72
07/16/2019,16.537176940525512,0.0,1.72
07/17/2019,16.545368131586837,0.0,1.72
07/18/2019,16.479839839710323,0.0,1.72
07/19/2019,16.430694065318978,0.0,1.72
07/22/2019,16.504412505422373,0.0,1.72
07/23/2019,16.463460931207358,0.0,1.72
07/24/2019,16.610892113554566,0.0,1.72
07/25/2019,16.455268850376523,0.0,1.72
07/26/2019,16.422505523820742,0.0,1.72
07/29/2019,16.40612274038964,0.0,1.72
07/30/2019,16.430694065318978,0.0,1.72
07/31/2019,16.45526833123283,0.0,1.72
08/01/2019,16.397933151905388,0.0,1.72
08/02/2019,16.340596326240124,0.0,1.72
08/05/2019,16.176780763356305,0.0,1.72
08/06/2019,15.832768341573605,0.0,1.72
08/07/2019,15.98839292389351,0.0,1.72
08/08/2019,15.97201208242215,0.0,1.72
08/09/2019,15.857341858484782,0.0,1.72
08/12/2019,15.849150750006757,0.0,1.72
08/13/2019,15.881912360909132,0.0,1.72
08/14/2019,15.742668416936224,0.0,1.72
08/15/2019,15.439610209757852,0.0,1.72
08/16/2019,15.562473547127217,0.0,1.72
08/19/2019,15.881913052801178,0.0,1.72
08/20/2019,15.898295390952548,0.0,1.72
08/21/2019,15.824577914679383,0.0,1.72
08/22/2019,15.840961068045976,0.0,1.72
08/23/2019,15.709912020834418,0.0,1.72
08/26/2019,15.636190572892161,0.0,1.72
08/27/2019,15.783623119940223,0.0,1.72
08/28/2019,15.578857507884997,0.0,1.72
08/29/2019,15.529710976018041,0.0,1.72
08/30/2019,15.685331704900317,0.0,1.72
09/03/2019,15.480567501036935,0.0,1.72
09/04/2019,15.587046053880576,0.0,1.72
