BEP,Brookfield Renewable Partners L,
Date,Price,Dividend,Annualized Dividend
12/20/2007,6.048373222351074,0.0,0.0
12/21/2007,6.158526420593262,0.0,0.0
12/24/2007,6.211933612823486,0.0,0.0
12/26/2007,6.211933612823486,0.0,0.0
12/28/2007,6.175218105316162,0.0,0.0
12/31/2007,6.816102981567383,0.0,0.0
01/02/2008,6.816102981567383,0.0,0.0
01/03/2008,6.415550231933594,0.0,0.0
01/04/2008,6.412212371826172,0.0,0.0
01/07/2008,6.412212371826172,0.0,0.0
01/09/2008,6.118471622467041,0.0,0.0
01/10/2008,6.121809959411621,0.0,0.0
01/11/2008,5.908181667327881,0.0,0.0
01/14/2008,5.934884548187256,0.0,0.0
01/15/2008,6.125144958496094,0.0,0.0
01/16/2008,6.075077533721924,0.0,0.0
01/17/2008,5.884814739227295,0.0,0.0
01/18/2008,5.884814739227295,0.0,0.0
01/22/2008,5.901505947113037,0.0,0.0
01/23/2008,5.874800682067871,0.0,0.0
01/24/2008,6.198584079742432,0.0,0.0
01/25/2008,6.235299587249756,0.0,0.0
01/28/2008,6.221946716308594,0.0,0.0
01/29/2008,6.185230255126953,0.0,0.0
01/30/2008,6.332101345062256,0.0,0.0
01/31/2008,6.161863327026367,0.0,0.0
02/01/2008,6.251989841461182,0.0,0.0
02/04/2008,6.231961250305176,0.0,0.0
02/07/2008,6.0450358390808105,0.0,0.0
02/08/2008,6.0383620262146,0.0,0.0
02/11/2008,6.004980564117432,0.0,0.0
02/12/2008,5.974938869476318,0.0,0.0
02/13/2008,5.928205966949463,0.0,0.0
02/14/2008,5.924869537353516,0.0,0.0
02/15/2008,5.791351318359375,0.0,0.0
02/19/2008,5.771322727203369,0.0,0.0
02/20/2008,5.771322727203369,0.0,0.0
02/21/2008,5.75797176361084,0.0,0.0
02/22/2008,5.73460578918457,0.0,0.0
02/25/2008,5.881475448608398,0.0,0.0
02/26/2008,5.841419696807861,0.0,0.0
02/27/2008,5.841419696807861,0.0,0.0
02/28/2008,5.961587429046631,0.0,0.0
02/29/2008,5.961587429046631,0.0,0.0
03/03/2008,5.874800682067871,0.0,0.0
03/04/2008,5.75463342666626,0.0,0.0
03/05/2008,5.8480963706970215,0.0,0.0
03/06/2008,5.667847633361816,0.0,0.0
03/07/2008,5.607763767242432,0.0,0.0
03/10/2008,5.641144275665283,0.0,0.0
03/11/2008,5.594411373138428,0.0,0.0
03/12/2008,5.627790927886963,0.0,0.0
03/13/2008,5.627790927886963,0.0,0.0
03/18/2008,5.72792911529541,0.0,0.0
03/19/2008,5.597751140594482,0.0,0.0
03/20/2008,5.551019668579102,0.0,0.0
03/24/2008,5.567708969116211,0.0,0.0
03/25/2008,5.487598419189453,0.0,0.0
03/26/2008,5.5643696784973145,0.0,0.0
03/27/2008,5.474245548248291,0.0,0.0
03/28/2008,5.454217433929443,0.0,0.0
03/31/2008,5.457555770874023,0.0,0.0
04/01/2008,5.457555770874023,0.0,0.0
04/02/2008,5.524315357208252,0.0,0.0
04/03/2008,5.51096248626709,0.0,0.0
04/04/2008,5.581059455871582,0.0,0.0
04/07/2008,5.571045875549316,0.0,0.0
04/08/2008,5.544343948364258,0.0,0.0
04/09/2008,5.520977973937988,0.0,0.0
04/10/2008,5.507626056671143,0.0,0.0
04/11/2008,5.514301776885986,0.0,0.0
04/14/2008,5.507626056671143,0.0,0.0
04/15/2008,5.4775824546813965,0.0,0.0
04/16/2008,5.537666320800781,0.0,0.0
04/17/2008,5.611102104187012,0.0,0.0
04/18/2008,5.7779998779296875,0.0,0.0
04/21/2008,5.784674644470215,0.0,0.0
04/22/2008,5.821393013000488,0.0,0.0
04/23/2008,5.821393013000488,0.0,0.0
04/24/2008,5.844758033752441,0.0,0.0
04/25/2008,5.844758033752441,0.0,0.0
04/28/2008,5.701226711273193,0.0,0.0
04/29/2008,5.684535980224609,0.0,0.0
04/30/2008,5.684535980224609,0.0,0.0
05/01/2008,5.654496192932129,0.0,0.0
05/02/2008,5.764648914337158,0.0,0.0
05/05/2008,5.764648914337158,0.0,0.0
05/06/2008,5.811380386352539,0.0,0.0
05/07/2008,5.808039665222168,0.0,0.0
05/08/2008,5.948235511779785,0.0,0.0
05/09/2008,6.008319854736328,0.0,0.0
05/12/2008,6.0784149169921875,0.0,0.0
